qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:108:2:7002,7002,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7002,Buhiga,BI007002,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:7003,7003,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7003,Gihogazi,BI007003,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:7004,7004,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7004,Gitaramuka,BI007004,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:7005,7005,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7005,Mutumba,BI007005,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:7006,7006,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7006,Nyabikere,BI007006,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:7007,7007,1603:45:16:108:0,1603:45:16:108:1:7,1603:45:16:108:2:7007,Shombo,BI007007,Karuzi,BI007,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8001,8001,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8001,Butaganzwa,BI008001,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8002,8002,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8002,Gahombo,BI008002,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8003,8003,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8003,Gatara,BI008003,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8004,8004,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8004,Kabarore,BI008004,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8005,8005,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8005,Kayanza,BI008005,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8006,8006,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8006,Matongo,BI008006,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8007,8007,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8007,Muhanga,BI008007,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8008,8008,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8008,Muruta,BI008008,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:8009,8009,1603:45:16:108:0,1603:45:16:108:1:8,1603:45:16:108:2:8009,Rango,BI008009,Kayanza,BI008,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9001,9001,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9001,Bugabira,BI009001,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9002,9002,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9002,Busoni,BI009002,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9003,9003,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9003,Bwambarangwe,BI009003,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9004,9004,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9004,Gitobe,BI009004,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9005,9005,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9005,Kirundo,BI009005,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9006,9006,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9006,Ntega,BI009006,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:9007,9007,1603:45:16:108:0,1603:45:16:108:1:9,1603:45:16:108:2:9007,Vumbi,BI009007,Kirundo,BI009,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:10001,10001,1603:45:16:108:0,1603:45:16:108:1:10,1603:45:16:108:2:10001,Kayogoro,BI010001,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:10002,10002,1603:45:16:108:0,1603:45:16:108:1:10,1603:45:16:108:2:10002,Kibago,BI010002,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:10003,10003,1603:45:16:108:0,1603:45:16:108:1:10,1603:45:16:108:2:10003,Mabanda,BI010003,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:10004,10004,1603:45:16:108:0,1603:45:16:108:1:10,1603:45:16:108:2:10004,Makamba,BI010004,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:10005,10005,1603:45:16:108:0,1603:45:16:108:1:10,1603:45:16:108:2:10005,Nyanza-Lac,BI010005,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:10006,10006,1603:45:16:108:0,1603:45:16:108:1:10,1603:45:16:108:2:10006,Vugizo,BI010006,Makamba,BI010,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:11001,11001,1603:45:16:108:0,1603:45:16:108:1:11,1603:45:16:108:2:11001,Bukeye,BI011001,Muramvya,BI011,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:11002,11002,1603:45:16:108:0,1603:45:16:108:1:11,1603:45:16:108:2:11002,Kiganda,BI011002,Muramvya,BI011,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:11003,11003,1603:45:16:108:0,1603:45:16:108:1:11,1603:45:16:108:2:11003,Mbuye,BI011003,Muramvya,BI011,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:11004,11004,1603:45:16:108:0,1603:45:16:108:1:11,1603:45:16:108:2:11004,Muramvya,BI011004,Muramvya,BI011,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:11005,11005,1603:45:16:108:0,1603:45:16:108:1:11,1603:45:16:108:2:11005,Rutegama,BI011005,Muramvya,BI011,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12001,12001,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12001,Buhinyuza,BI012001,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12002,12002,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12002,Butihinda,BI012002,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12003,12003,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12003,Gashoho,BI012003,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12004,12004,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12004,Gasorwe,BI012004,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12005,12005,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12005,Giteranyi,BI012005,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12006,12006,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12006,Muyinga,BI012006,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:12007,12007,1603:45:16:108:0,1603:45:16:108:1:12,1603:45:16:108:2:12007,Mwakiro,BI012007,Muyinga,BI012,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:13001,13001,1603:45:16:108:0,1603:45:16:108:1:13,1603:45:16:108:2:13001,Bisoro,BI013001,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:13002,13002,1603:45:16:108:0,1603:45:16:108:1:13,1603:45:16:108:2:13002,Gisozi,BI013002,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:13003,13003,1603:45:16:108:0,1603:45:16:108:1:13,1603:45:16:108:2:13003,Kayokwe,BI013003,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:13004,13004,1603:45:16:108:0,1603:45:16:108:1:13,1603:45:16:108:2:13004,Ndava,BI013004,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:13005,13005,1603:45:16:108:0,1603:45:16:108:1:13,1603:45:16:108:2:13005,Nyabihanga,BI013005,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:13006,13006,1603:45:16:108:0,1603:45:16:108:1:13,1603:45:16:108:2:13006,Rusaka,BI013006,Mwaro,BI013,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14001,14001,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14001,Busiga,BI014001,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14002,14002,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14002,Gashikanwa,BI014002,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14003,14003,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14003,Kiremba,BI014003,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14004,14004,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14004,Marangara,BI014004,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14005,14005,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14005,Mwumba,BI014005,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14006,14006,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14006,Ngozi,BI014006,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14007,14007,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14007,Nyamurenza,BI014007,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14008,14008,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14008,Ruhororo,BI014008,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:14009,14009,1603:45:16:108:0,1603:45:16:108:1:14,1603:45:16:108:2:14009,Tangara,BI014009,Ngozi,BI014,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:15001,15001,1603:45:16:108:0,1603:45:16:108:1:15,1603:45:16:108:2:15001,Bukemba,BI015001,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:15002,15002,1603:45:16:108:0,1603:45:16:108:1:15,1603:45:16:108:2:15002,Giharo,BI015002,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:15003,15003,1603:45:16:108:0,1603:45:16:108:1:15,1603:45:16:108:2:15003,Gitanga,BI015003,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:15004,15004,1603:45:16:108:0,1603:45:16:108:1:15,1603:45:16:108:2:15004,Mpinga-Kayove,BI015004,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:15005,15005,1603:45:16:108:0,1603:45:16:108:1:15,1603:45:16:108:2:15005,Musongati,BI015005,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:15006,15006,1603:45:16:108:0,1603:45:16:108:1:15,1603:45:16:108:2:15006,Rutana,BI015006,Rutana,BI015,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16001,16001,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16001,Butaganzwa1,BI016001,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16002,16002,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16002,Butezi,BI016002,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16003,16003,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16003,Bweru,BI016003,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16004,16004,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16004,Gisuru,BI016004,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16005,16005,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16005,Kinyinya,BI016005,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16006,16006,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16006,Nyabitsinda,BI016006,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:16007,16007,1603:45:16:108:0,1603:45:16:108:1:16,1603:45:16:108:2:16007,Ruyigi,BI016007,Ruyigi,BI016,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:17014,17014,1603:45:16:108:0,1603:45:16:108:1:17,1603:45:16:108:2:17014,Muha,BI017014,Bujumbura Mairie,BI017,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:17015,17015,1603:45:16:108:0,1603:45:16:108:1:17,1603:45:16:108:2:17015,Mukaza,BI017015,Bujumbura Mairie,BI017,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:17016,17016,1603:45:16:108:0,1603:45:16:108:1:17,1603:45:16:108:2:17016,Ntahangwa,BI017016,Bujumbura Mairie,BI017,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:18001,18001,1603:45:16:108:0,1603:45:16:108:1:18,1603:45:16:108:2:18001,Muhuta,BI018001,Rumonge,BI018,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:18002,18002,1603:45:16:108:0,1603:45:16:108:1:18,1603:45:16:108:2:18002,Bugarama,BI018002,Rumonge,BI018,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:18003,18003,1603:45:16:108:0,1603:45:16:108:1:18,1603:45:16:108:2:18003,Burambi,BI018003,Rumonge,BI018,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:18004,18004,1603:45:16:108:0,1603:45:16:108:1:18,1603:45:16:108:2:18004,Buyengero,BI018004,Rumonge,BI018,Burundi,BI,2017-11-07,2021-10-07,
1603:45:16:108:2:18005,18005,1603:45:16:108:0,1603:45:16:108:1:18,1603:45:16:108:2:18005,Rumonge,BI018005,Rumonge,BI018,Burundi,BI,2017-11-07,2021-10-07,
