admin3Name_fr,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin3AltName1_en,admin3AltName2_en,admin2Name_fr,admin2Name_en,admin2Pcode,admin1Name_fr,admin1Name_en,admin1Pcode,admin0Name_fr,admin0Name_en,admin0Pcode,date,validOn,validTo
Ngaoundal,,CM001001001,,,,,,Djérem,,CM001001,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Tibati,,CM001001002,,,,,,Djérem,,CM001001,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Galim-Tignere,,CM001002001,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kontcha,,CM001002002,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Baleo,,CM001002003,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Tignere,,CM001002004,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bankim,,CM001003001,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Banyo,,CM001003002,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Darle,,CM001003003,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dir,,CM001004001,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Djohong,,CM001004002,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Meiganga,,CM001004003,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoui,,CM001004004,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Belel,,CM001005001,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Martap,,CM001005002,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbe,,CM001005003,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nganha,,CM001005004,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoundere 1er,,CM001005005,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoundere 2e,,CM001005006,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoundere 3e,,CM001005007,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nyambaka,,CM001005008,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bibey,,CM002001001,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lembe Yezoum,,CM002001002,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbandjock,,CM002001003,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Minta,,CM002001004,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nanga-Eboko,,CM002001005,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nkoteng,,CM002001006,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nsem,,CM002001007,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Batchenga,,CM002002001,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ebebda,,CM002002002,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Elig-Mfomo,,CM002002003,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Evodoula,,CM002002004,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lobo,,CM002002005,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Monatele,,CM002002006,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Obala,,CM002002007,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Okola,,CM002002008,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Saa,,CM002002009,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bafia,,CM002003001,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bokito,,CM002003002,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Deuk,,CM002003003,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kiiki,,CM002003004,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kon Yambetta,,CM002003005,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Makenene,,CM002003006,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ndikinimeki,,CM002003007,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nitoukou,,CM002003008,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ombessa,,CM002003009,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbangassina,,CM002004001,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngambe-Tikar,,CM002004002,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngoro,,CM002004003,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ntui,,CM002004004,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yoko,,CM002004005,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Afanloum,,CM002005001,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Assamba,,CM002005002,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Awae,,CM002005003,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Edzendouan,,CM002005004,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Esse,,CM002005005,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mfou,,CM002005006,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nkolafamba,,CM002005007,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Soa,,CM002005008,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Akono,,CM002006001,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bikok,,CM002006002,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbankomo,,CM002006003,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngoumou,,CM002006004,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 1er,,CM002007001,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 2e,,CM002007002,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 3e,,CM002007003,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 4e,,CM002007004,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 5e,,CM002007005,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 6e,,CM002007006,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yaounde 7e,,CM002007007,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Biyouha,,CM002008001,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bondjock,,CM002008002,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bot-Makak,,CM002008003,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dibang,,CM002008004,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Eseka,,CM002008005,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Makak,,CM002008006,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Matomb,,CM002008007,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Messondo,,CM002008008,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngog-Mapubi,,CM002008009,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nguibassal,,CM002008010,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Akonolinga,,CM002009001,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ayos,,CM002009002,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Endom,,CM002009003,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mengang,,CM002009004,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nyakokombo,,CM002009005,,,,,,Nyong-et-Mfoumou,,CM002009,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Akoeman,,CM002010001,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dzeng,,CM002010002,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbalmayo,,CM002010003,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mengueme,,CM002010004,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngomedzap,,CM002010005,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nkolmetet,,CM002010006,,,,,,Nyong-et-So'o,,CM002010,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Gari Gombo,,CM003001001,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Moloundou,,CM003001002,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Salapoumbe,,CM003001003,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Yokadouma,,CM003001004,,,,,,Boumba-et-Ngoko,,CM003001,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Abong-Mbang,,CM003002001,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bebend,,CM003002002,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dimako,,CM003002003,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dja,,CM003002004,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Doumaintang,,CM003002005,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Doume,,CM003002006,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lomie,,CM003002007,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mboanz,,CM003002008,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mboma,,CM003002009,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Messamena,,CM003002010,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Messok,,CM003002011,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngoyla,,CM003002012,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nguelemendouka,,CM003002013,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Somalomo,,CM003002014,,,,,,Haut-Nyong,,CM003002,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Batouri,,CM003003001,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bombe,,CM003003002,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kette,,CM003003003,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbang,,CM003003004,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbotoro,,CM003003005,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ndelele,,CM003003006,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ndem Nam,,CM003003007,,,,,,Kadey,,CM003003,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Belabo,,CM003004001,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bertoua 1er,,CM003004002,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bertoua 2e,,CM003004003,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Betare-Oya,,CM003004004,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Diang,,CM003004005,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Garoua-Boulai,,CM003004006,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mandjou,,CM003004007,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngoura,,CM003004008,,,,,,Lom-et-Djérem,,CM003004,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bogo,,CM004001001,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dargala,,CM004001002,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Gazawa,,CM004001003,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Maroua 1er,,CM004001004,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Maroua 2e,,CM004001005,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Maroua 3e,,CM004001006,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Meri,,CM004001007,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ndoukoula,,CM004001008,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Pette,,CM004001009,,,,,,Diamaré,,CM004001,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Blangoua,,CM004002001,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Darak,,CM004002002,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Fotokol,,CM004002003,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Goulfey,,CM004002004,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Hile-Alifa,,CM004002005,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kousseri,,CM004002006,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Logone-Birni,,CM004002007,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Makary,,CM004002008,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Waza,,CM004002009,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Zina,,CM004002010,,,,,,Logone-et-Chari,,CM004002,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Datcheka,,CM004003001,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Gobo,,CM004003002,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Guere,,CM004003003,,,,,,Mayo-Danay,,CM004003,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
