admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Sarolangun,ID1503,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Batang Hari,ID1504,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Muaro Jambi,ID1505,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Tanjung Jabung Timur,ID1506,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Tanjung Jabung Barat,ID1507,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Tebo,ID1508,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Bungo,ID1509,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Kota Jambi,ID1571,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Kota Sungai Penuh,ID1572,,,,Jambi,ID15,Indonesia,ID,2019-12-20,2020-04-01,
Ogan Komering Ulu,ID1601,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Ogan Komering Ilir,ID1602,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Muara Enim,ID1603,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Lahat,ID1604,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Musi Rawas,ID1605,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Musi Banyuasin,ID1606,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Banyu Asin,ID1607,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Ogan Komering Ulu Selatan,ID1608,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Ogan Komering Ulu Timur,ID1609,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Ogan Ilir,ID1610,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Empat Lawang,ID1611,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Penukal Abab Lematang Ilir,ID1612,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Musi Rawas Utara,ID1613,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Kota Palembang,ID1671,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Kota Prabumulih,ID1672,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Kota Pagar Alam,ID1673,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Kota Lubuklinggau,ID1674,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Danau,ID1688,,,,Sumatera Selatan,ID16,Indonesia,ID,2019-12-20,2020-04-01,
Bengkulu Selatan,ID1701,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Rejang Lebong,ID1702,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Bengkulu Utara,ID1703,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Kaur,ID1704,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Seluma,ID1705,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Mukomuko,ID1706,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Lebong,ID1707,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Kepahiang,ID1708,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Bengkulu Tengah,ID1709,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Kota Bengkulu,ID1771,,,,Bengkulu,ID17,Indonesia,ID,2019-12-20,2020-04-01,
Lampung Barat,ID1801,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Tanggamus,ID1802,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Lampung Selatan,ID1803,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Lampung Timur,ID1804,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Lampung Tengah,ID1805,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Lampung Utara,ID1806,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Way Kanan,ID1807,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Tulangbawang,ID1808,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Pesawaran,ID1809,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Pringsewu,ID1810,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Mesuji,ID1811,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Tulang Bawang Barat,ID1812,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Pesisir Barat,ID1813,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Kota Bandar Lampung,ID1871,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Kota Metro,ID1872,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Danau,ID1888,,,,Lampung,ID18,Indonesia,ID,2019-12-20,2020-04-01,
Bangka,ID1901,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
Belitung,ID1902,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
Bangka Barat,ID1903,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
