admin1Name_en,admin1Name_th,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_th,admin1AltName2_th,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
Surat Thani,สุราษฎร์ธานี,TH84,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ranong,ระนอง,TH85,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chumphon,ชุมพร,TH86,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Songkhla,สงขลา,TH90,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Satun,สตูล,TH91,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Trang,ตรัง,TH92,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phatthalung,พัทลุง,TH93,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pattani,ปัตตานี,TH94,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Yala,ยะลา,TH95,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Narathiwat,นราธิวาส,TH96,,,,,,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
