admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Agikdak,UG30680101,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agoro,UG30820101,,,,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agule,UG20590201,,,,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Agulu Division,UG30710101,,,,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agwata,UG30730103,,,,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agweng,UG30830103,,,,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Agwingiri,UG30680102,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aii-Vu,UG30720301,,,,Terego,UG307203,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Ajia,UG30720401,,,,Vurra,UG307204,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akaa,UG31000102,,,,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akalo,UG30790102,,,,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akere Division,UG30710102,,,,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akeriau,UG20270102,,,,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Akisim,UG20590202,,,,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Akokoro,UG30710201,,,,Maruzi,UG307102,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akoromit,UG20460102,,,,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Akura,UG30670103,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akwon,UG30680103,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Akworo,UG30910201,,,,Padyere,UG309102,Nebbi,UG3091,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alangi,UG31000103,,,,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alango,UG30950102,,,,Otuke,UG309501,Otuke,UG3095,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alebtong Town Council,UG30670104,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aleka,UG30960104,,,,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alerek,UG30640103,,,,Labwor,UG306401,Abim,UG3064,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alero,UG30920101,,,,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aliba,UG30930101,,,,Obongi,UG309301,Obongi,UG3093,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alito,UG30790103,,,,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aloi,UG30670105,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Alwa,UG20410101,,,,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Alwi,UG30980101,,,,Jonam,UG309801,Pakwach,UG3098,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amach,UG30830104,,,,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amolatar Town Council,UG30680104,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amudat,UG30690101,,,,Pokot,UG306901,Amudat,UG3069,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amudat Town Council,UG30690102,,,,Pokot,UG306901,Amudat,UG3069,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amugu,UG30670106,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amukol,UG20450201,,,,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Amuria Town Council,UG20270103,,,,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Amuru,UG30700101,,,,Kilak,UG307001,Amuru,UG3070,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amuru Town Council,UG30700102,,,,Kilak,UG307001,Amuru,UG3070,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Amwoma,UG30730104,,,,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Anaka Payira,UG30920102,,,,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Anaka Town Council,UG30920103,,,,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Angagura,UG30970102,,,,Aruu,UG309701,Pader,UG3097,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Anyara,UG20420101,,,,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Anyiribu,UG30840101,,,,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Apac,UG30710202,,,,Maruzi,UG307102,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Apala,UG30670107,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Apapai,UG20420102,,,,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Apeduru,UG20270104,,,,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Aperkira,UG20410102,,,,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Apo,UG30990101,,,,Aringa,UG309901,Yumbe,UG3099,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Apopong,UG20590203,,,,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Aputi,UG30680105,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arapai,UG20620101,,,,Soroti,UG206201,Soroti,UG2062,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Arinyapi,UG30650103,,,,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arivu,UG30720402,,,,Vurra,UG307204,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Ariwa,UG30990102,,,,Aringa,UG309901,Yumbe,UG3099,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arocha Division,UG30710103,,,,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aroi,UG30720202,,,,Ayivu,UG307202,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Aromo,UG30830105,,,,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arua Hill Division,UG30720101,,,,Arua Municipality,UG307201,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arum,UG30660103,,,,Agago,UG306601,Agago,UG3066,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Arwotcek,UG30680106,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Asamuk,UG20270105,,,,Amuria,UG202701,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Asuret,UG20620102,,,,Soroti,UG206201,Soroti,UG2062,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Atanga,UG30970103,,,,Aruu,UG309701,Pader,UG3097,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Atego,UG30910202,,,,Padyere,UG309102,Nebbi,UG3091,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Athuma,UG31000104,,,,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Atiira,UG20600201,,,,Serere,UG206002,Serere,UG2060,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Atik Division,UG30710104,,,,Apac Municipality,UG307101,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Attiak,UG30700103,,,,Kilak,UG307001,Amuru,UG3070,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Atutur,UG20490101,,,,Kumi,UG204901,Kumi,UG2049,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Atyak,UG31000105,,,,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Awach,UG30640104,,,,Labwor,UG306401,Abim,UG3064,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Awach,UG30740101,,,,Aswa,UG307401,Gulu,UG3074,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Awei,UG30670108,,,,Moroto,UG306701,Alebtong,UG3067,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Awelo,UG30680107,,,,Kioga,UG306801,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Awere,UG30970104,,,,Aruu,UG309701,Pader,UG3097,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Ayer,UG30790104,,,,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Ayivuni,UG30720203,,,,Ayivu,UG307202,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Bagezza,UG10200201,,,,Kasambya,UG102002,Mubende,UG1020,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Baitambogwe,UG20530101,,,,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bala,UG30790105,,,,Kole,UG307901,Kole,UG3079,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Balawoli,UG20440101,,,,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bamunanika,UG10140101,,,,Bamunanika,UG101401,Luwero,UG1014,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bananywa,UG10120110,,,,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Banda,UG10120111,,,,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Banda,UG20550101,,,,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bar Dege Division,UG30740201,,,,Gulu Municipality,UG307402,Gulu,UG3074,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Barr,UG30830106,,,,Erute,UG308301,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Batta,UG30730105,,,,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Bbaale,UG10100101,,,,Bbaale,UG101001,Kayunga,UG1010,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bbanda,UG10180101,,,,Busujju,UG101801,Mityana,UG1018,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Benet,UG20500101,,,,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bigasa,UG10020101,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Biguli,UG41130101,,,,Kibale,UG411301,Kamwenge,UG4113,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bihanga,UG41010101,,,,Buhweju,UG410101,Buhweju,UG4101,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bihanga,UG41130102,,,,Kibale,UG411301,Kamwenge,UG4113,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Biharwe Division,UG41260101,,,,Kashari,UG412601,Mbarara,UG4126,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Biiso,UG41020101,,,,Buliisa,UG410201,Buliisa,UG4102,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bileafe,UG30720302,,,,Terego,UG307203,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Binyiny,UG20500102,,,,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Binyiny Town Council,UG20500103,,,,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Birembo,UG41120101,,,,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Birere,UG41080201,,,,Isingiro,UG410802,Isingiro,UG4108,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bisheshe Division,UG41070201,,,,Ibanda Municipality,UG410702,Ibanda,UG4107,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bitereko,UG41270101,,,,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bitooma,UG41050201,,,,Igara,UG410502,Bushenyi,UG4105,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bitsya,UG41010102,,,,Buhweju,UG410101,Buhweju,UG4101,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bobi,UG30940101,,,,Omoro,UG309401,Omoro,UG3094,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,
Bombo Town Council,UG10140201,,,,Katikamu,UG101402,Luwero,UG1014,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bubaare,UG41260102,,,,Kashari,UG412601,Mbarara,UG4126,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bubaare,UG41300101,,,,Rubanda,UG413001,Rubanda,UG4130,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bubandi,UG41030201,,,,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bubango,UG41170101,,,,Buyanja,UG411701,Kibaale,UG4117,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bubeke,UG10060201,,,,Kyamuswa,UG100602,Kalangala,UG1006,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bubiita,UG20290101,,,,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bubukwanga,UG41030202,,,,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bubutu,UG20560101,,,,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bubyangu,UG20540101,,,,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budadiri Town Council,UG20610101,,,,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budaka,UG20280101,,,,Budaka,UG202801,Budaka,UG2028,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budaka Town Council,UG20280102,,,,Budaka,UG202801,Budaka,UG2028,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budde,UG10030101,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Budhaya,UG20300201,,,,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budomero,UG20430101,,,,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budondo,UG20400301,,,,Kagoma,UG204003,Jinja,UG2040,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budongo,UG41250101,,,,Bujenje,UG412501,Masindi,UG4125,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bududa,UG20290102,,,,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bududa Town Council,UG20290103,,,,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budumba,UG20360101,,,,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Budwale,UG20540102,,,,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bufumbo,UG20540103,,,,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bufumira,UG10060202,,,,Kyamuswa,UG100602,Kalangala,UG1006,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bufunda Division,UG41070202,,,,Ibanda Municipality,UG410702,Ibanda,UG4107,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bufundi,UG41300102,,,,Rubanda,UG413001,Rubanda,UG4130,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bufunjo,UG41240101,,,,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugaaki,UG41240102,,,,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugamba,UG41340101,,,,Rwampara,UG413401,Rwampara,UG4134,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugambe,UG41180101,,,,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugangari,UG41330101,,,,Bujumbura,UG413301,Rukungiri,UG4133,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buganikire Town Councili,UG41030203,,,,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugaya,UG10040101,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bugaya,UG20380101,,,,Budiope,UG203801,Buyende,UG2038,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugembe Town Council,UG20400101,,,,Butembe,UG204001,Jinja,UG2040,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Buginyanya,UG20340101,,,,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugitimwa,UG20610102,,,,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugobero,UG20520101,,,,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugondo,UG20600101,,,,Kasilo,UG206001,Serere,UG2060,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugongi Town Council,UG41350101,,,,Sheema,UG413501,Sheema,UG4135,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugoye,UG41150201,,,,Busongora,UG411502,Kasese,UG4115,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bugulumbya,UG20440201,,,,Buzaaya,UG204402,Kamuli,UG2044,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bugweri Town Council,UG20310101,,,,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Buhanda,UG41220101,,,,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buhanika,UG41060101,,,,Bugahya,UG410601,Hoima,UG4106,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buhara,UG41090201,,,,Ndorwa,UG410902,Kabale,UG4109,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buheesi,UG41040101,,,,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buheesi Town Council,UG41040102,,,,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buhehe,UG20350201,,,,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Buhemba,UG20550102,,,,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Buhimba,UG41180102,,,,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buhimba Town Council,UG41180103,,,,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buhugu,UG20610103,,,,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Buhuhira,UG41150202,,,,Busongora,UG411502,Kasese,UG4115,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buhunga,UG41330102,,,,Bujumbura,UG413301,Rukungiri,UG4133,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Buikwe,UG10010101,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Buikwe Town Council,UG10010102,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bujumba,UG10060101,,,,Bujumba,UG100601,Kalangala,UG1006,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bujumbura Division,UG41060201,,,,Hoima Municipality,UG410602,Hoima,UG4106,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,
Bukabooli,UG20530102,,,,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bukakata,UG10170101,,,,Bukoto,UG101701,Masaka,UG1017,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,
Bukalasi,UG20290104,,,,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bukamba,UG20430102,,,,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bukana,UG20550103,,,,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bukanga,UG20510101,,,,Luuka,UG205101,Luuka,UG2051,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
Bukasakya,UG20540104,,,,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,
