admin3Name_en,admin3Name_ru,admin3Name_ky,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ru,admin3AltName2_ru,admin3AltName1_ky,admin3AltName2_ky,admin2Name_en,admin2Name_ru,admin2Name_ky,admin2Pcode,admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin3Type_en,admin3Type_ru,admin3Type_ky
Yrdyk,Ырдыкский,Ырдык,KG02210835000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Lipenka,Липенский,Липенка,KG02210840000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Orgochor,Оргочорский,Оргочор,KG02210845000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kyzyl-Suu,Кызыл-Сууский,Кызыл-Суу,KG02210850000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Aldashev,Алдашевский,Алдашев,KG02210855000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Svetloya Polyana,Светлополянский,Светлая Поляна,KG02210860000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Tamga,Тамгинский,Тамга,KG02210862000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG02215000901,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG02215000902,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG02215000907,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
