admin2Name_pt,admin2Pcode,admin2RefName,admin2AltName1_pt,admin2AltName2_pt,admin1Name_pt,admin1Pcode,admin0Name_pt,admin0Pcode,date,validOn,validTo
Anapu,BR1500859,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Augusto Corrêa,BR1500909,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Aurora do Pará,BR1500958,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Aveiro,BR1501006,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Bagre,BR1501105,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Baião,BR1501204,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Bannach,BR1501253,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Barcarena,BR1501303,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Belém,BR1501402,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Belterra,BR1501451,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Benevides,BR1501501,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Bom Jesus do Tocantins,BR1501576,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Bonito,BR1501600,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Bragança,BR1501709,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Brasil Novo,BR1501725,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Brejo Grande do Araguaia,BR1501758,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Breu Branco,BR1501782,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Breves,BR1501808,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Bujaru,BR1501907,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Cachoeira do Piriá,BR1501956,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Cachoeira do Arari,BR1502004,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Cametá,BR1502103,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Canaã dos Carajás,BR1502152,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Capanema,BR1502202,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Capitão Poço,BR1502301,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Castanhal,BR1502400,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Chaves,BR1502509,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Colares,BR1502608,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Conceição do Araguaia,BR1502707,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Concórdia do Pará,BR1502756,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Cumaru do Norte,BR1502764,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Curionópolis,BR1502772,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Curralinho,BR1502806,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Curuá,BR1502855,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Curuçá,BR1502905,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Dom Eliseu,BR1502939,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Eldorado do Carajás,BR1502954,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Faro,BR1503002,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Floresta do Araguaia,BR1503044,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Garrafão do Norte,BR1503077,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Goianésia do Pará,BR1503093,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Gurupá,BR1503101,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Igarapé-Açu,BR1503200,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Igarapé-Miri,BR1503309,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Inhangapi,BR1503408,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Ipixuna do Pará,BR1503457,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Irituia,BR1503507,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Itaituba,BR1503606,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Itupiranga,BR1503705,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Jacareacanga,BR1503754,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Jacundá,BR1503804,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Juruti,BR1503903,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Limoeiro do Ajuru,BR1504000,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Mãe do Rio,BR1504059,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Magalhães Barata,BR1504109,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Marabá,BR1504208,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Maracanã,BR1504307,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Marapanim,BR1504406,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Marituba,BR1504422,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Medicilândia,BR1504455,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Melgaço,BR1504505,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Mocajuba,BR1504604,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Moju,BR1504703,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Mojuí dos Campos,BR1504752,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Monte Alegre,BR1504802,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Muaná,BR1504901,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Nova Esperança do Piriá,BR1504950,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Nova Ipixuna,BR1504976,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Nova Timboteua,BR1505007,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Novo Progresso,BR1505031,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Novo Repartimento,BR1505064,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Óbidos,BR1505106,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Oeiras do Pará,BR1505205,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Oriximiná,BR1505304,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Ourém,BR1505403,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Ourilândia do Norte,BR1505437,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Pacajá,BR1505486,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Palestina do Pará,BR1505494,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Paragominas,BR1505502,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Parauapebas,BR1505536,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Pau D'Arco,BR1505551,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Peixe-Boi,BR1505601,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Piçarra,BR1505635,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Placas,BR1505650,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Ponta de Pedras,BR1505700,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Portel,BR1505809,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Porto de Moz,BR1505908,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Prainha,BR1506005,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Primavera,BR1506104,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Quatipuru,BR1506112,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Redenção,BR1506138,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Rio Maria,BR1506161,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Rondon do Pará,BR1506187,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Rurópolis,BR1506195,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Salinópolis,BR1506203,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Salvaterra,BR1506302,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santa Bárbara do Pará,BR1506351,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santa Cruz do Arari,BR1506401,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santa Izabel do Pará,BR1506500,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santa Luzia do Pará,BR1506559,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santa Maria das Barreiras,BR1506583,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santa Maria do Pará,BR1506609,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santana do Araguaia,BR1506708,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santarém,BR1506807,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santarém Novo,BR1506906,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Santo Antônio do Tauá,BR1507003,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Caetano de Odivelas,BR1507102,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Domingos do Araguaia,BR1507151,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Domingos do Capim,BR1507201,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Félix do Xingu,BR1507300,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Francisco do Pará,BR1507409,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Geraldo do Araguaia,BR1507458,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São João da Ponta,BR1507466,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São João de Pirabas,BR1507474,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São João do Araguaia,BR1507508,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Miguel do Guamá,BR1507607,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
São Sebastião da Boa Vista,BR1507706,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Sapucaia,BR1507755,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Senador José Porfírio,BR1507805,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Soure,BR1507904,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Tailândia,BR1507953,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
Terra Alta,BR1507961,,,,Pará,BR15,Brasil,BR,2020-09-30,2020-09-30,
