admin3Name_pt,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin3AltName1_en,admin3AltName2_en,admin2Name_pt,admin2Name_en,admin2Pcode,admin1Name_pt,admin1Name_en,admin1Pcode,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Zitundo,,MZ050605,,,,,,Matutuine,,MZ0506,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Moamba,,MZ050701,,,,,,Moamba,,MZ0507,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Pessene,,MZ050702,,,,,,Moamba,,MZ0507,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ressano Garcia,,MZ050703,,,,,,Moamba,,MZ0507,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sabie,,MZ050704,,,,,,Moamba,,MZ0507,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Changalane,,MZ050801,,,,,,Namaacha,,MZ0508,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namaacha,,MZ050802,,,,,,Namaacha,,MZ0508,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Maputo,,MZ060101,,,,,,Cidade De Maputo,,MZ0601,Maputo City,,MZ06,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Angoche,,MZ070101,,,,,,Angoche,,MZ0701,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Aube,,MZ070102,,,,,,Angoche,,MZ0701,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Boila,,MZ070103,,,,,,Angoche,,MZ0701,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namaponda,,MZ070104,,,,,,Angoche,,MZ0701,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Nampula,,MZ070201,,,,,,Cidade De Nampula,,MZ0702,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Alua,,MZ070301,,,,,,Erati,,MZ0703,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namapa,,MZ070302,,,,,,Erati,,MZ0703,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namiroa,,MZ070303,,,,,,Erati,,MZ0703,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha De Moçambique,,MZ070401,Ilha De Mocambique,,,,,Ilha De Moçambique,,MZ0704,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lumbo,,MZ070402,,,,,,Ilha De Moçambique,,MZ0704,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lalaua,,MZ070501,,,,,,Lalaua,,MZ0705,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Meti,,MZ070502,,,,,,Lalaua,,MZ0705,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Larde,,MZ070601,,,,,,Larde,,MZ0706,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mucuali,,MZ070602,,,,,,Larde,,MZ0706,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Liúpo,,MZ070701,Liupo,,,,,Liúpo,,MZ0707,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quinga,,MZ070702,,,,,,Liúpo,,MZ0707,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chihulo,,MZ070801,,,,,,Malema,,MZ0708,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Malema,,MZ070802,,,,,,Malema,,MZ0708,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mutuali,,MZ070803,,,,,,Malema,,MZ0708,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
7 De Abril,,MZ070901,,,,,,Meconta,,MZ0709,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Corrane,,MZ070902,,,,,,Meconta,,MZ0709,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Meconta,,MZ070903,,,,,,Meconta,,MZ0709,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namialo,,MZ070904,,,,,,Meconta,,MZ0709,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mecuburi,,MZ071001,,,,,,Mecuburi,,MZ0710,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Milhana,,MZ071002,,,,,,Mecuburi,,MZ0710,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muite,,MZ071003,,,,,,Mecuburi,,MZ0710,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namina,,MZ071004,,,,,,Mecuburi,,MZ0710,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chipene,,MZ071101,,,,,,Memba,,MZ0711,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lurio,,MZ071102,,,,,,Memba,,MZ0711,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mazula,,MZ071103,,,,,,Memba,,MZ0711,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Memba,,MZ071104,,,,,,Memba,,MZ0711,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namige,,MZ071201,,,,,,Mogincual,,MZ0712,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Quixaxe,,MZ071202,,,,,,Mogincual,,MZ0712,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Calipo,,MZ071301,,,,,,Mogovolas,,MZ0713,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Iuluti,,MZ071302,,,,,,Mogovolas,,MZ0713,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muatua,,MZ071303,,,,,,Mogovolas,,MZ0713,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nametil,,MZ071304,,,,,,Mogovolas,,MZ0713,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nanhupo Rio,,MZ071305,,,,,,Mogovolas,,MZ0713,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chalaua,,MZ071401,,,,,,Moma,,MZ0714,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Moma,,MZ071402,,,,,,Moma,,MZ0714,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Itoculo,,MZ071501,,,,,,Monapo,,MZ0715,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Monapo,,MZ071502,,,,,,Monapo,,MZ0715,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Netia,,MZ071503,,,,,,Monapo,,MZ0715,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lunga,,MZ071601,,,,,,Mossuril,,MZ0716,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Matibane,,MZ071602,,,,,,Mossuril,,MZ0716,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mossuril,,MZ071603,,,,,,Mossuril,,MZ0716,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Imala,,MZ071701,,,,,,Muecate,,MZ0717,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muculoene,,MZ071702,,,,,,Muecate,,MZ0717,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muecate,,MZ071703,,,,,,Muecate,,MZ0717,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chinga,,MZ071801,,,,,,Murrupula,,MZ0718,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Murrupula,,MZ071802,,,,,,Murrupula,,MZ0718,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nihessiue,,MZ071803,,,,,,Murrupula,,MZ0718,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacala,,MZ071901,,,,,,Nacala,,MZ0719,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Covo,,MZ072001,,,,,,Nacala-A-Velha,,MZ0720,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacala-A-Velha,,MZ072002,,,,,,Nacala-A-Velha,,MZ0720,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Intete,,MZ072101,,,,,,Nacaroa,,MZ0721,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacaroa,,MZ072102,,,,,,Nacaroa,,MZ0721,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Saua-Saua,,MZ072103,,,,,,Nacaroa,,MZ0721,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Anchilo,,MZ072201,,,,,,Rapale,,MZ0722,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mutivasse,,MZ072202,,,,,,Rapale,,MZ0722,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namaita,,MZ072203,,,,,,Rapale,,MZ0722,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Rapale,,MZ072204,,,,,,Rapale,,MZ0722,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cunle,,MZ072301,,,,,,Ribaue,,MZ0723,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Iapala,,MZ072302,,,,,,Ribaue,,MZ0723,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ribaue,,MZ072303,,,,,,Ribaue,,MZ0723,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chimbonila,,MZ080101,,,,,,Chimbonila,,MZ0801,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lione,,MZ080102,,,,,,Chimbonila,,MZ0801,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Meponda,,MZ080103,,,,,,Chimbonila,,MZ0801,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Lichinga,,MZ080201,,,,,,Cidade De Lichinga,,MZ0802,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cuamba,,MZ080301,,,,,,Cuamba,,MZ0803,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Etarara,,MZ080302,,,,,,Cuamba,,MZ0803,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lurio,,MZ080303,,,,,,Cuamba,,MZ0803,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha Licom,,MZ080401,,,,,,Ilha Licom,,MZ0804,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha Risunodo,,MZ080501,,,,,,Ilha Risunodo,,MZ0805,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cobue,,MZ080601,,,,,,Lago,,MZ0806,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lunho,,MZ080602,,,,,,Lago,,MZ0806,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maniamba,,MZ080603,,,,,,Lago,,MZ0806,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Metangula,,MZ080604,,,,,,Lago,,MZ0806,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lago Niassa,,MZ080701,,,,,,Lago Niassa,,MZ0807,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Malanga,,MZ080801,,,,,,Majune,,MZ0808,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muaquia,,MZ080802,,,,,,Majune,,MZ0808,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nairrubi,,MZ080803,,,,,,Majune,,MZ0808,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mandimba,,MZ080901,,,,,,Mandimba,,MZ0809,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mitande,,MZ080902,,,,,,Mandimba,,MZ0809,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marangira,,MZ081001,,,,,,Marrupa,,MZ0810,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marrupa,,MZ081002,,,,,,Marrupa,,MZ0810,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nungo,,MZ081003,,,,,,Marrupa,,MZ0810,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maiaca,,MZ081101,,,,,,Maua,,MZ0811,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maua,,MZ081102,,,,,,Maua,,MZ0811,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
M'Sawize,,MZ081201,MSawize,,,,,Mavago,,MZ0812,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mavago,,MZ081202,,,,,,Mavago,,MZ0812,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiuta,,MZ081301,,,,,,Mecanhelas,,MZ0813,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Insaca,,MZ081302,,,,,,Mecanhelas,,MZ0813,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Matondovela,,MZ081401,,,,,,Mecula,,MZ0814,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mecula,,MZ081402,,,,,,Mecula,,MZ0814,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Metarica,,MZ081501,,,,,,Metarica,,MZ0815,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacumua,,MZ081502,,,,,,Metarica,,MZ0815,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiconono,,MZ081601,,,,,,Muembe,,MZ0816,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muembe,,MZ081602,,,,,,Muembe,,MZ0816,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Itepela,,MZ081701,,,,,,Ngauma,,MZ0817,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massangulo,,MZ081702,,,,,,Ngauma,,MZ0817,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muipite,,MZ081801,,,,,,Nipepe,,MZ0818,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nipepe,,MZ081802,,,,,,Nipepe,,MZ0818,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lussimbesse,,MZ081901,,,,,,Sanga,,MZ0819,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macaloge,,MZ081902,,,,,,Sanga,,MZ0819,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Matchedje,,MZ081903,,,,,,Sanga,,MZ0819,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Unango,,MZ081904,,,,,,Sanga,,MZ0819,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Buzi,,MZ090101,,,,,,Buzi,,MZ0901,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Estaquinha,,MZ090102,,,,,,Buzi,,MZ0901,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sofala,,MZ090103,,,,,,Buzi,,MZ0901,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Caia,,MZ090201,,,,,,Caia,,MZ0902,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Murraça,,MZ090202,Murraca,,,,,Caia,,MZ0902,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sena,,MZ090203,,,,,,Caia,,MZ0902,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chemba,,MZ090301,,,,,,Chemba,,MZ0903,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiramba,,MZ090302,,,,,,Chemba,,MZ0903,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mulima,,MZ090303,,,,,,Chemba,,MZ0903,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhaminga,,MZ090401,,,,,,Cheringoma,,MZ0904,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhamitanga,,MZ090402,,,,,,Cheringoma,,MZ0904,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chibabava,,MZ090501,,,,,,Chibabava,,MZ0905,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Goonda,,MZ090502,,,,,,Chibabava,,MZ0905,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muxungue,,MZ090503,,,,,,Chibabava,,MZ0905,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade Da Beira,,MZ090601,,,,,,Cidade Da Beira,,MZ0906,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Dondo,,MZ090701,,,,,,Dondo,,MZ0907,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mafambisse,,MZ090702,,,,,,Dondo,,MZ0907,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gorongosa,,MZ090801,,,,,,Gorongosa,,MZ0908,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhamadze,,MZ090802,,,,,,Gorongosa,,MZ0908,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Vanduzi,,MZ090803,,,,,,Gorongosa,,MZ0908,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Divinhe,,MZ090901,,,,,,Machanga,,MZ0909,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Machanga,,MZ090902,,,,,,Machanga,,MZ0909,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Canxixe,,MZ091001,,,,,,Maringue,,MZ0910,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maringue,,MZ091002,,,,,,Maringue,,MZ0910,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Subwe,,MZ091003,,,,,,Maringue,,MZ0910,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chupanga,,MZ091101,,,,,,Marromeu,,MZ0911,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marromeu,,MZ091102,,,,,,Marromeu,,MZ0911,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Galinha,,MZ091201,,,,,,Muanza,,MZ0912,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muanza,,MZ091202,,,,,,Muanza,,MZ0912,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhamatanda,,MZ091301,,,,,,Nhamatanda,,MZ0913,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tica,,MZ091302,,,,,,Nhamatanda,,MZ0913,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Domue,,MZ100101,,,,,,Angonia,,MZ1001,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ulongue,,MZ100102,,,,,,Angonia,,MZ1001,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chintholo,,MZ100201,,,,,,Cahora Bassa,,MZ1002,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chitima,,MZ100202,,,,,,Cahora Bassa,,MZ1002,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Songo,,MZ100203,,,,,,Cahora Bassa,,MZ1002,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chipembere,,MZ100301,,,,,,Changara,,MZ1003,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Luenha,,MZ100302,,,,,,Changara,,MZ1003,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chifunde,,MZ100401,,,,,,Chifunde,,MZ1004,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mualadze,,MZ100402,,,,,,Chifunde,,MZ1004,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nsadzu,,MZ100403,,,,,,Chifunde,,MZ1004,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Kazula,,MZ100501,,,,,,Chiuta,,MZ1005,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manje,,MZ100502,,,,,,Chiuta,,MZ1005,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Tete,,MZ100601,,,,,,Cidade De Tete,,MZ1006,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Doa,,MZ100701,,,,,,Doa,,MZ1007,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chidzolomondo,,MZ100801,,,,,,Macanga,,MZ1008,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Furancungo,,MZ100802,,,,,,Macanga,,MZ1008,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chinthopo,,MZ100901,,,,,,Magoe,,MZ1009,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mphende,,MZ100902,,,,,,Magoe,,MZ1009,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mukumbura,,MZ100903,,,,,,Magoe,,MZ1009,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marara,,MZ101001,,,,,,Marara,,MZ1010,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chipera,,MZ101101,,,,,,Maravia,,MZ1011,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiputu,,MZ101102,,,,,,Maravia,,MZ1011,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Fingoe,,MZ101103,,,,,,Maravia,,MZ1011,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Malowera,,MZ101104,,,,,,Maravia,,MZ1011,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Kambulatsisi,,MZ101201,,,,,,Moatize,,MZ1012,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Moatize,,MZ101202,,,,,,Moatize,,MZ1012,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zobue,,MZ101203,,,,,,Moatize,,MZ1012,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Charre,,MZ101301,,,,,,Mutarara,,MZ1013,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhangoma,,MZ101302,,,,,,Mutarara,,MZ1013,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhamayabue,,MZ101303,,,,,,Mutarara,,MZ1013,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ntengo-Wa-Mbalame,,MZ101401,,,,,,Tsangano,,MZ1014,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tsangano,,MZ101402,,,,,,Tsangano,,MZ1014,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muze,,MZ101501,,,,,,Zumbu,,MZ1015,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zambue,,MZ101502,,,,,,Zumbu,,MZ1015,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zumbu,,MZ101503,,,,,,Zumbu,,MZ1015,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Alto Molocue,,MZ110101,,,,,,Alto Molocue,,MZ1101,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nauela,,MZ110102,,,,,,Alto Molocue,,MZ1101,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chinde,,MZ110201,,,,,,Chinde,,MZ1102,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Micaune,,MZ110202,,,,,,Chinde,,MZ1102,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Quelimane,,MZ110301,,,,,,Cidade De Quelimane,,MZ1103,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Derre,,MZ110401,,,,,,Derre,,MZ1104,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Alto Ligonha,,MZ110501,,,,,,Gile,,MZ1105,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gile,,MZ110502,,,,,,Gile,,MZ1105,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gurue,,MZ110601,,,,,,Gurue,,MZ1106,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
