admin2Name_en,admin2Name_th,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_th,admin2AltName2_th,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
Bang Kho Laem,บางคอแหลม,TH1031,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prawet,ประเวศ,TH1032,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khlong Toei,คลองเตย,TH1033,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Suan Luang,สวนหลวง,TH1034,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chom Thong,จอมทอง,TH1035,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Don Mueang,ดอนเมือง,TH1036,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ratchathewi,ราชเทวี,TH1037,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lat Phrao,ลาดพร้าว,TH1038,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Vadhana,วัฒนา,TH1039,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Khae,บางแค,TH1040,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lak Si,หลักสี่,TH1041,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sai Mai,สายไหม,TH1042,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khan Na Yao,คันนายาว,TH1043,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Saphan Sung,สะพานสูง,TH1044,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wang Thonglang,วังทองหลาง,TH1045,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khlong Sam Wa,คลองสามวา,TH1046,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Na,บางนา,TH1047,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thawi Watthana,ทวีวัฒนา,TH1048,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thung Khru,ทุ่งครุ,TH1049,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Bon,บางบอน,TH1050,,,,,,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Samut Prakan,เมืองสมุทรปราการ,TH1101,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Bo,บางบ่อ,TH1102,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Phli,บางพลี,TH1103,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phra Pradaeng,พระประแดง,TH1104,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phra Samut Chedi,พระสมุทรเจดีย์,TH1105,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Sao Thong,บางเสาธง,TH1106,,,,,,Samut Prakan,สมุทรปราการ,TH11,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Nonthaburi,เมืองนนทบุรี,TH1201,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Kruai,บางกรวย,TH1202,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Yai,บางใหญ่,TH1203,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Bua Thong,บางบัวทอง,TH1204,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sai Noi,ไทรน้อย,TH1205,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pak Kret,ปากเกร็ด,TH1206,,,,,,Nonthaburi,นนทบุรี,TH12,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Pathum Thani,เมืองปทุมธานี,TH1301,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khlong Luang,คลองหลวง,TH1302,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thanyaburi,ธัญบุรี,TH1303,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Suea,หนองเสือ,TH1304,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lam Luk Ka,ลำลูกกา,TH1306,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sam Khok,สามโคก,TH1307,,,,,,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH1401,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tha Ruea,ท่าเรือ,TH1402,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nakhon Luang,นครหลวง,TH1403,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Sai,บางไทร,TH1404,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Ban,บางบาล,TH1405,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Pa-In,บางปะอิน,TH1406,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Pahan,บางปะหัน,TH1407,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phak Hai,ผักไห่,TH1408,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phachi,ภาชี,TH1409,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lat Bua Luang,ลาดบัวหลวง,TH1410,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wang Noi,วังน้อย,TH1411,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sena,เสนา,TH1412,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Sai,บางซ้าย,TH1413,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Uthai,อุทัย,TH1414,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Maha Rat,มหาราช,TH1415,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Phraek,บ้านแพรก,TH1416,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Ang Thong,เมืองอ่างทอง,TH1501,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chaiyo,ไชโย,TH1502,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pa Mok,ป่าโมก,TH1503,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pho Thong,โพธิ์ทอง,TH1504,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sawaeng Ha,แสวงหา,TH1505,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wiset Chai Chan,วิเศษชัยชาญ,TH1506,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samko,สามโก้,TH1507,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Lop Buri,เมืองลพบุรี,TH1601,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phatthana Nikhom,พัฒนานิคม,TH1602,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khok Samrong,โคกสำโรง,TH1603,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chai Badan,ชัยบาดาล,TH1604,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tha Wung,ท่าวุ้ง,TH1605,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Mi,บ้านหมี่,TH1606,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tha Luang,ท่าหลวง,TH1607,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sa Bot,สระโบสถ์,TH1608,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khok Charoen,โคกเจริญ,TH1609,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lam Sonthi,ลำสนธิ,TH1610,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Muang,หนองม่วง,TH1611,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Sing Buri,เมืองสิงห์บุรี,TH1701,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Rachan,บางระจัน,TH1702,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khai Bang Rachan,ค่ายบางระจัน,TH1703,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phrom Buri,พรหมบุรี,TH1704,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tha Chang,ท่าช้าง,TH1705,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
In Buri,อินทร์บุรี,TH1706,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Chai Nat,เมืองชัยนาท,TH1801,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Manorom,มโนรมย์,TH1802,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wat Sing,วัดสิงห์,TH1803,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sapphaya,สรรพยา,TH1804,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sankhaburi,สรรคบุรี,TH1805,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Hankha,หันคา,TH1806,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Mamong,หนองมะโมง,TH1807,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Noen Kham,เนินขาม,TH1808,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Saraburi,เมืองสระบุรี,TH1901,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kaeng Khoi,แก่งคอย,TH1902,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Khae,หนองแค,TH1903,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wihan Daeng,วิหารแดง,TH1904,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Saeng,หนองแซง,TH1905,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Mo,บ้านหมอ,TH1906,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Don Phut,ดอนพุด,TH1907,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Don,หนองโดน,TH1908,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phra Phutthabat,พระพุทธบาท,TH1909,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sao Hai,เสาไห้,TH1910,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Muak Lek,มวกเหล็ก,TH1911,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wang Muang,วังม่วง,TH1912,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH1913,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Chon Buri,เมืองชลบุรี,TH2001,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Bueng,บ้านบึง,TH2002,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Yai,หนองใหญ่,TH2003,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Lamung,บางละมุง,TH2004,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phan Thong,พานทอง,TH2005,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phanat Nikhom,พนัสนิคม,TH2006,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Si Racha,ศรีราชา,TH2007,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ko Si Chang,เกาะสีชัง,TH2008,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sattahip,สัตหีบ,TH2009,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bo Thong,บ่อทอง,TH2010,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ko Chan,เกาะจันทร์,TH2011,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Rayong,เมืองระยอง,TH2101,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Chang,บ้านฉาง,TH2102,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Klaeng,แกลง,TH2103,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wang Chan,วังจันทร์,TH2104,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Khai,บ้านค่าย,TH2105,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pluak Daeng,ปลวกแดง,TH2106,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khao Chamao,เขาชะเมา,TH2107,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nikhom Phatthana,นิคมพัฒนา,TH2108,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Chanthaburi,เมืองจันทบุรี,TH2201,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khlung,ขลุง,TH2202,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tha Mai,ท่าใหม่,TH2203,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pong Nam Ron,โป่งน้ำร้อน,TH2204,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Makham,มะขาม,TH2205,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Laem Sing,แหลมสิงห์,TH2206,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Soi Dao,สอยดาว,TH2207,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kaeng Hang Maeo,แก่งหางแมว,TH2208,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Na Yai Am,นายายอาม,TH2209,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khao Khitchakut,เขาคิชฌกูฏ,TH2210,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Trat,เมืองตราด,TH2301,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khlong Yai,คลองใหญ่,TH2302,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khao Saming,เขาสมิง,TH2303,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bo Rai,บ่อไร่,TH2304,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Laem Ngop,แหลมงอบ,TH2305,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ko Kut,เกาะกูด,TH2306,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ko Chang,เกาะช้าง,TH2307,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Chachoengsao,เมืองฉะเชิงเทรา,TH2401,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Khla,บางคล้า,TH2402,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Nam Priao,บางน้ำเปรี้ยว,TH2403,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bang Pakong,บางปะกง,TH2404,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
