admin2Name_pt,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_pt,admin2AltName2_pt,admin2AltName1_en,admin2AltName2_en,admin1Name_pt,admin1Name_en,admin1Pcode,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Quissanga,,MZ0118,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Bilene,,MZ0201,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chibuto,,MZ0202,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chicualacuala,,MZ0203,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chigubo,,MZ0204,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chokwe,,MZ0205,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chongoene,,MZ0206,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Xai-Xai,,MZ0207,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Guija,,MZ0208,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Limpopo,,MZ0209,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mabalane,,MZ0210,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mandlakaze,,MZ0211,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mapai,,MZ0212,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massangena,,MZ0213,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massingir,,MZ0214,,,,,,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Inhambane,,MZ0301,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Funhalouro,,MZ0302,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Govuro,,MZ0303,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Homoine,,MZ0304,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inharrime,,MZ0305,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhassoro,,MZ0306,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Jangamo,,MZ0307,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mabote,,MZ0308,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Massinga,,MZ0309,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maxixe,,MZ0310,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Morrumbene,,MZ0311,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Panda,,MZ0312,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Vilankulo,,MZ0313,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zavala,,MZ0314,,,,,,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Barue,,MZ0401,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Chimoio,,MZ0402,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gondola,,MZ0403,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Guro,,MZ0404,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macate,,MZ0405,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Machaze,,MZ0406,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macossa,,MZ0407,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manica,,MZ0408,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mossurize,,MZ0409,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sussundenga,,MZ0410,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tambara,,MZ0411,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Vanduzi,,MZ0412,,,,,,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Boane,,MZ0501,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade Da Matola,,MZ0502,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Magude,,MZ0503,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manhiça,,MZ0504,Manhica,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marracuene,,MZ0505,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Matutuine,,MZ0506,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Moamba,,MZ0507,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namaacha,,MZ0508,,,,,,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Maputo,,MZ0601,,,,,,Maputo City,,MZ06,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Angoche,,MZ0701,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Nampula,,MZ0702,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Erati,,MZ0703,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha De Moçambique,,MZ0704,Ilha De Mocambique,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lalaua,,MZ0705,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Larde,,MZ0706,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Liúpo,,MZ0707,Liupo,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Malema,,MZ0708,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Meconta,,MZ0709,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mecuburi,,MZ0710,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Memba,,MZ0711,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mogincual,,MZ0712,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mogovolas,,MZ0713,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Moma,,MZ0714,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Monapo,,MZ0715,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mossuril,,MZ0716,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muecate,,MZ0717,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Murrupula,,MZ0718,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacala,,MZ0719,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacala-A-Velha,,MZ0720,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nacaroa,,MZ0721,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Rapale,,MZ0722,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ribaue,,MZ0723,,,,,,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chimbonila,,MZ0801,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Lichinga,,MZ0802,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cuamba,,MZ0803,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha Licom,,MZ0804,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ilha Risunodo,,MZ0805,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lago,,MZ0806,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lago Niassa,,MZ0807,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Majune,,MZ0808,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mandimba,,MZ0809,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marrupa,,MZ0810,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maua,,MZ0811,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mavago,,MZ0812,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mecanhelas,,MZ0813,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mecula,,MZ0814,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Metarica,,MZ0815,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muembe,,MZ0816,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ngauma,,MZ0817,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nipepe,,MZ0818,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sanga,,MZ0819,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Buzi,,MZ0901,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Caia,,MZ0902,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chemba,,MZ0903,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cheringoma,,MZ0904,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chibabava,,MZ0905,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade Da Beira,,MZ0906,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Dondo,,MZ0907,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gorongosa,,MZ0908,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Machanga,,MZ0909,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maringue,,MZ0910,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marromeu,,MZ0911,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Muanza,,MZ0912,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nhamatanda,,MZ0913,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Angonia,,MZ1001,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cahora Bassa,,MZ1002,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Changara,,MZ1003,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chifunde,,MZ1004,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chiuta,,MZ1005,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Tete,,MZ1006,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Doa,,MZ1007,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Macanga,,MZ1008,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Magoe,,MZ1009,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Marara,,MZ1010,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maravia,,MZ1011,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Moatize,,MZ1012,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mutarara,,MZ1013,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tsangano,,MZ1014,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zumbu,,MZ1015,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Alto Molocue,,MZ1101,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Chinde,,MZ1102,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Cidade De Quelimane,,MZ1103,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Derre,,MZ1104,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gile,,MZ1105,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gurue,,MZ1106,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Ile,,MZ1107,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhassunge,,MZ1108,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Luabo,,MZ1109,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Lugela,,MZ1110,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maganja Da Costa,,MZ1111,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maquival,,MZ1112,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Milange,,MZ1113,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mocuba,,MZ1114,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mocubela,,MZ1115,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Molumbo,,MZ1116,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mopeia,,MZ1117,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Morrumbala,,MZ1118,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Mulevala,,MZ1119,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namacurra,,MZ1120,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Namarroi,,MZ1121,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nicoadala,,MZ1122,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Pebane,,MZ1123,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
