admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ua,admin3AltName2_ua,admin3AltName1_ru,admin3AltName2_ru,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,admin0Name_en,admin0Name_ua,admin0Name_ru,admin0Pcode,date,validOn,validTo,admin3ClassCode,admin3ClassType,admin3PoliticalType,admin3pcode2016,admin2ClassType,admin1ClassType
Yevpatoriiska,Євпаторійська,Евпаторийский,UA0110900000,Yevpatoriiska,,,,,,,Yevpatoriiska,Євпаторійська,Евпаторийский,UA01109,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,110900000,міська рада,область
Zaozernenska,Заозерненська,Заозерненский,UA0110945300,Zaozernenska,,,,,,,Yevpatoriiska,Євпаторійська,Евпаторийский,UA01109,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,110945300,міська рада,область
Myrnivska,Мирнівська,Мироновский,UA0110945600,Myrnivska,,,,,,,Yevpatoriiska,Євпаторійська,Евпаторийский,UA01109,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,110945600,міська рада,область
Novoozernivska,Новоозернівська,Новоозерновский,UA0110945800,Novoozernivska,,,,,,,Yevpatoriiska,Євпаторійська,Евпаторийский,UA01109,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,110945800,міська рада,область
Kerchenska,Керченська,Керченский,UA0111200000,Kerchenska,,,,,,,Kerchenska,Керченська,Керченский,UA01112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111200000,міська рада,область
Krasnoperekopska,Красноперекопська,Красноперекопский,UA0111300000,Krasnoperekopska,,,,,,,Krasnoperekopska,Красноперекопська,Красноперекопский,UA01113,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111300000,міська рада,область
Sakska,Сакська,Сакский,UA0111400000,Sakska,,,,,,,Sakska,Сакська,Сакский,UA01114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111400000,міська рада,область
Armianska,Армянська,Армянский,UA0111500000,Armianska,,,,,,,Armianska,Армянська,Армянский,UA01115,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111500000,міська рада,область
Suvorovska,Суворовська,Суворовский,UA0111590100,Suvorovska,,,,,,,Armianska,Армянська,Армянский,UA01115,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111590100,міська рада,область
Feodosiiska,Феодосійська,Феодосийский,UA0111600000,Feodosiiska,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111600000,міська рада,область
Ordzhonikidzevska,Орджонікідзевська,Орджоникидзевский,UA0111645400,Ordzhonikidzevska,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111645400,міська рада,область
Koktebelska,Коктебельська,Коктебельский,UA0111645700,Koktebelska,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111645700,міська рада,область
Prymorska,Приморська,Приморский,UA0111646000,Prymorska,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111646000,міська рада,область
Shchebetovska,Щебетовська,Щебетовский,UA0111646500,Shchebetovska,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111646500,міська рада,область
Berehova,Берегова,Береговой,UA0111690300,Berehova,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111690300,міська рада,область
Nasypnivska,Насипнівська,Насыпновский,UA0111692900,Nasypnivska,,,,,,,Feodosiiska,Феодосійська,Феодосийский,UA01116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111692900,міська рада,область
Sudatska,Судацька,Судакский,UA0111700000,Sudatska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111700000,міська рада,область
Novosvitska,Новосвітська,Новосветский,UA0111745200,Novosvitska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111745200,міська рада,область
Veselivska,Веселівська,Веселовский,UA0111790200,Veselivska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111790200,міська рада,область
Hrushivska,Грушівська,Грушевский,UA0111790400,Hrushivska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111790400,міська рада,область
Dachnivska,Дачнівська,Дачновский,UA0111790700,Dachnivska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111790700,міська рада,область
Mizhrichenska,Міжріченська,Междуреченский,UA0111791400,Mizhrichenska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111791400,міська рада,область
Morska,Морська,Морской,UA0111791600,Morska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111791600,міська рада,область
Soniachnodolynska,Сонячнодолинська,Солнечнодолинский,UA0111792300,Soniachnodolynska,,,,,,,Sudatska,Судацька,Судакский,UA01117,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,111792300,міська рада,область
Yaltynska,Ялтинська,Ялтинский,UA0111900000,Yaltynska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111900000,міська рада,область
Hasprynska,Гаспринська,Гаспринский,UA0111946200,Hasprynska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111946200,міська рада,область
Hurzufska,Гурзуфська,Гурзуфский,UA0111946800,Hurzufska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111946800,міська рада,область
Koreizka,Кореїзька,Кореизский,UA0111947100,Koreizka,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111947100,міська рада,область
Livadiiska,Лівадійська,Ливадийский,UA0111947900,Livadiiska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111947900,міська рада,область
Masandrivska,Масандрівська,Массандровский,UA0111948100,Masandrivska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111948100,міська рада,область
Simeizka,Сімеїзька,Симеизский,UA0111949300,Simeizka,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111949300,міська рада,область
Foroska,Фороська,Форосский,UA0111949700,Foroska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,111949700,міська рада,область
Alupkynska,Алупкинська,Алупкинский,UA0111970200,Alupkynska,,,,,,,Yaltynska,Ялтинська,Ялтинский,UA01119,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,111970200,міська рада,область
Bakhchysaraiska,Бахчисарайська,Бахчисарайский,UA0120410100,Bakhchysaraiska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,120410100,район,область
Kuibyshevska,Куйбишевська,Куйбышевский,UA0120455300,Kuibyshevska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,120455300,район,область
Poshtivska,Поштівська,Почтовский,UA0120455600,Poshtivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,120455600,район,область
Aromatnenska,Ароматненська,Ароматненский,UA0120480400,Aromatnenska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120480400,район,область
Verkhorichenska,Верхоріченська,Верхореченский,UA0120480800,Verkhorichenska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120480800,район,область
Vilinska,Вілінська,Вилинский,UA0120481300,Vilinska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120481300,район,область
Holubynska,Голубинська,Голубинский,UA0120481900,Holubynska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120481900,район,область
Dolynnenska,Долинненська,Долинненский,UA0120482200,Dolynnenska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120482200,район,область
Zaliznychnenska,Залізничненська,Железнодорожненский,UA0120482500,Zaliznychnenska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120482500,район,область
Zelenivska,Зеленівська,Зеленовский,UA0120482900,Zelenivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120482900,район,область
Kashtanivska,Каштанівська,Каштановский,UA0120483600,Kashtanivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120483600,район,область
Krasnomatska,Красномацька,Красномакский,UA0120483900,Krasnomatska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120483900,район,область
Pishchanivska,Піщанівська,Песчановский,UA0120484400,Pishchanivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120484400,район,область
Plodivska,Плодівська,Плодовский,UA0120484600,Plodivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120484600,район,область
Skalystivska,Скалистівська,Скалистовский,UA0120485000,Skalystivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120485000,район,область
Tabachnenska,Табачненська,Табачненский,UA0120485500,Tabachnenska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120485500,район,область
Tinystivska,Тінистівська,Тенистовский,UA0120486200,Tinystivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120486200,район,область
Uhlivska,Углівська,Угловский,UA0120488400,Uhlivska,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA01204,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120488400,район,область
Bilohirska,Білогірська,Белогорский,UA0120710100,Bilohirska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,міська рада,120710100,район,область
Zuiska,Зуйська,Зуйский,UA0120755300,Zuiska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,120755300,район,область
Aromatnivska,Ароматнівська,Ароматновский,UA0120780400,Aromatnivska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120780400,район,область
Bahativska,Багатівська,Богатовский,UA0120780800,Bahativska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120780800,район,область
Vasylivska,Василівська,Васильевский,UA0120781300,Vasylivska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120781300,район,область
Vyshenska,Вишенська,Вишенский,UA0120781900,Vyshenska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120781900,район,область
Zelenohirska,Зеленогірська,Зеленогорский,UA0120782500,Zelenohirska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120782500,район,область
Zemlianychnenska,Земляничненська,Земляничненский,UA0120782700,Zemlianychnenska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120782700,район,область
Zybynska,Зибинська,Зыбинский,UA0120782900,Zybynska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120782900,район,область
Krynychnenska,Криничненська,Криничненский,UA0120783400,Krynychnenska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120783400,район,область
Krymskorozivska,Кримськорозівська,Крымскорозовский,UA0120783600,Krymskorozivska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120783600,район,область
Kurska,Курська,Курский,UA0120783800,Kurska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120783800,район,область
Melnychna,Мельнична,Мельничный,UA0120784200,Melnychna,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120784200,район,область
Michurinska,Мічурінська,Мичуринский,UA0120784600,Michurinska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120784600,район,область
Muromska,Муромська,Муромский,UA0120785000,Muromska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120785000,район,область
Novozhylivska,Новожилівська,Новожиловский,UA0120785800,Novozhylivska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120785800,район,область
Rusakivska,Русаківська,Русаковский,UA0120786300,Rusakivska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120786300,район,область
Tsvitochnenska,Цвіточненська,Цветочненский,UA0120788400,Tsvitochnenska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120788400,район,область
Chornopilska,Чорнопільська,Чернопольский,UA0120788800,Chornopilska,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA01207,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,сільська рада,120788800,район,область
Azovska,Азовська,Азовский,UA0121155200,Azovska,,,,,,,Dzhankoiskyi,Джанкойський,Джанкойский,UA01211,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-10-24,,81400000,рада,селищна рада,121155200,район,область
