admin2Name_pt,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_pt,admin2AltName2_pt,admin2AltName1_en,admin2AltName2_en,admin1Name_pt,admin1Name_en,admin1Pcode,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Majune,,MZ0808,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mandimba,,MZ0809,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Marrupa,,MZ0810,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maua,,MZ0811,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mavago,,MZ0812,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mecanhelas,,MZ0813,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mecula,,MZ0814,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Metarica,,MZ0815,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muembe,,MZ0816,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ngauma,,MZ0817,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nipepe,,MZ0818,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Sanga,,MZ0819,,,,,,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Buzi,,MZ0901,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Caia,,MZ0902,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chemba,,MZ0903,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cheringoma,,MZ0904,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chibabava,,MZ0905,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade Da Beira,,MZ0906,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Dondo,,MZ0907,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Gorongosa,,MZ0908,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Machanga,,MZ0909,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maringue,,MZ0910,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Marromeu,,MZ0911,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Muanza,,MZ0912,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nhamatanda,,MZ0913,,,,,,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Angonia,,MZ1001,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cahora Bassa,,MZ1002,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Changara,,MZ1003,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chifunde,,MZ1004,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chiuta,,MZ1005,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Tete,,MZ1006,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Doa,,MZ1007,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Macanga,,MZ1008,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Magoe,,MZ1009,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Marara,,MZ1010,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maravia,,MZ1011,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Moatize,,MZ1012,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mutarara,,MZ1013,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Tsangano,,MZ1014,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Zumbu,,MZ1015,,,,,,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Alto Molocue,,MZ1101,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chinde,,MZ1102,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Cidade De Quelimane,,MZ1103,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Derre,,MZ1104,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Gile,,MZ1105,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Gurue,,MZ1106,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Ile,,MZ1107,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Inhassunge,,MZ1108,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Luabo,,MZ1109,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Lugela,,MZ1110,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maganja Da Costa,,MZ1111,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Maquival,,MZ1112,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Milange,,MZ1113,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mocuba,,MZ1114,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mocubela,,MZ1115,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Molumbo,,MZ1116,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mopeia,,MZ1117,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Morrumbala,,MZ1118,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mulevala,,MZ1119,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Namacurra,,MZ1120,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Namarroi,,MZ1121,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Nicoadala,,MZ1122,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Pebane,,MZ1123,,,,,,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
