admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
San Antonio Masahuat,SV0607,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Emigdio,SV0608,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Francisco Chinameca,SV0609,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Juan Nonualco,SV0610,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Juan Talpa,SV0611,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Juan Tepezontes,SV0612,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Luis La Herradura,SV0613,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Luis Talpa,SV0614,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Miguel Tepezontes,SV0615,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Pedro Masahuat,SV0616,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Pedro Nonualco,SV0617,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
San Rafael Obrajuelo,SV0618,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
Santa María Ostuma,SV0619,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
Santiago Nonualco,SV0620,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
Tapalhuaca,SV0621,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
Zacatecoluca,SV0622,,,,La Paz,SV06,El Salvador,SV,2020-05-29,2021-02-08,
Anamorós,SV0701,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Bolívar,SV0702,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Concepción de Oriente,SV0703,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Conchagua,SV0704,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
El Carmen,SV0705,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
El Sauce,SV0706,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Intipucá,SV0707,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
La Unión,SV0708,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Lislique,SV0709,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Meanguera del Golfo,SV0710,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Nueva Esparta,SV0711,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Pasaquina,SV0712,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Polorós,SV0713,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
San Alejo,SV0714,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
San José,SV0715,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Santa Rosa de Lima,SV0716,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Yayantique,SV0717,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Yucuaiquín,SV0718,,,,La Unión,SV07,El Salvador,SV,2020-05-29,2021-02-08,
Arambala,SV0801,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Cacaopera,SV0802,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Chilanga,SV0803,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Corinto,SV0804,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Delicias de Concepción,SV0805,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
El Divisadero,SV0806,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
El Rosario,SV0807,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Gualococti,SV0808,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Guatajiagua,SV0809,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Joateca,SV0810,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Jocoaitique,SV0811,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Jocoro,SV0812,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Lolotiquillo,SV0813,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Meanguera,SV0814,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Osicala,SV0815,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Perquín,SV0816,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
San Carlos,SV0817,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
San Fernando,SV0818,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
San Francisco Gotera,SV0819,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
San Isidro,SV0820,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
San Simón,SV0821,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Sensembra,SV0822,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Sociedad,SV0823,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Torola,SV0824,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Yamabal,SV0825,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Yoloaiquín,SV0826,,,,Morazán,SV08,El Salvador,SV,2020-05-29,2021-02-08,
Carolina,SV0901,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Chapeltique,SV0902,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Chinameca,SV0903,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Chirilagua,SV0904,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Ciudad Barrios,SV0905,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Comacarán,SV0906,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
El Tránsito,SV0907,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Lolotique,SV0908,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Moncagua,SV0909,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Nueva Guadalupe,SV0910,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Nuevo Edén de San Juan,SV0911,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Quelepa,SV0912,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
San Antonio,SV0913,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
San Gerardo,SV0914,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
San Jorge,SV0915,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
San Luis de la Reina,SV0916,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
San Miguel,SV0917,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
San Rafael,SV0918,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Sesori,SV0919,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Uluazapa,SV0920,,,,San Miguel,SV09,El Salvador,SV,2020-05-29,2021-02-08,
Aguilares,SV1001,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Apopa,SV1002,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Ayutuxtepeque,SV1003,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Cuscatancingo,SV1004,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
El Paisnal,SV1005,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Guazapa,SV1006,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Ilopango,SV1007,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Mejicanos,SV1008,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Nejapa,SV1009,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Panchimalco,SV1010,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Rosario de Mora,SV1011,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
San Marcos,SV1012,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
San Martín,SV1013,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
San Salvador,SV1014,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Santiago Texacuangos,SV1015,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Santo Tomás,SV1016,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Soyapango,SV1017,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Tonacatepeque,SV1018,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Delgado,SV1019,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Lago de Llopango,SV1099,,,,San Salvador,SV10,El Salvador,SV,2020-05-29,2021-02-08,
Apastepeque,SV1101,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Guadalupe,SV1102,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
San Cayetano Istepeque,SV1103,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
San Esteban Catarina,SV1104,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
San Ildefonso,SV1105,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
San Lorenzo,SV1106,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
San Sebastián,SV1107,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
San Vicente,SV1108,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Santa Clara,SV1109,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Santo Domingo,SV1110,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Tecoluca,SV1111,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Tepetitán,SV1112,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Verapaz,SV1113,,,,San Vicente,SV11,El Salvador,SV,2020-05-29,2021-02-08,
Candelaria de la Frontera,SV1201,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Chalchuapa,SV1202,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Coatepeque,SV1203,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
El Congo,SV1204,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
El Porvenir,SV1205,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Masahuat,SV1206,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Metapán,SV1207,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
San Antonio Pajonal,SV1208,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
San Sebastián Salitrillo,SV1209,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Santa Ana,SV1210,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Santa Rosa Guachipilín,SV1211,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Santiago de la Frontera,SV1212,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Texistepeque,SV1213,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Lago de Guija,SV1298,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Lago de Coatepeque,SV1299,,,,Santa Ana,SV12,El Salvador,SV,2020-05-29,2021-02-08,
Acajutla,SV1301,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Armenia,SV1302,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Caluco,SV1303,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Cuisnahuat,SV1304,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Izalco,SV1305,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Juayúa,SV1306,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Nahuizalco,SV1307,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Nahulingo,SV1308,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Salcoatitán,SV1309,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
San Antonio del Monte,SV1310,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
San Julián,SV1311,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Santa Catarina Masahuat,SV1312,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Santa Isabel Ishuatán,SV1313,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Santo Domingo,SV1314,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Sonsonate,SV1315,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Sonzacate,SV1316,,,,Sonsonate,SV13,El Salvador,SV,2020-05-29,2021-02-08,
Alegría,SV1401,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Berlín,SV1402,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
