admin2Name_en,admin2Name_bg,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_bg,admin2AltName2_bg,admin1Name_en,admin1Name_bg,admin1Pcode,admin0Name_en,admin0Name_bg,admin0Pcode,date,validOn,validTo
Kovachevtsi,,BG011002,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pernik,,BG011003,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
Radomir,,BG011004,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
Tran,,BG011005,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
Zemen,,BG011006,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
Belene,,BG012001,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Cherven Briag,,BG012002,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dolna Mitropolia,,BG012003,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dolni Dabnik,,BG012004,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Guliantsi,,BG012005,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Iskar,,BG012006,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Knezha,,BG012007,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Levski,,BG012008,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Nikopol,,BG012009,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pleven,,BG012010,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Pordim,,BG012011,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
Asenovgrad,,BG013001,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Brezovo,,BG013002,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Hisaria,,BG013003,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kaloianovo,,BG013004,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Karlovo,,BG013005,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Krichim,,BG013006,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kuklen,,BG013007,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Laki,,BG013008,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Maritsa,,BG013009,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Parvomai,,BG013010,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Perushtitsa,,BG013011,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Plovdiv,,BG013012,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Rakovski,,BG013013,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Rodopi,,BG013014,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sadovo,,BG013015,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Saedinenie,,BG013016,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Sopot,,BG013017,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Stamboliiski,,BG013018,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
Isperih,,BG014001,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kubrat,,BG014002,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
