admin3Name_en,admin3Name_sq,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_sq,admin3AltName2_sq,admin2Name_en,admin2Name_sq,admin2Pcode,admin1Name_en,admin1Name_sq,admin1Pcode,admin0Name_en,admin0Name_sq,admin0Pcode,date,validOn,validTo
Durres,Durrës,AL030101,,,,,,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Ishem,Ishëm,AL030102,,,,,,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Katund i Ri,Katund i Ri,AL030103,,,,,,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Manez,Manëz,AL030104,,,,,,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Rrashbull,Rrashbull,AL030105,,,,,,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Sukth,Sukth,AL030106,,,,,,Bashkia Durres,Bashkia Durrës,AL0301,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bubq,Bubq,AL030201,,,,,,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Cudhi,Cudhi,AL030202,,,,,,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fushe Kruje,Fushë Krujë,AL030203,,,,,,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Koder Thumane,Kodër Thumanë,AL030204,,,,,,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kruje,Krujë,AL030205,,,,,,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Nikel,Nikël,AL030206,,,,,,Bashkia Kruje,Bashkia Krujë,AL0302,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjepalaj,Gjepalaj,AL030301,,,,,,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Maminas,Maminas,AL030302,,,,,,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shijak,Shijak,AL030303,,,,,,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Xhafzotaj,Xhafzotaj,AL030304,,,,,,Bashkia Shijak,Bashkia Shijak,AL0303,Durres,Durrës,AL03,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Belsh,Belsh,AL040101,,,,,,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fierz,Fierz,AL040102,,,,,,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Grekan,Grekan,AL040103,,,,,,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kajan,Kajan,AL040104,,,,,,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Rrase,Rrasë,AL040105,,,,,,Bashkia Belsh,Bashkia Belsh,AL0401,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Cerrik,Cërrik,AL040201,,,,,,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gostime,Gostimë,AL040202,,,,,,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Klos,Klos,AL040203,,,,,,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Mollas,Mollas,AL040204,,,,,,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shales,Shalës,AL040205,,,,,,Bashkia Cerrik,Bashkia Cërrik,AL0402,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bradashesh,Bradashesh,AL040301,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Elbasan,Elbasan,AL040302,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Funare,Funarë,AL040303,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjegjan,Gjegjan,AL040304,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjinar,Gjinar,AL040305,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gracen,Gracen,AL040306,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Labinot Fushe,Labinot Fushë,AL040307,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Labinot Mal,Labinot Mal,AL040308,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Paper,Papër,AL040309,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shirgjan,Shirgjan,AL040310,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Shushice,Shushicë,AL040311,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Tregan,Tregan,AL040312,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Zavaline,Zavalinë,AL040313,,,,,,Bashkia Elbasan,Bashkia Elbasan,AL0403,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gramsh,Gramsh,AL040401,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kodovjat,Kodovjat,AL040402,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kukur,Kukur,AL040403,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kushove,Kushovë,AL040404,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lenie,Lënie,AL040405,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Pishaj,Pishaj,AL040406,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Porocan,Poroçan,AL040407,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Skenderbegas,Skëndërbegas,AL040408,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Sult,Sult,AL040409,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Tunje,Tunjë,AL040410,,,,,,Bashkia Gramsh,Bashkia Gramsh,AL0404,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Hotolisht,Hotolisht,AL040501,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Librazhd,Librazhd,AL040502,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Lunik,Lunik,AL040503,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Orenje,Orenjë,AL040504,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Polis,Polis,AL040505,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Qender,Qendër,AL040506,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Stebleve,Steblevë,AL040507,,,,,,Bashkia Librazhd,Bashkia Librazhd,AL0405,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gjocaj,Gjocaj,AL040601,,,,,,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Karine,Karinë,AL040602,,,,,,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Pajove,Pajovë,AL040603,,,,,,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Peqin,Peqin,AL040604,,,,,,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Perparim,Përparim,AL040605,,,,,,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Sheze,Shezë,AL040606,,,,,,Bashkia Peqin,Bashkia Peqin,AL0406,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Perrenjas,Perrenjas,AL040701,,,,,,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Qukes,Qukës,AL040702,,,,,,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Rrajce,Rrajcë,AL040703,,,,,,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Stravaj,Stravaj,AL040704,,,,,,Bashkia Prrenjas,Bashkia Prrenjas,AL0407,Elbasan,Elbasan,AL04,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Divjake,Divjakë,AL050101,,,,,,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Grabian,Grabian,AL050102,,,,,,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Gradishte,Gradishtë,AL050103,,,,,,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Remas,Remas,AL050104,,,,,,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Terbuf,Tërbuf,AL050105,,,,,,Bashkia Divjake,Bashkia Divjakë,AL0501,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Cakran,Cakran,AL050201,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Dermenas,Dermenas,AL050202,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fier,Fier,AL050203,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Frakull,Frakull,AL050204,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Levan,Levan,AL050205,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Libofshe,Libofshë,AL050206,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Mbrostar Ura,Mbrostar Ura,AL050207,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Portez,Portëz,AL050208,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Qender,Qendër,AL050209,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Topoje,Topojë,AL050210,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Zharrez,Zharrëz,AL050211,,,,,,Bashkia Fier,Bashkia Fier,AL0502,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Allkaj,Allkaj,AL050301,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Ballagat,Ballagat,AL050302,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Bubullime,Bubullimë,AL050303,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Dushk,Dushk,AL050304,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Fier Shegan,Fier Shegan,AL050305,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Golem,Golem,AL050306,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Hysgjokaj,Hysgjokaj,AL050307,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Karbunare,Karbunarë,AL050308,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
Kolonje,Kolonjë,AL050309,,,,,,Bashkia Lushnje,Bashkia Lushnjës,AL0503,Fier,Fier,AL05,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
