admin2Name_en,admin2Name_ka,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ka,admin2AltName2_ka,admin1Name_en,admin1Name_ka,admin1Pcode,admin0Name_en,admin0Name_ka,admin0Pcode,date,validOn,validTo
Sachkhere,საჩხერის,GE2635,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tkibuli,ტყიბულის,GE2636,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tskaltubo,წყალტუბოს,GE2638,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Chiatura,ჭიათურის,GE2640,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kharagauli,ხარაგაულის,GE2642,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Khoni,ხონის,GE2644,,,,,,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Telavi City,ქ. თელავი,GE2911,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Akhmeta,ახმეტის,GE2924,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Gurjaani,გურჯაანის,GE2926,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Dedoplistskaro,დედოფლისწყაროს,GE2928,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Telavi,თელავის,GE2930,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Lagodekhi,ლაგოდეხის,GE2932,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Sagarejo,საგარეჯოს,GE2934,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Sighnaghi,სიღნაღის,GE2936,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kvareli,ყვარლის,GE2938,,,,,,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Mtskheta City,ქ. მცხეთა,GE3211,,,,,,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Dusheti,დუშეთის მუნიციპალიტეტი,GE3225,,,,,,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tianeti,თიანეთის მუნიციპალიტეტი,GE3227,,,,,,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Mtskheta,მცხეთის,GE3229,,,,,,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kazbegi,ყაზბეგის,GE3231,,,,,,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Ambrolauri City,ქ. ამბროლაური,GE3511,,,,,,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Ambrolauri,ამბროლაურის,GE3523,,,,,,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Lentekhi,ლენტეხის,GE3526,,,,,,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Oni,ონის,GE3529,,,,,,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tsageri,ცაგერის,GE3531,,,,,,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Zugdidi City,ქ. ზუგდიდი,GE3811,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Poti,ქ. ფოთი,GE3814,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Abasha,აბაშის,GE3823,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Zugdidi,ზუგდიდის,GE3825,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Martvili,მარტვილის,GE3828,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Mestia,მესტიის,GE3830,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Senaki,სენაკის,GE3832,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Chkhorotsku,ჩხოროწყუს,GE3834,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tsalenjikha,წალენჯიხის,GE3836,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Khobi,ხობის,GE3838,,,,,,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Akhaltsikhe City,ქ. ახალციხე,GE4111,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Adigeni,ადიგენის,GE4123,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Aspindza,ასპინძის,GE4125,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Akhalkalaki,ახალქალაქის,GE4127,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Akhaltsikhe,ახალციხის,GE4129,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Borjomi,ბორჯომის,GE4131,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Ninotsminda,ნინოწმინდის,GE4133,,,,,,Samtskhe-Javakheti,სამცხე-ჯავახეთი,GE41,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Rustavi,ქ. რუსთავი,GE4411,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Bolnisi,ბოლნისის,GE4424,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Gardabani,გარდაბნის,GE4426,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Dmanisi,დმანისის,GE4428,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tetritskaro,თეთრიწყაროს,GE4430,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Marneuli,მარნეულის,GE4432,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Tsalka,წალკის,GE4434,,,,,,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Gori City,ქ. გორი,GE4711,,,,,,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Gori,გორის,GE4724,,,,,,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kaspi,კასპის,GE4726,,,,,,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Kareli,ქარელის,GE4728,,,,,,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
Khashuri,ხაშურის,GE4731,,,,,,Shida Kartli,შიდა ქართლი,GE47,Georgia,საქართველო,GE,2019-08-28,2019-10-18,
