admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Dzoma,BT01003,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Goenshari,BT01004,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Guma,BT01005,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Kabjisa,BT01006,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Lingmukha,BT01007,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Shengabjimi,BT01008,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Talo,BT01009,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Toepisa,BT01010,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Toewang,BT01011,,,,Punakha,BT010,Bhutan,BT,2019-02-01,2020-10-30,
Dewathang,BT01101,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Gomdar,BT01102,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Langchhenphu,BT01103,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Martshala,BT01104,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Jangchhubling,BT01105,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Pemathang,BT01106,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Phuntsthothang,BT01107,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Samrang,BT01108,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Serthig,BT01109,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Lauri,BT01110,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Wangphu,BT01111,,,,Samdrupjongkhar,BT011,Bhutan,BT,2019-02-01,2020-10-30,
Bara,BT01201,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Biru,BT01202,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Chargharay,BT01203,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Chengmari,BT01204,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Denchhukha,BT01205,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Dorokha,BT01206,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Dungtoe,BT01207,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Namgyel Chhoeling,BT01208,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Pagli,BT01209,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Samtse,BT01210,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Sipsu,BT01211,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Tading,BT01212,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Tendu,BT01213,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Yoeseltse,BT01214,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Ugentse,BT01215,,,,Samtse,BT012,Bhutan,BT,2019-02-01,2020-10-30,
Bhur,BT01301,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Chhuzagang,BT01302,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Dekiling,BT01303,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Doban,BT01304,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Gelephu,BT01305,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Hiley,BT01306,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Jigmichhoeling,BT01307,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Senge,BT01308,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Sherzhong,BT01309,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Shompangkha,BT01310,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Taklai,BT01311,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Umling,BT01312,,,,Sarpang,BT013,Bhutan,BT,2019-02-01,2020-10-30,
Chang,BT01401,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Dagala,BT01402,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Genye,BT01403,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Kawang,BT01404,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Lingzhi,BT01405,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
