admin2Name_en,admin2Name_th,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_th,admin2AltName2_th,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
Phachi,ภาชี,TH1409,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lat Bua Luang,ลาดบัวหลวง,TH1410,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Noi,วังน้อย,TH1411,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sena,เสนา,TH1412,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Sai,บางซ้าย,TH1413,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Uthai,อุทัย,TH1414,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Maha Rat,มหาราช,TH1415,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Phraek,บ้านแพรก,TH1416,,,,,,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Ang Thong,เมืองอ่างทอง,TH1501,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chaiyo,ไชโย,TH1502,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pa Mok,ป่าโมก,TH1503,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pho Thong,โพธิ์ทอง,TH1504,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sawaeng Ha,แสวงหา,TH1505,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wiset Chai Chan,วิเศษชัยชาญ,TH1506,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Samko,สามโก้,TH1507,,,,,,Ang Thong,อ่างทอง,TH15,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Lop Buri,เมืองลพบุรี,TH1601,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phatthana Nikhom,พัฒนานิคม,TH1602,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khok Samrong,โคกสำโรง,TH1603,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chai Badan,ชัยบาดาล,TH1604,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Wung,ท่าวุ้ง,TH1605,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Mi,บ้านหมี่,TH1606,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Luang,ท่าหลวง,TH1607,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sa Bot,สระโบสถ์,TH1608,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khok Charoen,โคกเจริญ,TH1609,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Lam Sonthi,ลำสนธิ,TH1610,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Muang,หนองม่วง,TH1611,,,,,,Lop Buri,ลพบุรี,TH16,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Sing Buri,เมืองสิงห์บุรี,TH1701,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Rachan,บางระจัน,TH1702,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khai Bang Rachan,ค่ายบางระจัน,TH1703,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phrom Buri,พรหมบุรี,TH1704,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Chang,ท่าช้าง,TH1705,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
In Buri,อินทร์บุรี,TH1706,,,,,,Sing Buri,สิงห์บุรี,TH17,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Chai Nat,เมืองชัยนาท,TH1801,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Manorom,มโนรมย์,TH1802,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wat Sing,วัดสิงห์,TH1803,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sapphaya,สรรพยา,TH1804,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sankhaburi,สรรคบุรี,TH1805,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Hankha,หันคา,TH1806,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Mamong,หนองมะโมง,TH1807,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Noen Kham,เนินขาม,TH1808,,,,,,Chai Nat,ชัยนาท,TH18,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Saraburi,เมืองสระบุรี,TH1901,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Kaeng Khoi,แก่งคอย,TH1902,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Khae,หนองแค,TH1903,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wihan Daeng,วิหารแดง,TH1904,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Saeng,หนองแซง,TH1905,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Mo,บ้านหมอ,TH1906,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Don Phut,ดอนพุด,TH1907,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Don,หนองโดน,TH1908,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phra Phutthabat,พระพุทธบาท,TH1909,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sao Hai,เสาไห้,TH1910,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Muak Lek,มวกเหล็ก,TH1911,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Muang,วังม่วง,TH1912,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Chaloem Phra Kiat,เฉลิมพระเกียรติ,TH1913,,,,,,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Chon Buri,เมืองชลบุรี,TH2001,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Bueng,บ้านบึง,TH2002,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nong Yai,หนองใหญ่,TH2003,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Lamung,บางละมุง,TH2004,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phan Thong,พานทอง,TH2005,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Phanat Nikhom,พนัสนิคม,TH2006,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Si Racha,ศรีราชา,TH2007,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ko Si Chang,เกาะสีชัง,TH2008,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Sattahip,สัตหีบ,TH2009,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bo Thong,บ่อทอง,TH2010,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ko Chan,เกาะจันทร์,TH2011,,,,,,Chon Buri,ชลบุรี,TH20,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Rayong,เมืองระยอง,TH2101,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Chang,บ้านฉาง,TH2102,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Klaeng,แกลง,TH2103,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Wang Chan,วังจันทร์,TH2104,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ban Khai,บ้านค่าย,TH2105,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pluak Daeng,ปลวกแดง,TH2106,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khao Chamao,เขาชะเมา,TH2107,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Nikhom Phatthana,นิคมพัฒนา,TH2108,,,,,,Rayong,ระยอง,TH21,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Chanthaburi,เมืองจันทบุรี,TH2201,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlung,ขลุง,TH2202,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Tha Mai,ท่าใหม่,TH2203,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Pong Nam Ron,โป่งน้ำร้อน,TH2204,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Makham,มะขาม,TH2205,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Laem Sing,แหลมสิงห์,TH2206,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Soi Dao,สอยดาว,TH2207,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Kaeng Hang Maeo,แก่งหางแมว,TH2208,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Na Yai Am,นายายอาม,TH2209,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khao Khitchakut,เขาคิชฌกูฏ,TH2210,,,,,,Chanthaburi,จันทบุรี,TH22,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Trat,เมืองตราด,TH2301,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khlong Yai,คลองใหญ่,TH2302,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Khao Saming,เขาสมิง,TH2303,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bo Rai,บ่อไร่,TH2304,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Laem Ngop,แหลมงอบ,TH2305,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ko Kut,เกาะกูด,TH2306,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Ko Chang,เกาะช้าง,TH2307,,,,,,Trat,ตราด,TH23,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Mueang Chachoengsao,เมืองฉะเชิงเทรา,TH2401,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Khla,บางคล้า,TH2402,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Nam Priao,บางน้ำเปรี้ยว,TH2403,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
Bang Pakong,บางปะกง,TH2404,,,,,,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,2019-02-18,2019-02-21,
