admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Neya,SL020306,Neya,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Nieni,SL020307,Nieni,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sengbe,SL020308,Sengbe,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sulima,SL020309,Sulima,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Wara Wara Bafod,SL020310,Wara Wara Bafod,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Wara Wara Yagal,SL020311,Wara Wara Yagal,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Bureh Kasseh Ma,SL020401,Bureh Kasseh Ma,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Buya Romende,SL020402,Buya Romende,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Dibia,SL020403,Dibia,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kaffu Bullom,SL020404,Kaffu Bullom,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tasso Island,SL020405,Tasso Island,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Lokomasama,SL020406,Lokomasama,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Maforki,SL020407,Maforki,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Marampa,SL020408,Marampa,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Masimera,SL020409,Masimera,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sanda Magbolont,SL020410,Sanda Magbolont,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
