admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ua,admin2AltName2_ua,admin2AltName1_ru,admin2AltName2_ru,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,admin0Name_en,admin0Name_ua,admin0Name_ru,admin0Pcode,date,validOn,validTo,admin2ClassCode,admin2ClassType,admin2PoliticalType,admin2pcode2016,admin1ClassType,admin1ClassCode
Krasnohvardiiskyi,Красногвардійський,Красногвардейский,UA01220,Krasnohvardiiskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,122000000,область,81200000
Krasnoperekopskyi,Красноперекопський,Красноперекопский,UA01223,Krasnoperekopskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,122300000,область,81200000
Leninskyi,Ленінський,Ленинский,UA01227,Leninskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,122700000,область,81200000
Nyzhnohirskyi,Нижньогірський,Нижнегорский,UA01231,Nyzhnohirskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,123100000,область,81200000
Pervomaiskyi,Первомайський,Первомайский,UA01235,Pervomaiskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,123500000,область,81200000
Rozdolnenskyi,Роздольненський,Раздольненский,UA01239,Rozdolnenskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,123900000,область,81200000
Sakskyi,Сакський,Сакский,UA01243,Sakskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,124300000,область,81200000
Simferopolskyi,Сімферопольський,Симферопольский,UA01247,Simferopolskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,124700000,область,81200000
Sovietskyi,Совєтський,Советский,UA01252,Sovietskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,125200000,область,81200000
Chornomorskyi,Чорноморський,Черноморский,UA01256,Chornomorskyi,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,125600000,область,81200000
Vinnytska,Вінницька,Винницкий,UA05101,Vinnytska,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,510100000,область,81200000
Zhmerynska,Жмеринська,Жмеринский,UA05103,Zhmerynska,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,510300000,область,81200000
Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольский,UA05104,Mohyliv-Podilska,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,510400000,область,81200000
Koziatynska,Козятинська,Казатинский,UA05105,Koziatynska,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,510500000,область,81200000
Ladyzhynska,Ладижинська,Ладыжинский,UA05106,Ladyzhynska,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,510600000,область,81200000
Khmilnytska,Хмільницька,Хмельникский,UA05109,Khmilnytska,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,510900000,область,81200000
Barskyi,Барський,Барский,UA05202,Barskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,520200000,область,81200000
Bershadskyi,Бершадський,Бершадский,UA05204,Bershadskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,520400000,область,81200000
Vinnytskyi,Вінницький,Винницкий,UA05206,Vinnytskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,520600000,область,81200000
Haisynskyi,Гайсинський,Гайсинский,UA05208,Haisynskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,520800000,область,81200000
Zhmerynskyi,Жмеринський,Жмеринский,UA05210,Zhmerynskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,521000000,область,81200000
Illinetskyi,Іллінецький,Ильинецкий,UA05212,Illinetskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,521200000,область,81200000
Koziatynskyi,Козятинський,Казатинский,UA05214,Koziatynskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,521400000,область,81200000
Kalynivskyi,Калинівський,Калиновский,UA05216,Kalynivskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,521600000,область,81200000
Kryzhopilskyi,Крижопільський,Крыжопольский,UA05219,Kryzhopilskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,521900000,область,81200000
Lypovetskyi,Липовецький,Липовецкий,UA05222,Lypovetskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,522200000,область,81200000
Litynskyi,Літинський,Литинский,UA05224,Litynskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,522400000,область,81200000
Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,UA05226,Mohyliv-Podilskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,522600000,область,81200000
Murovanokurylovetskyi,Мурованокуриловецький,Мурованокуриловецкий,UA05228,Murovanokurylovetskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,522800000,область,81200000
Nemyrivskyi,Немирівський,Немировский,UA05230,Nemyrivskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,523000000,область,81200000
Orativskyi,Оратівський,Оратовский,UA05231,Orativskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,523100000,область,81200000
Pishchanskyi,Піщанський,Песчанский,UA05232,Pishchanskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,523200000,область,81200000
Pohrebyshchenskyi,Погребищенський,Погребищенский,UA05234,Pohrebyshchenskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,523400000,область,81200000
Teplytskyi,Теплицький,Тепликский,UA05237,Teplytskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,523700000,область,81200000
Tomashpilskyi,Томашпільський,Томашпольский,UA05239,Tomashpilskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,523900000,область,81200000
Trostianetskyi,Тростянецький,Тростянецкий,UA05241,Trostianetskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,524100000,область,81200000
Tulchynskyi,Тульчинський,Тульчинский,UA05243,Tulchynskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,524300000,область,81200000
Tyvrivskyi,Тиврівський,Тывровский,UA05245,Tyvrivskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,524500000,область,81200000
Khmilnytskyi,Хмільницький,Хмельницкий,UA05248,Khmilnytskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,524800000,область,81200000
Chernivetskyi,Чернівецький,Черневецкий,UA05249,Chernivetskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,524900000,область,81200000
Chechelnytskyi,Чечельницький,Чечельницкий,UA05250,Chechelnytskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,525000000,область,81200000
Sharhorodskyi,Шаргородський,Шаргородский,UA05253,Sharhorodskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,525300000,область,81200000
Yampilskyi,Ямпільський,Ямпольский,UA05256,Yampilskyi,,,,,,,Vinnytska,Вінницька,Винницкая,UA05,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,525600000,область,81200000
Lutska,Луцька,Луцкий,UA07101,Lutska,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,710100000,область,81200000
Volodymyr-Volynska,Володимир-Волинська,Владимир-Волынский,UA07102,Volodymyr-Volynska,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,710200000,область,81200000
Kovelska,Ковельська,Ковельский,UA07104,Kovelska,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,710400000,область,81200000
Novovolynska,Нововолинська,Нововолынский,UA07107,Novovolynska,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,710700000,область,81200000
Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,UA07205,Volodymyr-Volynskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,720500000,область,81200000
Horokhivskyi,Горохівський,Гороховский,UA07208,Horokhivskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,720800000,область,81200000
Ivanychivskyi,Іваничівський,Иваничевский,UA07211,Ivanychivskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,721100000,область,81200000
Kamin-Kashyrskyi,Камінь-Каширський,Камень-Каширский,UA07214,Kamin-Kashyrskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,721400000,область,81200000
Kivertsivskyi,Ківерцівський,Киверцовский,UA07218,Kivertsivskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,721800000,область,81200000
Kovelskyi,Ковельський,Ковельский,UA07221,Kovelskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,722100000,область,81200000
Lokachynskyi,Локачинський,Локачинский,UA07224,Lokachynskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,722400000,область,81200000
Lutskyi,Луцький,Луцкий,UA07228,Lutskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,722800000,область,81200000
Liubeshivskyi,Любешівський,Любешовский,UA07231,Liubeshivskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,723100000,область,81200000
Liubomlskyi,Любомльський,Любомльский,UA07233,Liubomlskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,723300000,область,81200000
Manevytskyi,Маневицький,Маневичский,UA07236,Manevytskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,723600000,область,81200000
Ratnivskyi,Ратнівський,Ратновский,UA07242,Ratnivskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,724200000,область,81200000
Rozhyshchenskyi,Рожищенський,Рожищенский,UA07245,Rozhyshchenskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,724500000,область,81200000
Starovyzhivskyi,Старовижівський,Старовыжевский,UA07250,Starovyzhivskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,725000000,область,81200000
Turiiskyi,Турійський,Турийский,UA07255,Turiiskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,725500000,область,81200000
Shatskyi,Шацький,Шацкий,UA07257,Shatskyi,,,,,,,Volynska,Волинська,Волынская,UA07,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,725700000,область,81200000
Dniprovska,Дніпровська,Днепровский,UA12101,Dniprovska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1210100000,область,81200000
Vilnohirska,Вільногірська,Вольногорский,UA12102,Vilnohirska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1210200000,область,81200000
Dniprodzerzhynska,Дніпродзержинська,Днепродзержинский,UA12104,Dniprodzerzhynska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1210400000,область,81200000
Zhovtovodska,Жовтоводська,Желтоводский,UA12107,Zhovtovodska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1210700000,область,81200000
Kryvorizka,Криворізька,Криворожский,UA12110,Kryvorizka,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1211000000,область,81200000
Marhanetska,Марганецька,Марганецкий,UA12113,Marhanetska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1211300000,область,81200000
Nikopolska,Нікопольська,Никопольский,UA12116,Nikopolska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1211600000,область,81200000
Novomoskovska,Новомосковська,Новомосковский,UA12119,Novomoskovska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1211900000,область,81200000
Ordzhonikidzevska,Орджонікідзевська,Орджоникидзевский,UA12121,Ordzhonikidzevska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1212100000,область,81200000
Pavlohradska,Павлоградська,Павлоградский,UA12124,Pavlohradska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1212400000,область,81200000
Pershotravenska,Першотравенська,Першотравенский,UA12126,Pershotravenska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1212600000,область,81200000
Synelnykivska,Синельниківська,Синельниковский,UA12130,Synelnykivska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1213000000,область,81200000
Ternivska,Тернівська,Терновский,UA12135,Ternivska,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81400000,міська рада,міська рада,1213500000,область,81200000
Apostolivskyi,Апостолівський,Апостоловский,UA12203,Apostolivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1220300000,область,81200000
Vasylkivskyi,Васильківський,Васильковский,UA12207,Vasylkivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1220700000,область,81200000
Verkhnodniprovskyi,Верхньодніпровський,Верхнеднепровский,UA12210,Verkhnodniprovskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1221000000,область,81200000
Dniprovskyi,Дніпровський,Днипровский,UA12214,Dniprovskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1221400000,область,81200000
Kryvorizkyi,Криворізький,Криворожский,UA12218,Kryvorizkyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1221800000,область,81200000
Krynychanskyi,Криничанський,Криничанский,UA12220,Krynychanskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1222000000,область,81200000
Mahdalynivskyi,Магдалинівський,Магдалиновский,UA12223,Mahdalynivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1222300000,область,81200000
Mezhivskyi,Межівський,Межевский,UA12226,Mezhivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1222600000,область,81200000
Nikopolskyi,Нікопольський,Никопольский,UA12229,Nikopolskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1222900000,область,81200000
Novomoskovskyi,Новомосковський,Новомосковский,UA12232,Novomoskovskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1223200000,область,81200000
Pavlohradskyi,Павлоградський,Павлоградский,UA12235,Pavlohradskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1223500000,область,81200000
Petrykivskyi,Петриківський,Петриковский,UA12237,Petrykivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1223700000,область,81200000
Petropavlivskyi,Петропавлівський,Петропавловский,UA12238,Petropavlivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1223800000,область,81200000
Pokrovskyi,Покровський,Покровский,UA12242,Pokrovskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1224200000,область,81200000
Piatykhatskyi,П'ятихатський,Пятихатский,UA12245,Piatykhatskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1224500000,область,81200000
Synelnykivskyi,Синельниківський,Синельниковский,UA12248,Synelnykivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1224800000,область,81200000
Solonianskyi,Солонянський,Солонянский,UA12250,Solonianskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1225000000,область,81200000
Sofiivskyi,Софіївський,Софиевский,UA12252,Sofiivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1225200000,область,81200000
Tomakivskyi,Томаківський,Томаковский,UA12254,Tomakivskyi,,,,,,,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,Ukraine,Україна,Украина,UA,2017-10-02,2017-12-21,,81300000,район,,1225400000,область,81200000
