admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Fatubosa,TL020104,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatucahi,TL100304,,,,Fatuberliu,TL1003,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatucalo,TL100411,,,,Turiscai,TL1004,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatuessi,TL070513,,,,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatuhada,TL060501,,,,Dom Aleixo,TL0605,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatuleto,TL050704,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatulia,TL030607,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatululic,TL050101,,,,Fatululic,TL0501,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatumacerec,TL110403,,,,Soibada,TL1104,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatumaquerec,TL110605,,,,Laclubar,TL1106,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatumasi,TL080101,,,,Bazartete,TL0801,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatumea,TL050201,,,,Fatumean,TL0502,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatuquero,TL070104,,,,Railaco,TL0701,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Faturasa,TL020304,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Faturilau,TL020204,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
