admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Impendle,ZA5224,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Inkosi Langalibalele,ZA5237,,,,Uthukela,ZA523,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Intsika Yethu,ZA2135,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Inxuba Yethemba,ZA2131,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Joe Morolong,ZA3451,,,,John Taolo Gaetsewe,ZA345,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Jozini,ZA5272,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Kagisano/Molopo,ZA6397,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Kai Garib,ZA3082,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Kamiesberg,ZA3064,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Kannaland,ZA1041,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Kareeberg,ZA3074,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Karoo Hoogland,ZA3066,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Kgatelopele,ZA3086,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Kgetlengrivier,ZA6374,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Khâi-Ma,ZA3067,Khai-Ma,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Kheis,ZA3084,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
King Sabata Dalindyebo,ZA2157,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Knysna,ZA1048,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Kopanong,ZA4162,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Kou-Kamma,ZA2109,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Kouga,ZA2108,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
KwaDukuza,ZA5292,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Laingsburg,ZA1051,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Langeberg,ZA1026,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Lekwa,ZA8305,,,,Gert Sibande,ZA830,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Lekwa-Teemane,ZA6396,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Lepele-Nkumpi,ZA9355,,,,Capricorn,ZA935,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Lephalale,ZA9362,,,,Waterberg,ZA936,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Lesedi,ZA7423,,,,Sedibeng,ZA742,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Letsemeng,ZA4161,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Local Municipality of Madibeng,ZA6372,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Mafikeng,ZA6383,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Mafube,ZA4205,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Magareng,ZA3093,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Makana,ZA2104,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Makhado,ZA9344,,,,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Makhuduthamaga,ZA9473,,,,Sekhukhune,ZA947,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Maluti a Phofung,ZA4194,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Mamusa,ZA6393,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Mandeni,ZA5291,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Mangaung,ZA4940,,,,Mangaung,ZA494,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Mantsopa,ZA4196,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Maphumulo,ZA5294,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Maquassi Hills,ZA6404,,,,Dr Kenneth Kaunda,ZA640,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Maruleng,ZA9335,,,,Mopani,ZA933,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Masilonyana,ZA4181,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Matatiele,ZA2441,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Matjhabeng,ZA4184,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Matzikama,ZA1011,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Mbhashe,ZA2121,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Mbizana,ZA2443,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Mbombela,ZA8326,,,,Ehlanzeni,ZA832,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Merafong City,ZA7484,,,,West Rand,ZA748,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Metsimaholo,ZA4204,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Mfolozi,ZA5281,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Mhlontlo,ZA2156,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Midvaal,ZA7422,,,,Sedibeng,ZA742,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Mkhambathini,ZA5226,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Mkhondo,ZA8303,,,,Gert Sibande,ZA830,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Mnquma,ZA2122,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Modimolle/Mookgophong,ZA9368,,,,Waterberg,ZA936,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Mogalakwena,ZA9367,,,,Waterberg,ZA936,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Mogale City,ZA7481,,,,West Rand,ZA748,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Mohokare,ZA4163,,,,Xhariep,ZA416,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Molemole,ZA9353,,,,Capricorn,ZA935,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Moqhaka,ZA4201,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Moretele,ZA6371,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Moses Kotane,ZA6375,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Mossel Bay,ZA1043,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Mpofana,ZA5223,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Msinga,ZA5244,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Msukaligwa,ZA8302,,,,Gert Sibande,ZA830,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Mthonjaneni,ZA5285,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Mtubatuba,ZA5275,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Musina,ZA9341,,,,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Nala,ZA4185,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Naledi,ZA6392,,,,Dr Ruth Segomotsi Mompati,ZA639,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Nama Khoi,ZA3062,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Ndlambe,ZA2105,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Ndwedwe,ZA5293,,,,iLembe,ZA529,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Nelson Mandela Bay,ZA2930,,,,Nelson Mandela Bay,ZA293,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Newcastle,ZA5252,,,,Amajuba,ZA525,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Ngqushwa,ZA2126,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Ngquza Hill,ZA2153,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Ngwathe,ZA4203,,,,Fezile Dabi,ZA420,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Nkandla,ZA5286,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Nketoana,ZA4193,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Nkomazi,ZA8324,,,,Ehlanzeni,ZA832,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Nongoma,ZA5265,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Nqutu,ZA5242,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Ntabankulu,ZA2444,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Nyandeni,ZA2155,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Okhahlamba,ZA5235,,,,Uthukela,ZA523,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Oudtshoorn,ZA1045,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Overstrand,ZA1032,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Phokwane,ZA3094,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Phumelela,ZA4195,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Polokwane,ZA9354,,,,Capricorn,ZA935,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Port St Johns,ZA2154,,,,O.R.Tambo,ZA215,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Prince Albert,ZA1052,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Ramotshere Moiloa,ZA6385,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Rand West City,ZA7485,,,,West Rand,ZA748,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Ratlou,ZA6381,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Ray Nkonyeni,ZA5216,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Raymond Mhlaba,ZA2129,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Renosterberg,ZA3075,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Richmond,ZA5227,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Richtersveld,ZA3061,,,,Namakwa,ZA306,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Rustenburg,ZA6373,,,,Bojanala,ZA637,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Sakhisizwe,ZA2138,,,,Chris Hani,ZA213,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Saldanha Bay,ZA1014,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Senqu,ZA2142,,,,Joe Gqabi,ZA214,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Setsoto,ZA4191,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Siyancuma,ZA3078,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Siyathemba,ZA3077,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Sol Plaatjie,ZA3091,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Stellenbosch,ZA1024,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Steve Tshwete,ZA8313,,,,Nkangala,ZA831,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Sundays River Valley,ZA2106,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Swartland,ZA1015,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Swellendam,ZA1034,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Thaba Chweu,ZA8321,,,,Ehlanzeni,ZA832,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Thabazimbi,ZA9361,,,,Waterberg,ZA936,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
The Msunduzi,ZA5225,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Theewaterskloof,ZA1031,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Thembelihle,ZA3076,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Thembisile,ZA8315,,,,Nkangala,ZA831,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Thulamela,ZA9343,,,,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Tokologo,ZA4182,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Tsantsabane,ZA3085,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Tswaing,ZA6382,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Tswelopele,ZA4183,,,,Lejweleputswa,ZA418,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Ubuhlebezwe,ZA5434,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Ubuntu,ZA3071,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Ulundi,ZA5266,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umdoni,ZA5212,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umhlabuyalingana,ZA5271,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
uMhlathuze,ZA5282,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
uMlalazi,ZA5284,,,,Uthungulu,ZA528,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
uMngeni,ZA5222,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
uMshwathi,ZA5221,,,,Umgungundlovu,ZA522,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umsobomvu,ZA3072,,,,Pixley ka Seme,ZA307,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
uMuziwabantu,ZA5214,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umvoti,ZA5245,,,,Umzinyathi,ZA524,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umzimkhulu,ZA5435,,,,Sisonke,ZA543,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Umzimvubu,ZA2442,,,,Alfred Nzo,ZA244,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Umzumbe,ZA5213,,,,Ugu,ZA521,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
