admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Beida,بيضا,SD04111,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Beliel,بليل,SD03162,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Bendasi,بندسي,SD06112,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Buram,برام,SD03161,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Damso,دمسو,SD03172,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Dar As Salam,دار السلام,SD02113,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Delami,دلامي,SD07107,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Delgo,دلقو,SD17015,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Dilling,الدلنج,SD07095,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Dongola,دنقلا,SD17017,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Dordieb,درديب,SD10063,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ed Al Fursan,عد الفرسان,SD03143,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ed Damazine,الدمازين,SD08105,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Foro Baranga,فور برنقا,SD04121,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Gala'a Al Nahal,قلع النحل,SD12079,Galaa Al Nahal,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Galabat Ash-Shargiah,القلابات الشرقية,SD12083,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Gebrat Al Sheikh,جبرة الشيخ,SD13027,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Geisan,قيسان,SD08109,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Gereida,قريضة,SD03153,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ghadeer,غدير,SD07108,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Gharb Bara,غرب بارا,SD13029,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Gharb Jabal Marrah,غرب جبل مرة,SD06131,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Ghubaish,غبيش,SD18021,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Guli,قلي,SD09052,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Habila - SK,هبيلة - ج ك,SD07103,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Habila - WD,هبيلة - غ د,SD04122,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Hala'ib,حلايب,SD10066,Halaib,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Halfa,حلفا,SD17014,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Halfa Aj Jadeedah,حلفا الجديدة,SD11052,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Haya,هيا,SD10070,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Heiban,هيبان,SD07096,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Janub Al Jazirah,جنوب الجزيرة,SD15031,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Jebel Awlia,جبل أولياء,SD01001,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Jebel Moon,جبل مون,SD04123,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Jubayt Elma'aadin,جبيت المعادن,SD10067,Jubayt Elmaaadin,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kadugli,كادقلي,SD07098,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Karrari,كرري,SD01005,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kas,كاس,SD03144,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kateila,كتيلا,SD03159,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kebkabiya,كبكابية,SD02124,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Keilak,كيلك,SD18085,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kelemando,كلمندو,SD02126,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kereneik,كرينك,SD04125,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kernoi,كرنوي,SD02168,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Khartoum,الخرطوم,SD01007,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kosti,كوستي,SD09047,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kubum,كبم,SD03157,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kulbus,كلبس,SD04127,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Kutum,كتم,SD02128,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Madeinat Al Gedaref,مدينة القضارف,SD12080,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Madeinat Kassala,مدينة كسلا,SD11053,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Medani Al Kubra,مدني الكبري,SD15030,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Melit,مليط,SD02129,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Mershing,مرشنج,SD03145,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Merwoe,مروي,SD17020,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Mukjar,مكجر,SD06130,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Nitega,نتيقة,SD03151,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Nyala Janoub,نيالا جنوب,SD03167,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Nyala Shimal,نيالا شمال,SD03164,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Port Sudan,بورتسودان,SD10064,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Rabak,ربك,SD09046,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Rehaid Albirdi,رهيد البردي,SD03158,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Aroma,ريفى أروما,SD11055,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Gharb Kassala,ريفى غرب كسلا,SD11054,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Hamashkureib,ريفى همش كوريب,SD11058,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Kassla,ريفى كسلا,SD11056,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Khashm Elgirba,ريفى خشم القربة,SD11060,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Nahr Atbara,ريفى نهر عطبرة,SD11062,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Shamal Ad Delta,ريفى شمال الدلتا,SD11057,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Telkok,ريفى تلكوك,SD11059,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Reifi Wad Elhilaiw,ريفى ود الحليو,SD11061,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Saraf Omra,سرف عمرة,SD02133,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sawakin,سواكن,SD10068,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sennar,سنار,SD14038,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Shamal Jabal Marrah,شمال  جبل مرة,SD06132,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sharg Aj Jabal,شرق الجبل,SD03147,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sharg Al Jazirah,شرق الجزيرة,SD15033,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sharg An Neel,شرق النيل,SD01004,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sharg Sennar,شرق سنار,SD14042,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Shattaya,شطاية,SD03154,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sheikan,شيكان,SD13024,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Shendi,شندي,SD16010,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Shia'ria,شعيرية,SD05148,Shiaria,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sinja,سنجة,SD14043,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sinkat,سنكات,SD10071,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Sirba,سربا,SD04134,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Soudari,سودري,SD13025,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Talawdi,تلودي,SD07089,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Tawila,طويلة,SD02170,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Tawkar,طوكر,SD10065,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Tendalti,تندلتي,SD09048,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Tulus,تلس,SD03149,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Algura,أم القري,SD15032,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Bada,أمبدة,SD01002,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Baru,أم برو,SD02120,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Dafoug,أم دافوق,SD03146,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Dam Haj Ahmed,أم دم حاج أحمد,SD13028,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Dukhun,أم دخن,SD06135,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Durein,أم دورين,SD07091,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Durman,أم درمان,SD01006,,,,,,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Kadadah,أم كدادة,SD02136,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Rawaba,أم روابة,SD13023,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Um Rimta,أم رمتة,SD09045,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Wad Al Mahi,ود الماحي,SD08110,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Wad Bandah,ود بندة,SD18029,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Wadi Salih,وادي صالح,SD06137,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Wasat Al Gedaref,وسط القضارف,SD12081,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Wasat Jabal Marrah,وسط جبل مرة,SD06139,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Yassin,يس,SD05165,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
Zalingi,زالنجى,SD06138,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-03-11,2020-03-17,
