admin2Name_en,admin2Name_si,admin2Name_ta,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_si,admin2AltName2_si,admin2AltName1_ta,admin2AltName2_ta,admin1Name_en,admin1Name_si,admin1Name_ta,admin1Pcode,admin0Name_en,admin0Name_si,admin0Name_ta,admin0Pcode,date,validOn,validTo
Vavuniya,වවුනියා දිස්ත්‍රික්කය,வவுனியா மாவட்டம்,LK43,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Mullaitivu,මුලතිවු දිස්ත්‍රික්කය,முல்லைத்தீவு மாவட்டம்,LK44,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kilinochchi,කිලිනොච්චි දිස්ත්‍රික්කය,கிளிநொச்சி மாவட்டம்,LK45,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Batticaloa,මඩකලපුව දිස්ත්‍රික්කය,மட்டக்களப்பு மாவட்டம்,LK51,,,,,,,,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ampara,අම්පාර දිස්ත්‍රික්කය,அம்பாறை மாவட்டம்,LK52,,,,,,,,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Trincomalee,ත්‍රිකුණාමළය දිස්ත්‍රික්කය,திருகோணமலை மாவட்டம்,LK53,,,,,,,,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
[unknown],[unknown],[unknoபுத்தளம் மாவட்டம்wn],LK60,,,,,,,,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kurunegala,කුරුණෑගල දිස්ත්‍රික්කය,குருநாகல் மாவட்டம்,LK61,,,,,,,,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Puttalam,පුත්තලම දිස්ත්‍රික්කය,புத்தளம் மாவட்டம்,LK62,,,,,,,,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Anuradhapura,අනුරාධපුර දිස්ත්‍රික්කය,அனுராதபுரம் மாவட்டம்,LK71,,,,,,,,North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Polonnaruwa,පොළොන්නරුව දිස්ත්‍රික්කය,பொலன்னறுவை மாவட்டம்,LK72,,,,,,,,North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Badulla,බදුල්ල දිස්ත්‍රික්කය,பதுளை மாவட்டம்,LK81,,,,,,,,Uva,ඌව පළාත,ஊவா மாகாணம்,LK8,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Monaragala,මොණරාගල දිස්ත්‍රික්කය,மொணராகலை மாவட்டம்,LK82,,,,,,,,Uva,ඌව පළාත,ஊவா மாகாணம்,LK8,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ratnapura,රත්නපුර දිස්ත්‍රික්කය,இரத்தினபுரம் மாவட்டம்,LK91,,,,,,,,Sabaragamuwa,සබරගමුව පළාත,சபரகமுவ மாகாணம்,LK9,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kegalle,කෑගල්ල දිස්ත්‍රික්කය,கேகாலை மாவட்டம்,LK92,,,,,,,,Sabaragamuwa,සබරගමුව පළාත,சபரகமுவ மாகாணம்,LK9,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
