#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5004+rdf_p_obo_bfo171_s5003+rdf_s_u2200_s5004,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5004,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm4+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:50:4:30484271,30484271,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304842,1603:45:16:50:4:30484271,Kiratan,BD30484271,,,,Karimganj,BD304842,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484277,30484277,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304842,1603:45:16:50:4:30484277,Niamatpur,BD30484277,,,,Karimganj,BD304842,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484286,30484286,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304842,1603:45:16:50:4:30484286,Noabad,BD30484286,,,,Karimganj,BD304842,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484294,30484294,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304842,1603:45:16:50:4:30484294,Sutar Para,BD30484294,,,,Karimganj,BD304842,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484299,30484299,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304842,1603:45:16:50:4:30484299,Karimganj Paurashava,BD30484299,,,,Karimganj,BD304842,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484513,30484513,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484513,Achmita,BD30484513,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484519,30484519,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484519,Banagram,BD30484519,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484528,30484528,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484528,Chandpur,BD30484528,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484538,30484538,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484538,Jalalpur,BD30484538,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484547,30484547,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484547,Kargaon,BD30484547,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484557,30484557,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484557,Katiadi,BD30484557,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484566,30484566,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484566,Lohajuri,BD30484566,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484576,30484576,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484576,Masua,BD30484576,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484585,30484585,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484585,Mumurdia,BD30484585,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484595,30484595,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484595,Shahasram Dhuldia,BD30484595,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484599,30484599,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304845,1603:45:16:50:4:30484599,Katiadi Paurashava,BD30484599,,,,Katiadi,BD304845,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484916,30484916,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484916,Binnati,BD30484916,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484917,30484917,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484917,Baulai,BD30484917,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484925,30484925,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484925,Chauddasata,BD30484925,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484934,30484934,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484934,Dana Patali,BD30484934,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484943,30484943,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484943,Jasodal,BD30484943,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484951,30484951,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484951,Korsha Kariail,BD30484951,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484960,30484960,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484960,Latibabad,BD30484960,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484969,30484969,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484969,Mahinanda,BD30484969,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484977,30484977,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484977,Maij Khapan,BD30484977,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484986,30484986,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484986,Maria,BD30484986,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484994,30484994,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484994,Rashidabad,BD30484994,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30484999,30484999,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304849,1603:45:16:50:4:30484999,Kishoreganj Paurashava,BD30484999,,,,Kishoreganj Sadar,BD304849,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485411,30485411,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485411,Chhaysuti,BD30485411,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485423,30485423,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485423,Faridpur,BD30485423,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485435,30485435,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485435,Gobaria Abdullahpur,BD30485435,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485459,30485459,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485459,Osmanpur,BD30485459,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485471,30485471,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485471,Ramdi,BD30485471,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485483,30485483,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485483,Salua,BD30485483,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485499,30485499,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304854,1603:45:16:50:4:30485499,Kuliar Char Paurashava,BD30485499,,,,Kuliar Char,BD304854,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485911,30485911,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485911,Bairati,BD30485911,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485913,30485913,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485913,Dhaki,BD30485913,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485927,30485927,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485927,Ghagra,BD30485927,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485940,30485940,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485940,Gopedighi,BD30485940,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485954,30485954,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485954,Khatkhal,BD30485954,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485967,30485967,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485967,Keorjori,BD30485967,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30485981,30485981,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304859,1603:45:16:50:4:30485981,Mithamain,BD30485981,,,,Mithamain,BD304859,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487623,30487623,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487623,Chhatir Char,BD30487623,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487627,30487627,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487627,Dampara,BD30487627,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487638,30487638,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487638,Gurai,BD30487638,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487647,30487647,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487647,Jaraitala,BD30487647,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487657,30487657,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487657,Karpasha,BD30487657,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487676,30487676,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487676,Nikli,BD30487676,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487685,30487685,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304876,1603:45:16:50:4:30487685,Singpur,BD30487685,,,,Nikli,BD304876,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487915,30487915,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487915,Barudia,BD30487915,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487919,30487919,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487919,Chandi Pasha,BD30487919,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487928,30487928,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487928,Char Faradi,BD30487928,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487938,30487938,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487938,Egarasindur,BD30487938,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487947,30487947,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487947,Hosendi,BD30487947,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487957,30487957,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487957,Jangalia,BD30487957,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487966,30487966,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487966,Narandi,BD30487966,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487976,30487976,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487976,Pakundia,BD30487976,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487985,30487985,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487985,Patuabhanga,BD30487985,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487995,30487995,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487995,Sukhia,BD30487995,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30487999,30487999,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304879,1603:45:16:50:4:30487999,Pakundia Paurashava,BD30487999,,,,Pakundia,BD304879,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489213,30489213,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489213,Damiha,BD30489213,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489227,30489227,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489227,Dhala,BD30489227,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489240,30489240,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489240,Digdair,BD30489240,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489254,30489254,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489254,Jawar,BD30489254,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489267,30489267,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489267,Rauti,BD30489267,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489281,30489281,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489281,Talganga,BD30489281,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30489294,30489294,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,1603:45:16:50:3:304892,1603:45:16:50:4:30489294,Tarail Sachail,BD30489294,,,,Tarail,BD304892,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544011,30544011,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544011,Alinagar,BD30544011,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544012,30544012,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544012,Baligram,BD30544012,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544018,30544018,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544018,Banshgari,BD30544018,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544025,30544025,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544025,Char Daulat Khan,BD30544025,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544031,30544031,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544031,Dasar,BD30544031,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544037,30544037,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544037,Enayetnagar,BD30544037,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544044,30544044,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544044,Gopalpur,BD30544044,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544056,30544056,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544056,Kayaria,BD30544056,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544063,30544063,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544063,Kazibakai,BD30544063,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544069,30544069,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544069,Lakshmipur,BD30544069,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544075,30544075,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544075,Nabagram,BD30544075,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544082,30544082,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544082,Ramjanpur,BD30544082,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:30544088,30544088,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,1603:45:16:50:3:305440,1603:45:16:50:4:30544088,Sahebrampur,BD30544088,,,,Kalkini,BD305440,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
