#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:360:1:62,62,1603:45:16:360:0,1603:45:16:360:1:62,Kalimantan Tengah,ID62,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:63,63,1603:45:16:360:0,1603:45:16:360:1:63,Kalimantan Selatan,ID63,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:64,64,1603:45:16:360:0,1603:45:16:360:1:64,Kalimantan Timur,ID64,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:65,65,1603:45:16:360:0,1603:45:16:360:1:65,Kalimantan Utara,ID65,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:71,71,1603:45:16:360:0,1603:45:16:360:1:71,Sulawesi Utara,ID71,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:72,72,1603:45:16:360:0,1603:45:16:360:1:72,Sulawesi Tengah,ID72,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:73,73,1603:45:16:360:0,1603:45:16:360:1:73,Sulawesi Selatan,ID73,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:74,74,1603:45:16:360:0,1603:45:16:360:1:74,Sulawesi Tenggara,ID74,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:75,75,1603:45:16:360:0,1603:45:16:360:1:75,Gorontalo,ID75,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:76,76,1603:45:16:360:0,1603:45:16:360:1:76,Sulawesi Barat,ID76,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:81,81,1603:45:16:360:0,1603:45:16:360:1:81,Maluku,ID81,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:82,82,1603:45:16:360:0,1603:45:16:360:1:82,Maluku Utara,ID82,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:91,91,1603:45:16:360:0,1603:45:16:360:1:91,Papua Barat,ID91,,,,Indonesia,ID,2020-04-08,2020-04-08,
1603:45:16:360:1:94,94,1603:45:16:360:0,1603:45:16:360:1:94,Papua,ID94,,,,Indonesia,ID,2020-04-08,2020-04-08,
