#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:100:2:4004,4004,1603:45:16:100:0,1603:45:16:100:1:4,1603:45:16:100:2:4004,Triavna,,BG004004,,,,,,Gabrovo,Габрово,BG004,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5001,5001,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5001,Dimitrovgrad,,BG005001,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5002,5002,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5002,Harmanli,,BG005002,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5003,5003,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5003,Haskovo,,BG005003,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5004,5004,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5004,Ivailovgrad,,BG005004,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5005,5005,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5005,Lubimets,,BG005005,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5006,5006,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5006,Madzharovo,,BG005006,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5007,5007,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5007,Mineralni Bani,,BG005007,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5008,5008,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5008,Simeonovgrad,,BG005008,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5009,5009,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5009,Stambolovo,,BG005009,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5010,5010,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5010,Svilengrad,,BG005010,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:5011,5011,1603:45:16:100:0,1603:45:16:100:1:5,1603:45:16:100:2:5011,Topolovgrad,,BG005011,,,,,,Haskovo,Хасково,BG005,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6001,6001,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6001,Ardino,,BG006001,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6002,6002,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6002,Chernoochene,,BG006002,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6003,6003,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6003,Dzhebel,,BG006003,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6004,6004,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6004,Kardzhali,,BG006004,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6005,6005,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6005,Kirkovo,,BG006005,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6006,6006,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6006,Krumovgrad,,BG006006,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:6007,6007,1603:45:16:100:0,1603:45:16:100:1:6,1603:45:16:100:2:6007,Momchilgrad,,BG006007,,,,,,Kardzhali,Кърджали,BG006,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7001,7001,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7001,Boboshevo,,BG007001,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7002,7002,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7002,Bobov Dol,,BG007002,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7003,7003,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7003,Dupnitsa,,BG007003,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7004,7004,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7004,Kocherinovo,,BG007004,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7005,7005,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7005,Kyustendil,,BG007005,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7006,7006,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7006,Nevestino,,BG007006,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7007,7007,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7007,Rila,,BG007007,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7008,7008,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7008,Sapareva Bania,,BG007008,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:7009,7009,1603:45:16:100:0,1603:45:16:100:1:7,1603:45:16:100:2:7009,Trekliano,,BG007009,,,,,,Kyustendil,Кюстендил,BG007,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8001,8001,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8001,Apriltsi,,BG008001,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8002,8002,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8002,Letnitsa,,BG008002,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8003,8003,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8003,Lovech,,BG008003,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8004,8004,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8004,Lukovit,,BG008004,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8005,8005,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8005,Teteven,,BG008005,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8006,8006,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8006,Troian,,BG008006,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8007,8007,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8007,Ugarchin,,BG008007,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:8008,8008,1603:45:16:100:0,1603:45:16:100:1:8,1603:45:16:100:2:8008,Yablanitsa,,BG008008,,,,,,Lovech,Ловеч,BG008,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9001,9001,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9001,Berkovitsa,,BG009001,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9002,9002,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9002,Boichinovtsi,,BG009002,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9003,9003,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9003,Brusartsi,,BG009003,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9004,9004,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9004,Chiprovtsi,,BG009004,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9005,9005,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9005,Georgi Damianovo,,BG009005,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9006,9006,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9006,Lom,,BG009006,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9007,9007,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9007,Medkovets,,BG009007,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9008,9008,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9008,Montana,,BG009008,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9009,9009,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9009,Valchedrum,,BG009009,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9010,9010,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9010,Varshets,,BG009010,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:9011,9011,1603:45:16:100:0,1603:45:16:100:1:9,1603:45:16:100:2:9011,Yakimovo,,BG009011,,,,,,Montana,Монтана,BG009,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10001,10001,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10001,Batak,,BG010001,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10002,10002,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10002,Belovo,,BG010002,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10003,10003,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10003,Bratsigovo,,BG010003,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10004,10004,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10004,Lesichovo,,BG010004,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10005,10005,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10005,Panagiurishte,,BG010005,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10006,10006,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10006,Pazardzik,,BG010006,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10007,10007,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10007,Peshtera,,BG010007,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10008,10008,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10008,Rakitovo,,BG010008,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10009,10009,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10009,Sarnitsa,,BG010009,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10010,10010,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10010,Septemvri,,BG010010,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10011,10011,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10011,Strelcha,,BG010011,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:10012,10012,1603:45:16:100:0,1603:45:16:100:1:10,1603:45:16:100:2:10012,Velingrad,,BG010012,,,,,,Pazardzhik,Пазарджик,BG010,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:11001,11001,1603:45:16:100:0,1603:45:16:100:1:11,1603:45:16:100:2:11001,Breznik,,BG011001,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:11002,11002,1603:45:16:100:0,1603:45:16:100:1:11,1603:45:16:100:2:11002,Kovachevtsi,,BG011002,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:11003,11003,1603:45:16:100:0,1603:45:16:100:1:11,1603:45:16:100:2:11003,Pernik,,BG011003,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:11004,11004,1603:45:16:100:0,1603:45:16:100:1:11,1603:45:16:100:2:11004,Radomir,,BG011004,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:11005,11005,1603:45:16:100:0,1603:45:16:100:1:11,1603:45:16:100:2:11005,Tran,,BG011005,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:11006,11006,1603:45:16:100:0,1603:45:16:100:1:11,1603:45:16:100:2:11006,Zemen,,BG011006,,,,,,Pernik,Перник,BG011,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12001,12001,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12001,Belene,,BG012001,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
