#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:170:2:5055,5055,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5055,Argelia,CO05055,Argelia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5059,5059,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5059,Armenia,CO05059,Armenia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5079,5079,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5079,Barbosa,CO05079,Barbosa,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5086,5086,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5086,Belmira,CO05086,Belmira,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5088,5088,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5088,Bello,CO05088,Bello,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5091,5091,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5091,Betania,CO05091,Betania,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5093,5093,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5093,Betulia,CO05093,Betulia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5101,5101,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5101,Ciudad Bolívar,CO05101,Ciudad Bolivar,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5107,5107,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5107,Briceño,CO05107,Briceno,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5113,5113,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5113,Buriticá,CO05113,Buritica,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5120,5120,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5120,Cáceres,CO05120,Caceres,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5125,5125,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5125,Caicedo,CO05125,Caicedo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5129,5129,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5129,Caldas,CO05129,Caldas,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5134,5134,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5134,Campamento,CO05134,Campamento,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5138,5138,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5138,Cañasgordas,CO05138,Canasgordas,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5142,5142,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5142,Caracolí,CO05142,Caracoli,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5145,5145,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5145,Caramanta,CO05145,Caramanta,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5147,5147,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5147,Carepa,CO05147,Carepa,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5148,5148,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5148,El Carmen de Viboral,CO05148,El Carmen de Viboral,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5150,5150,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5150,Carolina,CO05150,Carolina,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5154,5154,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5154,Caucasia,CO05154,Caucasia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5172,5172,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5172,Chigorodó,CO05172,Chigorodo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5190,5190,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5190,Cisneros,CO05190,Cisneros,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5197,5197,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5197,Cocorná,CO05197,Cocorna,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5206,5206,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5206,Concepción,CO05206,Concepcion,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5209,5209,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5209,Concordia,CO05209,Concordia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5212,5212,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5212,Copacabana,CO05212,Copacabana,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5234,5234,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5234,Dabeiba,CO05234,Dabeiba,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5237,5237,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5237,Donmatías,CO05237,Donmatias,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5240,5240,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5240,Ebéjico,CO05240,Ebejico,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5250,5250,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5250,El Bagre,CO05250,El Bagre,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5264,5264,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5264,Entrerríos,CO05264,Entrerrios,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5266,5266,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5266,Envigado,CO05266,Envigado,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5282,5282,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5282,Fredonia,CO05282,Fredonia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5284,5284,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5284,Frontino,CO05284,Frontino,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5306,5306,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5306,Giraldo,CO05306,Giraldo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5308,5308,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5308,Girardota,CO05308,Girardota,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5310,5310,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5310,Gómez Plata,CO05310,Gomez Plata,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5313,5313,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5313,Granada,CO05313,Granada,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5315,5315,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5315,Guadalupe,CO05315,Guadalupe,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5318,5318,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5318,Guarne,CO05318,Guarne,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5321,5321,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5321,Guatapé,CO05321,Guatape,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5347,5347,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5347,Heliconia,CO05347,Heliconia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5353,5353,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5353,Hispania,CO05353,Hispania,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5360,5360,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5360,Itagüí,CO05360,Itagui,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5361,5361,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5361,Ituango,CO05361,Ituango,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5364,5364,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5364,Jardín,CO05364,Jardin,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5368,5368,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5368,Jericó,CO05368,Jerico,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5376,5376,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5376,La Ceja,CO05376,La Ceja,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5380,5380,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5380,La Estrella,CO05380,La Estrella,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5390,5390,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5390,La Pintada,CO05390,La Pintada,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5400,5400,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5400,La Unión,CO05400,La Union,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5411,5411,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5411,Liborina,CO05411,Liborina,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5425,5425,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5425,Maceo,CO05425,Maceo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5440,5440,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5440,Marinilla,CO05440,Marinilla,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5467,5467,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5467,Montebello,CO05467,Montebello,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5475,5475,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5475,Murindó,CO05475,Murindo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5480,5480,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5480,Mutatá,CO05480,Mutata,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5483,5483,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5483,Nariño,CO05483,Narino,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5490,5490,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5490,Necoclí,CO05490,Necocli,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5495,5495,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5495,Nechí,CO05495,Nechi,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5501,5501,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5501,Olaya,CO05501,Olaya,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5541,5541,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5541,Peñol,CO05541,Penol,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5543,5543,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5543,Peque,CO05543,Peque,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5576,5576,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5576,Pueblorrico,CO05576,Pueblorrico,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5579,5579,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5579,Puerto Berrío,CO05579,Puerto Berrio,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5585,5585,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5585,Puerto Nare,CO05585,Puerto Nare,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5591,5591,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5591,Puerto Triunfo,CO05591,Puerto Triunfo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5604,5604,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5604,Remedios,CO05604,Remedios,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5607,5607,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5607,Retiro,CO05607,Retiro,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5615,5615,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5615,Rionegro,CO05615,Rionegro,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5628,5628,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5628,Sabanalarga,CO05628,Sabanalarga,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5631,5631,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5631,Sabaneta,CO05631,Sabaneta,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5642,5642,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5642,Salgar,CO05642,Salgar,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5647,5647,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5647,San Andrés de Cuerquía,CO05647,San Andres de Cuerquia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5649,5649,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5649,San Carlos,CO05649,San Carlos,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5652,5652,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5652,San Francisco,CO05652,San Francisco,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5656,5656,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5656,San Jerónimo,CO05656,San Jeronimo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5658,5658,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5658,San José de la Montaña,CO05658,San Jose de la Montana,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5659,5659,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5659,San Juan de Urabá,CO05659,San Juan de Uraba,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5660,5660,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5660,San Luis,CO05660,San Luis,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5664,5664,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5664,San Pedro de los Milagros,CO05664,San Pedro de los Milagros,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5665,5665,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5665,San Pedro de Urabá,CO05665,San Pedro de Uraba,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5667,5667,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5667,San Rafael,CO05667,San Rafael,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5670,5670,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5670,San Roque,CO05670,San Roque,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5674,5674,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5674,San Vicente Ferrer,CO05674,San Vicente Ferrer,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5679,5679,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5679,Santa Bárbara,CO05679,Santa Barbara,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5686,5686,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5686,Santa Rosa de Osos,CO05686,Santa Rosa de Osos,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5690,5690,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5690,Santo Domingo,CO05690,Santo Domingo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5697,5697,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5697,El Santuario,CO05697,El Santuario,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5736,5736,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5736,Segovia,CO05736,Segovia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5756,5756,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5756,Sonsón,CO05756,Sonson,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5761,5761,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5761,Sopetrán,CO05761,Sopetran,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5789,5789,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5789,Támesis,CO05789,Tamesis,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5790,5790,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5790,Tarazá,CO05790,Taraza,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5792,5792,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5792,Tarso,CO05792,Tarso,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5809,5809,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5809,Titiribí,CO05809,Titiribi,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5819,5819,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5819,Toledo,CO05819,Toledo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5837,5837,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5837,Turbo,CO05837,Turbo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5842,5842,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5842,Uramita,CO05842,Uramita,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5847,5847,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5847,Urrao,CO05847,Urrao,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:2:5854,5854,1603:45:16:170:0,1603:45:16:170:1:5,1603:45:16:170:2:5854,Valdivia,CO05854,Valdivia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
