#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:858:2:3054,3054,n.a54,UY03054,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3055,3055,n.a55,UY03055,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3057,3057,n.a57,UY03057,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3061,3061,n.a61,UY03061,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3062,3062,n.a62,UY03062,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3065,3065,n.a65,UY03065,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3066,3066,n.a66,UY03066,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:3067,3067,n.a67,UY03067,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4139,4139,n.a139,UY04139,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4145,4145,n.a145,UY04145,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4146,4146,n.a146,UY04146,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4152,4152,n.a152,UY04152,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4197,4197,n.a197,UY04197,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4310,4310,n.a310,UY04310,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4314,4314,n.a314,UY04314,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4315,4315,n.a315,UY04315,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4356,4356,n.a356,UY04356,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4382,4382,n.a382,UY04382,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4461,4461,n.a461,UY04461,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4528,4528,n.a528,UY04528,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4531,4531,n.a531,UY04531,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:4540,4540,n.a540,UY04540,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5063,5063,n.a63,UY05063,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5071,5071,n.a71,UY05071,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5072,5072,n.a72,UY05072,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5079,5079,n.a79,UY05079,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5080,5080,n.a80,UY05080,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5081,5081,n.a81,UY05081,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5085,5085,n.a85,UY05085,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5089,5089,n.a89,UY05089,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5092,5092,n.a92,UY05092,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5093,5093,n.a93,UY05093,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5095,5095,n.a95,UY05095,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5097,5097,n.a97,UY05097,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:5114,5114,n.a114,UY05114,,,,Durazno,UY05,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:6100,6100,n.a100,UY06100,,,,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:6102,6102,n.a102,UY06102,,,,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:6106,6106,n.a106,UY06106,,,,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:6118,6118,n.a118,UY06118,,,,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:6124,6124,n.a124,UY06124,,,,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:6130,6130,n.a130,UY06130,,,,Flores,UY06,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7101,7101,n.a101,UY07101,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7113,7113,n.a113,UY07113,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7116,7116,n.a116,UY07116,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7117,7117,n.a117,UY07117,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7119,7119,n.a119,UY07119,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7131,7131,n.a131,UY07131,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7132,7132,n.a132,UY07132,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7135,7135,n.a135,UY07135,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7140,7140,n.a140,UY07140,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7141,7141,n.a141,UY07141,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7147,7147,n.a147,UY07147,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7149,7149,n.a149,UY07149,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:7169,7169,n.a169,UY07169,,,,Florida,UY07,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8109,8109,n.a109,UY08109,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8110,8110,n.a110,UY08110,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8115,8115,n.a115,UY08115,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8121,8121,n.a121,UY08121,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8133,8133,n.a133,UY08133,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8137,8137,n.a137,UY08137,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8138,8138,n.a138,UY08138,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8144,8144,n.a144,UY08144,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8156,8156,n.a156,UY08156,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8157,8157,n.a157,UY08157,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8161,8161,n.a161,UY08161,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8166,8166,n.a166,UY08166,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:8179,8179,n.a179,UY08179,,,,Lavalleja,UY08,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9307,9307,n.a307,UY09307,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9321,9321,n.a321,UY09321,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9332,9332,n.a332,UY09332,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9337,9337,n.a337,UY09337,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9339,9339,n.a339,UY09339,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9341,9341,n.a341,UY09341,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9345,9345,n.a345,UY09345,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9351,9351,n.a351,UY09351,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:9523,9523,n.a523,UY09523,,,,Maldonado,UY09,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:10354,10354,n.a354,UY10354,,,,Montevideo,UY10,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11026,11026,n.a26,UY11026,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11031,11031,n.a31,UY11031,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11035,11035,n.a35,UY11035,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11037,11037,n.a37,UY11037,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11039,11039,n.a39,UY11039,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11040,11040,n.a40,UY11040,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11041,11041,n.a41,UY11041,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11045,11045,n.a45,UY11045,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11048,11048,n.a48,UY11048,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11049,11049,n.a49,UY11049,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11050,11050,n.a50,UY11050,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:11056,11056,n.a56,UY11056,,,,Paysandú,UY11,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12058,12058,n.a58,UY12058,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12059,12059,n.a59,UY12059,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12060,12060,n.a60,UY12060,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12064,12064,n.a64,UY12064,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12069,12069,n.a69,UY12069,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12070,12070,n.a70,UY12070,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12073,12073,n.a73,UY12073,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12074,12074,n.a74,UY12074,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12075,12075,n.a75,UY12075,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12076,12076,n.a76,UY12076,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12084,12084,n.a84,UY12084,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:12099,12099,n.a99,UY12099,,,,Río Negro,UY12,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13012,13012,n.a12,UY13012,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13015,13015,n.a15,UY13015,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13016,13016,n.a16,UY13016,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13017,13017,n.a17,UY13017,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13022,13022,n.a22,UY13022,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13023,13023,n.a23,UY13023,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13025,13025,n.a25,UY13025,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:13028,13028,n.a28,UY13028,,,,Rivera,UY13,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14103,14103,n.a103,UY14103,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14128,14128,n.a128,UY14128,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14289,14289,n.a289,UY14289,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14291,14291,n.a291,UY14291,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14294,14294,n.a294,UY14294,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14308,14308,n.a308,UY14308,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14317,14317,n.a317,UY14317,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14320,14320,n.a320,UY14320,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14328,14328,n.a328,UY14328,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:14521,14521,n.a521,UY14521,,,,Rocha,UY14,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15011,15011,n.a11,UY15011,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15013,15013,n.a13,UY15013,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15014,15014,n.a14,UY15014,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15018,15018,n.a18,UY15018,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15019,15019,n.a19,UY15019,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15021,15021,n.a21,UY15021,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15027,15027,n.a27,UY15027,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15150,15150,n.a150,UY15150,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15151,15151,n.a151,UY15151,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:15250,15250,n.a250,UY15250,,,,Salto,UY15,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16142,16142,n.a142,UY16142,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16153,16153,n.a153,UY16153,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16154,16154,n.a154,UY16154,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16159,16159,n.a159,UY16159,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16167,16167,n.a167,UY16167,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16312,16312,n.a312,UY16312,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:16336,16336,n.a336,UY16336,,,,San José,UY16,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17090,17090,n.a90,UY17090,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17096,17096,n.a96,UY17096,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17098,17098,n.a98,UY17098,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17105,17105,n.a105,UY17105,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17107,17107,n.a107,UY17107,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17111,17111,n.a111,UY17111,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17112,17112,n.a112,UY17112,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17120,17120,n.a120,UY17120,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17122,17122,n.a122,UY17122,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17123,17123,n.a123,UY17123,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17125,17125,n.a125,UY17125,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17126,17126,n.a126,UY17126,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17129,17129,n.a129,UY17129,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:17136,17136,n.a136,UY17136,,,,Soriano,UY17,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18020,18020,n.a20,UY18020,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18024,18024,n.a24,UY18024,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18029,18029,n.a29,UY18029,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18030,18030,n.a30,UY18030,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18032,18032,n.a32,UY18032,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18033,18033,n.a33,UY18033,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18036,18036,n.a36,UY18036,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18038,18038,n.a38,UY18038,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18042,18042,n.a42,UY18042,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18043,18043,n.a43,UY18043,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18044,18044,n.a44,UY18044,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18051,18051,n.a51,UY18051,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18053,18053,n.a53,UY18053,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:18068,18068,n.a68,UY18068,,,,Tacuarembó,UY18,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19001,19001,n.a1,UY19001,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19078,19078,n.a78,UY19078,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19082,19082,n.a82,UY19082,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19083,19083,n.a83,UY19083,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19086,19086,n.a86,UY19086,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19087,19087,n.a87,UY19087,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19088,19088,n.a88,UY19088,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19091,19091,n.a91,UY19091,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19104,19104,n.a104,UY19104,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
1603:45:16:858:2:19108,19108,n.a108,UY19108,,,,Treinta y Tres,UY19,Uraguay,UY,2017-10-11,2020-07-27,
