#meta,#meta+m49,#meta+archivum,#meta+caput,#meta+level,#meta+language+#meta+hxlhashtag
1603:45:16:51,51,arm.xlsx,admin0Name_ru,0,ru#adm0+name+i_ru
1603:45:16:51,51,arm.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:51,51,arm.xlsx,date,,#date
1603:45:16:51,51,arm.xlsx,validOn,,#date+valid_on
1603:45:16:51,51,arm.xlsx,validTo,,#date+valid_to
1603:45:16:51,51,arm.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:51,51,arm.xlsx,admin0Name_hy,0,hy#adm0+name+i_hy
1603:45:16:51,51,arm.xlsx,admin0Name_ru,0,ru#adm0+name+i_ru
1603:45:16:51,51,arm.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:51,51,arm.xlsx,admin0RefName,,
1603:45:16:51,51,arm.xlsx,admin0AltName1_en,0,en#adm0+name+i_en
1603:45:16:51,51,arm.xlsx,admin0AltName2_en,0,en#adm0+name+i_en
1603:45:16:51,51,arm.xlsx,admin0AltName1_hy,0,hy#adm0+name+i_hy
1603:45:16:51,51,arm.xlsx,admin0AltName2_hy,0,hy#adm0+name+i_hy
1603:45:16:51,51,arm.xlsx,admin0AltName1_ru,0,ru#adm0+name+i_ru
1603:45:16:51,51,arm.xlsx,admin0AltName2_ru,0,ru#adm0+name+i_ru
1603:45:16:51,51,arm.xlsx,date,,#date
1603:45:16:51,51,arm.xlsx,validOn,,#date+valid_on
1603:45:16:51,51,arm.xlsx,validTo,,#date+valid_to
1603:45:16:31,31,aze.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:31,31,aze.xlsx,admin1Name_az,1,az#adm1+name+i_az
1603:45:16:31,31,aze.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:31,31,aze.xlsx,admin1RefName,,
1603:45:16:31,31,aze.xlsx,admin1AltName1_en,1,en#adm1+name+i_en
1603:45:16:31,31,aze.xlsx,admin1AltName2_en,1,en#adm1+name+i_en
1603:45:16:31,31,aze.xlsx,admin1AltName1_az,1,az#adm1+name+i_az
1603:45:16:31,31,aze.xlsx,admin1AltName2_az,1,az#adm1+name+i_az
1603:45:16:31,31,aze.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:31,31,aze.xlsx,admin0Name_az,0,az#adm0+name+i_az
1603:45:16:31,31,aze.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:31,31,aze.xlsx,date,,#date
1603:45:16:31,31,aze.xlsx,validOn,,#date+valid_on
1603:45:16:31,31,aze.xlsx,validTo,,#date+valid_to
1603:45:16:31,31,aze.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:31,31,aze.xlsx,admin0Name_az,0,az#adm0+name+i_az
1603:45:16:31,31,aze.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:31,31,aze.xlsx,admin0RefName,,
1603:45:16:31,31,aze.xlsx,admin0AltName1_en,0,en#adm0+name+i_en
1603:45:16:31,31,aze.xlsx,admin0AltName2_en,0,en#adm0+name+i_en
1603:45:16:31,31,aze.xlsx,admin0AltName1_az,0,az#adm0+name+i_az
1603:45:16:31,31,aze.xlsx,admin0AltName2_az,0,az#adm0+name+i_az
1603:45:16:31,31,aze.xlsx,date,,#date
1603:45:16:31,31,aze.xlsx,validOn,,#date+valid_on
1603:45:16:31,31,aze.xlsx,validTo,,#date+valid_to
1603:45:16:108,108,bdi.xlsx,admin2Name_fr,2,fr#adm2+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:108,108,bdi.xlsx,admin2RefName,,
1603:45:16:108,108,bdi.xlsx,admin2AltName1_fr,2,fr#adm2+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin2AltName2_fr,2,fr#adm2+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:108,108,bdi.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:108,108,bdi.xlsx,date,,#date
1603:45:16:108,108,bdi.xlsx,validOn,,#date+valid_on
1603:45:16:108,108,bdi.xlsx,validTo,,#date+valid_to
1603:45:16:108,108,bdi.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:108,108,bdi.xlsx,admin1RefName,,
1603:45:16:108,108,bdi.xlsx,admin1AltName1_fr,1,fr#adm1+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin1AltName2_fr,1,fr#adm1+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:108,108,bdi.xlsx,date,,#date
1603:45:16:108,108,bdi.xlsx,validOn,,#date+valid_on
1603:45:16:108,108,bdi.xlsx,validTo,,#date+valid_to
1603:45:16:108,108,bdi.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:108,108,bdi.xlsx,admin0RefName,,
1603:45:16:108,108,bdi.xlsx,admin0AltName1_fr,0,fr#adm0+name+i_fr
1603:45:16:108,108,bdi.xlsx,admin0AltName2_fr,0,fr#adm0+name+i_fr
1603:45:16:108,108,bdi.xlsx,date,,#date
1603:45:16:108,108,bdi.xlsx,validOn,,#date+valid_on
1603:45:16:108,108,bdi.xlsx,validTo,,#date+valid_to
1603:45:16:204,204,ben.xlsx,admin2Name_fr,2,fr#adm2+name+i_fr
1603:45:16:204,204,ben.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:204,204,ben.xlsx,admin2RefName,,
1603:45:16:204,204,ben.xlsx,admin2AltName1_fr,2,fr#adm2+name+i_fr
1603:45:16:204,204,ben.xlsx,admin2AltName2_fr,2,fr#adm2+name+i_fr
1603:45:16:204,204,ben.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:204,204,ben.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:204,204,ben.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:204,204,ben.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:204,204,ben.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:204,204,ben.xlsx,date,,#date
1603:45:16:204,204,ben.xlsx,validOn,,#date+valid_on
1603:45:16:204,204,ben.xlsx,validTo,,#date+valid_to
1603:45:16:204,204,ben.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:204,204,ben.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:204,204,ben.xlsx,admin1RefName,,
1603:45:16:204,204,ben.xlsx,admin1AltName1_fr,1,fr#adm1+name+i_fr
1603:45:16:204,204,ben.xlsx,admin1AltName2_fr,1,fr#adm1+name+i_fr
1603:45:16:204,204,ben.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:204,204,ben.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:204,204,ben.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:204,204,ben.xlsx,date,,#date
1603:45:16:204,204,ben.xlsx,validOn,,#date+valid_on
1603:45:16:204,204,ben.xlsx,validTo,,#date+valid_to
1603:45:16:204,204,ben.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:204,204,ben.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:204,204,ben.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:204,204,ben.xlsx,admin0RefName,,
1603:45:16:204,204,ben.xlsx,admin0AltName1_en,0,en#adm0+name+i_en
1603:45:16:204,204,ben.xlsx,admin0AltName2_en,0,en#adm0+name+i_en
1603:45:16:204,204,ben.xlsx,admin0AltName1_fr,0,fr#adm0+name+i_fr
1603:45:16:204,204,ben.xlsx,admin0AltName2_fr,0,fr#adm0+name+i_fr
1603:45:16:204,204,ben.xlsx,date,,#date
1603:45:16:204,204,ben.xlsx,validOn,,#date+valid_on
1603:45:16:204,204,ben.xlsx,validTo,,#date+valid_to
1603:45:16:854,854,bfa.xlsx,admin3Name_fr,3,fr#adm3+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin3Pcode,,#adm3+code+pcode
1603:45:16:854,854,bfa.xlsx,admin3RefName,,
1603:45:16:854,854,bfa.xlsx,admin3AltName1_fr,3,fr#adm3+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin3AltName2_fr,3,fr#adm3+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin2Name_fr,2,fr#adm2+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:854,854,bfa.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:854,854,bfa.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:854,854,bfa.xlsx,date,,#date
1603:45:16:854,854,bfa.xlsx,validOn,,#date+valid_on
1603:45:16:854,854,bfa.xlsx,validTo,,#date+valid_to
1603:45:16:854,854,bfa.xlsx,admin2Name_fr,2,fr#adm2+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:854,854,bfa.xlsx,admin2RefName,,
1603:45:16:854,854,bfa.xlsx,admin2AltName1_fr,2,fr#adm2+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin2AltName2_fr,2,fr#adm2+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:854,854,bfa.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:854,854,bfa.xlsx,date,,#date
1603:45:16:854,854,bfa.xlsx,validOn,,#date+valid_on
1603:45:16:854,854,bfa.xlsx,validTo,,#date+valid_to
1603:45:16:854,854,bfa.xlsx,admin1Name_fr,1,fr#adm1+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:854,854,bfa.xlsx,admin1RefName,,
1603:45:16:854,854,bfa.xlsx,admin1AltName1_fr,1,fr#adm1+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin1AltName2_fr,1,fr#adm1+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:854,854,bfa.xlsx,date,,#date
1603:45:16:854,854,bfa.xlsx,validOn,,#date+valid_on
1603:45:16:854,854,bfa.xlsx,validTo,,#date+valid_to
1603:45:16:854,854,bfa.xlsx,admin0Name_fr,0,fr#adm0+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:854,854,bfa.xlsx,admin0RefName,,
1603:45:16:854,854,bfa.xlsx,admin0AltName1_fr,0,fr#adm0+name+i_fr
1603:45:16:854,854,bfa.xlsx,admin0AltName2_fr,0,fr#adm0+name+i_fr
1603:45:16:854,854,bfa.xlsx,date,,#date
1603:45:16:854,854,bfa.xlsx,validOn,,#date+valid_on
1603:45:16:854,854,bfa.xlsx,validTo,,#date+valid_to
1603:45:16:50,50,bgd.xlsx,admin4Name_en,4,en#adm4+name+i_en
1603:45:16:50,50,bgd.xlsx,admin4Pcode,,#adm4+code+pcode
1603:45:16:50,50,bgd.xlsx,admin4RefName,,
1603:45:16:50,50,bgd.xlsx,admin4AltName1_en,4,en#adm4+name+i_en
1603:45:16:50,50,bgd.xlsx,admin4AltName2_en,4,en#adm4+name+i_en
1603:45:16:50,50,bgd.xlsx,admin3Name_en,3,en#adm3+name+i_en
1603:45:16:50,50,bgd.xlsx,admin3Pcode,,#adm3+code+pcode
1603:45:16:50,50,bgd.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:50,50,bgd.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:50,50,bgd.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:50,50,bgd.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:50,50,bgd.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:50,50,bgd.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:50,50,bgd.xlsx,date,,#date
1603:45:16:50,50,bgd.xlsx,validOn,,#date+valid_on
1603:45:16:50,50,bgd.xlsx,validTo,,#date+valid_to
1603:45:16:50,50,bgd.xlsx,admin3Name_en,3,en#adm3+name+i_en
1603:45:16:50,50,bgd.xlsx,admin3Pcode,,#adm3+code+pcode
1603:45:16:50,50,bgd.xlsx,admin3RefName,,
1603:45:16:50,50,bgd.xlsx,admin3AltName1_en,3,en#adm3+name+i_en
1603:45:16:50,50,bgd.xlsx,admin3AltName2_en,3,en#adm3+name+i_en
1603:45:16:50,50,bgd.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:50,50,bgd.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:50,50,bgd.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:50,50,bgd.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:50,50,bgd.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:50,50,bgd.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:50,50,bgd.xlsx,date,,#date
1603:45:16:50,50,bgd.xlsx,validOn,,#date+valid_on
1603:45:16:50,50,bgd.xlsx,validTo,,#date+valid_to
1603:45:16:50,50,bgd.xlsx,admin2Name_en,2,en#adm2+name+i_en
1603:45:16:50,50,bgd.xlsx,admin2Pcode,,#adm2+code+pcode
1603:45:16:50,50,bgd.xlsx,admin2RefName,,
1603:45:16:50,50,bgd.xlsx,admin2AltName1_en,2,en#adm2+name+i_en
1603:45:16:50,50,bgd.xlsx,admin2AltName2_en,2,en#adm2+name+i_en
1603:45:16:50,50,bgd.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:50,50,bgd.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:50,50,bgd.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:50,50,bgd.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:50,50,bgd.xlsx,date,,#date
1603:45:16:50,50,bgd.xlsx,validOn,,#date+valid_on
1603:45:16:50,50,bgd.xlsx,validTo,,#date+valid_to
1603:45:16:50,50,bgd.xlsx,admin1Name_en,1,en#adm1+name+i_en
1603:45:16:50,50,bgd.xlsx,admin1Pcode,,#adm1+code+pcode
1603:45:16:50,50,bgd.xlsx,admin1RefName,,
1603:45:16:50,50,bgd.xlsx,admin1AltName1_en,1,en#adm1+name+i_en
1603:45:16:50,50,bgd.xlsx,admin1AltName2_en,1,en#adm1+name+i_en
1603:45:16:50,50,bgd.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:50,50,bgd.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:50,50,bgd.xlsx,date,,#date
1603:45:16:50,50,bgd.xlsx,validOn,,#date+valid_on
1603:45:16:50,50,bgd.xlsx,validTo,,#date+valid_to
1603:45:16:50,50,bgd.xlsx,admin0Name_en,0,en#adm0+name+i_en
1603:45:16:50,50,bgd.xlsx,admin0Pcode,,#adm0+code+pcode
1603:45:16:50,50,bgd.xlsx,admin0RefName,,
