#meta,#meta+archivum,#meta+caput
1603.45.16:,aze.xlsx,validOn
1603.45.16:,aze.xlsx,validTo
1603.45.16:,bdi.xlsx,admin2Name_fr
1603.45.16:,bdi.xlsx,admin2Pcode
1603.45.16:,bdi.xlsx,admin2RefName
1603.45.16:,bdi.xlsx,admin2AltName1_fr
1603.45.16:,bdi.xlsx,admin2AltName2_fr
1603.45.16:,bdi.xlsx,admin1Name_fr
1603.45.16:,bdi.xlsx,admin1Pcode
1603.45.16:,bdi.xlsx,admin0Name_fr
1603.45.16:,bdi.xlsx,admin0Pcode
1603.45.16:,bdi.xlsx,date
1603.45.16:,bdi.xlsx,validOn
1603.45.16:,bdi.xlsx,validTo
1603.45.16:,bdi.xlsx,admin1Name_fr
1603.45.16:,bdi.xlsx,admin1Pcode
1603.45.16:,bdi.xlsx,admin1RefName
1603.45.16:,bdi.xlsx,admin1AltName1_fr
1603.45.16:,bdi.xlsx,admin1AltName2_fr
1603.45.16:,bdi.xlsx,admin0Name_fr
1603.45.16:,bdi.xlsx,admin0Pcode
1603.45.16:,bdi.xlsx,date
1603.45.16:,bdi.xlsx,validOn
1603.45.16:,bdi.xlsx,validTo
1603.45.16:,bdi.xlsx,admin0Name_fr
1603.45.16:,bdi.xlsx,admin0Pcode
1603.45.16:,bdi.xlsx,admin0RefName
1603.45.16:,bdi.xlsx,admin0AltName1_fr
1603.45.16:,bdi.xlsx,admin0AltName2_fr
1603.45.16:,bdi.xlsx,date
1603.45.16:,bdi.xlsx,validOn
1603.45.16:,bdi.xlsx,validTo
1603.45.16:,ben.xlsx,admin2Name_fr
1603.45.16:,ben.xlsx,admin2Pcode
1603.45.16:,ben.xlsx,admin2RefName
1603.45.16:,ben.xlsx,admin2AltName1_fr
1603.45.16:,ben.xlsx,admin2AltName2_fr
1603.45.16:,ben.xlsx,admin1Name_fr
1603.45.16:,ben.xlsx,admin1Pcode
1603.45.16:,ben.xlsx,admin0Name_en
1603.45.16:,ben.xlsx,admin0Name_fr
1603.45.16:,ben.xlsx,admin0Pcode
1603.45.16:,ben.xlsx,date
1603.45.16:,ben.xlsx,validOn
1603.45.16:,ben.xlsx,validTo
1603.45.16:,ben.xlsx,admin1Name_fr
1603.45.16:,ben.xlsx,admin1Pcode
1603.45.16:,ben.xlsx,admin1RefName
1603.45.16:,ben.xlsx,admin1AltName1_fr
1603.45.16:,ben.xlsx,admin1AltName2_fr
1603.45.16:,ben.xlsx,admin0Name_en
1603.45.16:,ben.xlsx,admin0Name_fr
1603.45.16:,ben.xlsx,admin0Pcode
1603.45.16:,ben.xlsx,date
1603.45.16:,ben.xlsx,validOn
1603.45.16:,ben.xlsx,validTo
1603.45.16:,ben.xlsx,admin0Name_en
1603.45.16:,ben.xlsx,admin0Name_fr
1603.45.16:,ben.xlsx,admin0Pcode
1603.45.16:,ben.xlsx,admin0RefName
1603.45.16:,ben.xlsx,admin0AltName1_en
1603.45.16:,ben.xlsx,admin0AltName2_en
1603.45.16:,ben.xlsx,admin0AltName1_fr
1603.45.16:,ben.xlsx,admin0AltName2_fr
1603.45.16:,ben.xlsx,date
1603.45.16:,ben.xlsx,validOn
1603.45.16:,ben.xlsx,validTo
1603.45.16:,bfa.xlsx,admin3Name_fr
1603.45.16:,bfa.xlsx,admin3Pcode
1603.45.16:,bfa.xlsx,admin3RefName
1603.45.16:,bfa.xlsx,admin3AltName1_fr
1603.45.16:,bfa.xlsx,admin3AltName2_fr
1603.45.16:,bfa.xlsx,admin2Name_fr
1603.45.16:,bfa.xlsx,admin2Pcode
1603.45.16:,bfa.xlsx,admin1Name_fr
1603.45.16:,bfa.xlsx,admin1Pcode
1603.45.16:,bfa.xlsx,admin0Name_fr
1603.45.16:,bfa.xlsx,admin0Pcode
1603.45.16:,bfa.xlsx,date
1603.45.16:,bfa.xlsx,validOn
1603.45.16:,bfa.xlsx,validTo
1603.45.16:,bfa.xlsx,admin2Name_fr
1603.45.16:,bfa.xlsx,admin2Pcode
1603.45.16:,bfa.xlsx,admin2RefName
1603.45.16:,bfa.xlsx,admin2AltName1_fr
1603.45.16:,bfa.xlsx,admin2AltName2_fr
1603.45.16:,bfa.xlsx,admin1Name_fr
1603.45.16:,bfa.xlsx,admin1Pcode
1603.45.16:,bfa.xlsx,admin0Name_fr
1603.45.16:,bfa.xlsx,admin0Pcode
1603.45.16:,bfa.xlsx,date
1603.45.16:,bfa.xlsx,validOn
1603.45.16:,bfa.xlsx,validTo
1603.45.16:,bfa.xlsx,admin1Name_fr
1603.45.16:,bfa.xlsx,admin1Pcode
1603.45.16:,bfa.xlsx,admin1RefName
1603.45.16:,bfa.xlsx,admin1AltName1_fr
1603.45.16:,bfa.xlsx,admin1AltName2_fr
1603.45.16:,bfa.xlsx,admin0Name_fr
1603.45.16:,bfa.xlsx,admin0Pcode
1603.45.16:,bfa.xlsx,date
1603.45.16:,bfa.xlsx,validOn
1603.45.16:,bfa.xlsx,validTo
1603.45.16:,bfa.xlsx,admin0Name_fr
1603.45.16:,bfa.xlsx,admin0Pcode
1603.45.16:,bfa.xlsx,admin0RefName
1603.45.16:,bfa.xlsx,admin0AltName1_fr
1603.45.16:,bfa.xlsx,admin0AltName2_fr
1603.45.16:,bfa.xlsx,date
1603.45.16:,bfa.xlsx,validOn
1603.45.16:,bfa.xlsx,validTo
1603.45.16:,bgd.xlsx,admin4Name_en
1603.45.16:,bgd.xlsx,admin4Pcode
1603.45.16:,bgd.xlsx,admin4RefName
1603.45.16:,bgd.xlsx,admin4AltName1_en
1603.45.16:,bgd.xlsx,admin4AltName2_en
1603.45.16:,bgd.xlsx,admin3Name_en
1603.45.16:,bgd.xlsx,admin3Pcode
1603.45.16:,bgd.xlsx,admin2Name_en
1603.45.16:,bgd.xlsx,admin2Pcode
1603.45.16:,bgd.xlsx,admin1Name_en
1603.45.16:,bgd.xlsx,admin1Pcode
1603.45.16:,bgd.xlsx,admin0Name_en
1603.45.16:,bgd.xlsx,admin0Pcode
1603.45.16:,bgd.xlsx,date
1603.45.16:,bgd.xlsx,validOn
1603.45.16:,bgd.xlsx,validTo
1603.45.16:,bgd.xlsx,admin3Name_en
1603.45.16:,bgd.xlsx,admin3Pcode
1603.45.16:,bgd.xlsx,admin3RefName
1603.45.16:,bgd.xlsx,admin3AltName1_en
1603.45.16:,bgd.xlsx,admin3AltName2_en
1603.45.16:,bgd.xlsx,admin2Name_en
1603.45.16:,bgd.xlsx,admin2Pcode
1603.45.16:,bgd.xlsx,admin1Name_en
1603.45.16:,bgd.xlsx,admin1Pcode
1603.45.16:,bgd.xlsx,admin0Name_en
1603.45.16:,bgd.xlsx,admin0Pcode
1603.45.16:,bgd.xlsx,date
1603.45.16:,bgd.xlsx,validOn
1603.45.16:,bgd.xlsx,validTo
1603.45.16:,bgd.xlsx,admin2Name_en
