Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Wikidata QID,"Wikidata QID, meta",Multiple languages,"Multiple languages, meta",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",Cōdex factō,Cōdex factō; meta,l,m,n,o,p,q,r,s,t,u,v,w
17_8434_1076052,,,Q1076052,,/preschool - educational establishment offering early childhood education to children/,,,,,,,,,,,,,,,,,
17_11451,,,Q11451,,"/agriculture - cultivation of life forms for food, fiber, biofuel and other products used to sustain life/",TODO https://en.wikipedia.org/wiki/List_of_building_types#Agricultural,,,,,,,,,,,,,,,,
17_11451_165044,,,Q165044,,/greenhouse - building in which plants are grown/,,,,,,,,,,,,,,,,,
17_11451_213643,,,Q213643,,/silo - structure for storing bulk materials/,,,,,,,,,,,,,,,,,
17_11451_265764,1,1,Q265764,,/hórreo - type of granary on the Iberian peninsula/,,,,,,,,,,,,,,,,,
17_11451_489357,,,Q489357,,"/farmhouse - chief dwellings attached to farms, particularly a dwelling for the family of a family-owned and -operated farm/",,,,,,,,,,,,,,,,,
17_11451_1303167,,,Q1303167,,"/barn - agricultural building used for storage and as a covered workplace, may contain a livestock housing section/",,,,,,,,,,,,,,,,,
17_11451_1349300,,,Q1349300,,"/root cellar - structure, usually underground or partially underground, used for storage of vegetables, fruits, nuts, or other foods/",,,,,,,,,,,,,,,,,
17_31207,,,Q31207,,/health care - prevention of disease and promotion of wellbeing/,,,,,,,,,,,,,,,,,
17_31207_16917,,,Q16917,,/hospital/,,,,,,,,,,,,,,,,,
17_31207_210999,,,Q210999,,/psychiatric hospital - hospital treating serious mental disorders/,,,,,,,,,,,,,,,,,
17_31207_837142,,,Q837142,,/nursing home - /type of residential care/,,,,,,,,,,,,,,,,,
17_31207_1774898,,,Q1774898,,"/clinic - health care facility, primarily focused on the care of outpatients/",,,,,,,,,,,,,,,,,
17_8473,,,Q8473,,/military - organized body primarily tasked with preparing for and conducting war/,,,,,,,,,,,,,,,,,
17_8473_57821,,,Q57821,,/fortification - /military constructions and buildings designed for defense in warfare and military bases/,,,,,,,,,,,,,,,,,
17_8473_245016,,,Q245016,,/military base - facility directly owned and operated by or for the military/,,,,,,,,,,,,,,,,,
17_8473_728934,1,1,Q728934,,/black site - location at which an unacknowledged black project is conducted/,,,,,,,,,,,,,,,,,
17_9174,,,Q9174,,"/religion - set of beliefs, practices and traditions for a group or community/",,,,,,,,,,,,,,,,,
17_9174_16970,,,Q16970,,/church building - building constructed for Christian worship/,,,,,,,,,,,,,,,,,
17_9174_34627,,,Q34627,,/synagogue - Jewish (or rarely Samaritan) house of prayer/,,,,,,,,,,,,,,,,,
17_9174_44539,,,Q44539,,/temple - structure reserved for religious or spiritual activities/,,,,,,,,,,,,,,,,,
17_9174_44613,,,Q44613,,/monastery - complex of buildings comprising the domestic quarters and workplace(s) of monks or nuns/,,,,,,,,,,,,,,,,,
17_9174_141140,,,Q141140,,/hussainiya - ceremonial gathering hall in Shia Islam/,,,,,,,,,,,,,,,,,
17_9174_199451,,,Q199451,,"/pagoda - tiered tower built in an East Asian style, a kind of decorative garden structure/",,,,,,,,,,,,,,,,,
17_9174_337986,,,Q337986,,/gurdwara - place of worship in Sikhism/,,,,,,,,,,,,,,,,,
17_9174_697295,,,Q697295,,"/shrine - /holy or sacred place, which is dedicated to a specific deity",,,,,,,,,,,,,,,,,
17_9174_842402,,,Q842402,,/Hindu temple - house of worship in Hinduism/,,,,,,,,,,,,,,,,,
17_80962,,,Q80962,,/animal husbandry - management of farmed animals by humans/,,,,,,,,,,,,,,,,,
17_80962_214252,,,Q214252,,/stable - building for horses and other livestock/,,,,,,,,,,,,,,,,,
17_80962_385557,,,Q385557,,/slaughterhouse - facility where animals are killed for consumption as food products/,,,,,,,,,,,,,,,,,
17_80962_861182,,,Q861182,,/poultry farming - part of animal husbandry - chicken farming/,,,,,,,,,,,,,,,,,
17_80962_1651566,,,Q1651566,,/pigsty - enclosure for pigs/,,,,,,,,,,,,,,,,,
17_732717,,,Q732717,,/law enforcement agency - government agency responsible for the enforcement of the laws/,,,,,,,,,,,,,,,,,
17_732717_861951,,,Q861951,,"/police station - headquarters for the police of a particular district, from which police officers are dispatched and to which persons under arrest are brought/",,,,,,,,,,,,,,,,,
17_818670,,,Q818670,,"/penology - section of criminology that deals with the philosophy and practice of various societies in their attempts to repress criminal activities, and satisfy public opinion via an appropriate treatment regime for persons convicted of criminal offences/",,,,,,,,,,,,,,,,,
17_818670_40357,,,Q40357,,/prison - place in which people legally are physically confined and usually deprived of a range of personal freedoms/,,,,,,,,,,,,,,,,,
17_1307276,,,Q1307276,,/single-family detached home - free-standing residential building/,https://en.wikipedia.org/wiki/Single-family_detached_home,,,,,,,,,,,,,,,,
17_1307276_3947,,,Q3947,,/house - building usually intended for living in/,,,,,,,,,,,,,,,,,
17_1307276_259059,,,Q259059,,/household - group of one or more people living in the same dwelling and sharing meals or living accommodation; may consist of a single family or other grouping of people/,,,,,,,,,,,,,,,,,
17_1307276_1335996,,,Q1335996,,"/Studio apartment - is a small apartment (rarely a condo) in which the normal functions of a number of rooms – often the living room, bedroom, and kitchen – are combined into a single room/",,,,,,,,,,,,,,,,,
17_1307276_5784097,,,Q5784097,,"/hut - a small dwelling - generally less complex than that of a house (durable, well-built dwelling) but more so than that of a shelter/ ",,,,,,,,,,,,,,,,,
17_1498804,,,Q1498804,,/multiple dwellings - multiple separate housing units for residential inhabitants contained within one building or several buildings within one complex/,https://en.wikipedia.org/wiki/Multifamily_residential,,,,,,,,,,,,,,,,
17_1498804_161851,,,Q161851,,/condominium - form of housing tenure and other real property/,,,,,,,,,,,,,,,,,
17_1498804_188507,,,Q188507,,/apartment - self-contained housing unit occupying part of a building/,,,,,,,,,,,,,,,,,
17_1722438,,,Q1722438,,/emergency shelter - place for people to live temporarily when they cannot live in their previous residence/,,,,,,,,,,,,,,,,,
17_1722438_1451763,,,Q1451763,,/women's shelter - place of temporary refuge and support for women escaping violent or abusive situations/,,,,,,,,,,,,,,,,,
17_7834471,,,Q7834471,,/Transitional shelter/,,,,,,,,,,,,,,,,,
17_7834471_772298,,,Q772298,,/homeless shelter - /temporary residence for homeless individuals and families,,,,,,,,,,,,,,,,,
17_7834471_2681882,,,Q2681882,,/refugee shelter - structures ranging from the most temporary tent accommodation through transitional shelter to building temporary pics and settlements and include the most basic kind of ad hoc structure/,,,,,,,,,,,,,,,,,
