#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:616:2:8007,8007,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8007,Sulecinski,PL008007,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8008,8008,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8008,Swiebodzinski,PL008008,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8009,8009,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8009,Zielonogorski,PL008009,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8010,8010,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8010,Zaganski,PL008010,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8011,8011,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8011,Zarski,PL008011,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8012,8012,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8012,Wschowski,PL008012,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8061,8061,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8061,Gorzow Wielkopolski,PL008061,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:8062,8062,1603:45:16:616:0,1603:45:16:616:1:8,1603:45:16:616:2:8062,Zielona Gora,PL008062,,,,Lubuskie,PL008,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10001,10001,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10001,Belchatowski,PL010001,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10002,10002,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10002,Kutnowski,PL010002,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10003,10003,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10003,Laski,PL010003,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10004,10004,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10004,Leczycki,PL010004,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10005,10005,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10005,Lowicki,PL010005,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10006,10006,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10006,Lodzki Wschodni,PL010006,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10007,10007,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10007,Opoczynski,PL010007,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10008,10008,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10008,Pabianicki,PL010008,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10009,10009,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10009,Pajeczanski,PL010009,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10010,10010,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10010,Piotrkowski,PL010010,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10011,10011,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10011,Poddebicki,PL010011,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10012,10012,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10012,Radomszczanski,PL010012,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10013,10013,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10013,Rawski,PL010013,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10014,10014,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10014,Sieradzki,PL010014,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10015,10015,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10015,Skierniewicki,PL010015,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10016,10016,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10016,Tomaszowski,PL010016,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10017,10017,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10017,Wielunski,PL010017,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10018,10018,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10018,Wieruszowski,PL010018,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10019,10019,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10019,Zdunskowolski,PL010019,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10020,10020,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10020,Zgierski,PL010020,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10021,10021,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10021,Brzezinski,PL010021,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:10061,10061,1603:45:16:616:0,1603:45:16:616:1:10,1603:45:16:616:2:10061,Lodz,PL010061,,,,Łódzkie,PL010,Polska,PL,2022-04-19,2022-04-19,
