#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:764:1:62,62,1603:45:16:764:0,1603:45:16:764:1:62,Kamphaeng Phet,กำแพงเพชร,TH62,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:63,63,1603:45:16:764:0,1603:45:16:764:1:63,Tak,ตาก,TH63,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:64,64,1603:45:16:764:0,1603:45:16:764:1:64,Sukhothai,สุโขทัย,TH64,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:65,65,1603:45:16:764:0,1603:45:16:764:1:65,Phitsanulok,พิษณุโลก,TH65,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:66,66,1603:45:16:764:0,1603:45:16:764:1:66,Phichit,พิจิตร,TH66,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:67,67,1603:45:16:764:0,1603:45:16:764:1:67,Phetchabun,เพชรบูรณ์,TH67,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:70,70,1603:45:16:764:0,1603:45:16:764:1:70,Ratchaburi,ราชบุรี,TH70,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:71,71,1603:45:16:764:0,1603:45:16:764:1:71,Kanchanaburi,กาญจนบุรี,TH71,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:72,72,1603:45:16:764:0,1603:45:16:764:1:72,Suphan Buri,สุพรรณบุรี,TH72,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:73,73,1603:45:16:764:0,1603:45:16:764:1:73,Nakhon Pathom,นครปฐม,TH73,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:74,74,1603:45:16:764:0,1603:45:16:764:1:74,Samut Sakhon,สมุทรสาคร,TH74,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:75,75,1603:45:16:764:0,1603:45:16:764:1:75,Samut Songkhram,สมุทรสงคราม,TH75,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:76,76,1603:45:16:764:0,1603:45:16:764:1:76,Phetchaburi,เพชรบุรี,TH76,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:77,77,1603:45:16:764:0,1603:45:16:764:1:77,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:80,80,1603:45:16:764:0,1603:45:16:764:1:80,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:81,81,1603:45:16:764:0,1603:45:16:764:1:81,Krabi,กระบี่,TH81,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:82,82,1603:45:16:764:0,1603:45:16:764:1:82,Phangnga,พังงา,TH82,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:83,83,1603:45:16:764:0,1603:45:16:764:1:83,Phuket,ภูเก็ต,TH83,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:84,84,1603:45:16:764:0,1603:45:16:764:1:84,Surat Thani,สุราษฎร์ธานี,TH84,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:85,85,1603:45:16:764:0,1603:45:16:764:1:85,Ranong,ระนอง,TH85,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:86,86,1603:45:16:764:0,1603:45:16:764:1:86,Chumphon,ชุมพร,TH86,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:90,90,1603:45:16:764:0,1603:45:16:764:1:90,Songkhla,สงขลา,TH90,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:91,91,1603:45:16:764:0,1603:45:16:764:1:91,Satun,สตูล,TH91,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:92,92,1603:45:16:764:0,1603:45:16:764:1:92,Trang,ตรัง,TH92,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:93,93,1603:45:16:764:0,1603:45:16:764:1:93,Phatthalung,พัทลุง,TH93,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:94,94,1603:45:16:764:0,1603:45:16:764:1:94,Pattani,ปัตตานี,TH94,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:95,95,1603:45:16:764:0,1603:45:16:764:1:95,Yala,ยะลา,TH95,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:96,96,1603:45:16:764:0,1603:45:16:764:1:96,Narathiwat,นราธิวาส,TH96,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
