#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_tha+is_thai,#adm1+name+alt2+i_tha+is_thai,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:764:1:34,34,Ubon Ratchathani,อุบลราชธานี,TH34,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:35,35,Yasothon,ยโสธร,TH35,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:36,36,Chaiyaphum,ชัยภูมิ,TH36,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:37,37,Amnat Charoen,อำนาจเจริญ,TH37,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:38,38,Bueng Kan,บึงกาฬ,TH38,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:39,39,Nong Bua Lam Phu,หนองบัวลำภู,TH39,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:40,40,Khon Kaen,ขอนแก่น,TH40,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:41,41,Udon Thani,อุดรธานี,TH41,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:42,42,Loei,เลย,TH42,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:43,43,Nong Khai,หนองคาย,TH43,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:44,44,Maha Sarakham,มหาสารคาม,TH44,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:45,45,Roi Et,ร้อยเอ็ด,TH45,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:46,46,Kalasin,กาฬสินธุ์,TH46,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:47,47,Sakon Nakhon,สกลนคร,TH47,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:48,48,Nakhon Phanom,นครพนม,TH48,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:49,49,Mukdahan,มุกดาหาร,TH49,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:50,50,Chiang Mai,เชียงใหม่,TH50,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:51,51,Lamphun,ลำพูน,TH51,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:52,52,Lampang,ลำปาง,TH52,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:53,53,Uttaradit,อุตรดิตถ์,TH53,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:54,54,Phrae,แพร่,TH54,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:55,55,Nan,น่าน,TH55,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:56,56,Phayao,พะเยา,TH56,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:57,57,Chiang Rai,เชียงราย,TH57,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:58,58,Mae Hong Son,แม่ฮ่องสอน,TH58,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:60,60,Nakhon Sawan,นครสวรรค์,TH60,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:61,61,Uthai Thani,อุทัยธานี,TH61,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:62,62,Kamphaeng Phet,กำแพงเพชร,TH62,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:63,63,Tak,ตาก,TH63,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:64,64,Sukhothai,สุโขทัย,TH64,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:65,65,Phitsanulok,พิษณุโลก,TH65,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:66,66,Phichit,พิจิตร,TH66,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:67,67,Phetchabun,เพชรบูรณ์,TH67,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:70,70,Ratchaburi,ราชบุรี,TH70,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:71,71,Kanchanaburi,กาญจนบุรี,TH71,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:72,72,Suphan Buri,สุพรรณบุรี,TH72,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:73,73,Nakhon Pathom,นครปฐม,TH73,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:74,74,Samut Sakhon,สมุทรสาคร,TH74,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:75,75,Samut Songkhram,สมุทรสงคราม,TH75,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:76,76,Phetchaburi,เพชรบุรี,TH76,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:77,77,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:80,80,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:81,81,Krabi,กระบี่,TH81,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:82,82,Phangnga,พังงา,TH82,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:83,83,Phuket,ภูเก็ต,TH83,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:84,84,Surat Thani,สุราษฎร์ธานี,TH84,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:85,85,Ranong,ระนอง,TH85,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:86,86,Chumphon,ชุมพร,TH86,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:90,90,Songkhla,สงขลา,TH90,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:91,91,Satun,สตูล,TH91,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:92,92,Trang,ตรัง,TH92,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:93,93,Phatthalung,พัทลุง,TH93,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:94,94,Pattani,ปัตตานี,TH94,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:95,95,Yala,ยะลา,TH95,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:96,96,Narathiwat,นราธิวาส,TH96,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
