#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:254:2:1356,1356,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1356,Camopi,GF1356,Camopi,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:1358,1358,1603:45:16:254:0,1603:45:16:254:1:1,1603:45:16:254:2:1358,Saint-Élie,GF1358,Saint-Elie,,,Cayenne,GF1,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2306,2306,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2306,Mana,GF2306,Mana,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2311,2311,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2311,Saint-Laurent-du-Maroni,GF2311,Saint-Laurent-du-Maroni,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2352,2352,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2352,Saül,GF2352,Saul,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2353,2353,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2353,Maripasoula,GF2353,Maripasoula,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2357,2357,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2357,Grand-Santi,GF2357,Grand-Santi,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2360,2360,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2360,Apatou,GF2360,Apatou,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2361,2361,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2361,Awala-Yalimapo,GF2361,Awala-Yalimapo,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
1603:45:16:254:2:2362,2362,1603:45:16:254:0,1603:45:16:254:1:2,1603:45:16:254:2:2362,Papaïchton,GF2362,Papaichton,,,Saint-Laurent-du-Maroni,GF2,Guyane,GF,2020-02-12,2020-02-12,
