#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:504:2:4005,4005,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4005,Province de Boulemane, ,MA004005,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4006,4006,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4006,Province de Moulay Yacoub, ,MA004006,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4007,4007,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4007,Province de Sefrou, ,MA004007,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4008,4008,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4008,Province de Taounate, ,MA004008,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:4009,4009,1603:45:16:504:0,1603:45:16:504:1:4,1603:45:16:504:2:4009,Province de Taza, ,MA004009,,,,,,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:5001,5001,1603:45:16:504:0,1603:45:16:504:1:5,1603:45:16:504:2:5001,Assa Zag Province, ,MA005001,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:5002,5002,1603:45:16:504:0,1603:45:16:504:1:5,1603:45:16:504:2:5002,Guelmim Province, ,MA005002,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:5003,5003,1603:45:16:504:0,1603:45:16:504:1:5,1603:45:16:504:2:5003,Province de Tan Tan, ,MA005003,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:5004,5004,1603:45:16:504:0,1603:45:16:504:1:5,1603:45:16:504:2:5004,Sidi Ifni Province, ,MA005004,,,,,,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6001,6001,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6001,Al Haouz Province, ,MA006001,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6002,6002,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6002,Chichaoua Province, ,MA006002,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6003,6003,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6003,Essaouira Province, ,MA006003,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6004,6004,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6004,Prefecture de Marrakech, ,MA006004,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6005,6005,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6005,Province d El Kelaat Es Sraghna, ,MA006005,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6006,6006,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6006,Province de Safi, ,MA006006,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6007,6007,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6007,Province de Youssoufia, ,MA006007,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:6008,6008,1603:45:16:504:0,1603:45:16:504:1:6,1603:45:16:504:2:6008,Rhamna Province, ,MA006008,,,,,,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7001,7001,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7001,Prefecture d Oujda Angad, ,MA007001,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7002,7002,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7002,Province de Berkane, ,MA007002,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7003,7003,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7003,Province de Driouch, ,MA007003,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7004,7004,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7004,Province de Figuig, ,MA007004,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7005,7005,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7005,Province de Guercif, ,MA007005,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7006,7006,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7006,Province de Jerada, ,MA007006,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7007,7007,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7007,Province de Nador, ,MA007007,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:7008,7008,1603:45:16:504:0,1603:45:16:504:1:7,1603:45:16:504:2:7008,Province de Taourirt, ,MA007008,,,,,,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
