qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,zho-Zyyy-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,zho-Zyyy-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,zho-Zyyy-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:156:2:14030,14030,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14030,Jincheng,晋城市,CN014030,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14040,14040,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14040,Jinzhong,晋中市,CN014040,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14050,14050,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14050,Lüliang,吕梁市,CN014050,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14060,14060,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14060,Linfen,临汾市,CN014060,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14070,14070,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14070,Shuozhou,朔州市,CN014070,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14080,14080,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14080,Taiyuan,太原市,CN014080,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14090,14090,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14090,Xinzhou,忻州市,CN014090,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14100,14100,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14100,Yangquan,阳泉市,CN014100,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:14110,14110,1603:45:16:156:0,1603:45:16:156:1:14,1603:45:16:156:2:14110,Yuncheng,运城市,CN014110,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15010,15010,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15010,Alxa League,阿拉善盟,CN015010,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15020,15020,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15020,Baotou,包头市,CN015020,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15030,15030,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15030,Bayannur,巴彦淖尔市,CN015030,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15040,15040,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15040,Chifeng,赤峰市,CN015040,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15050,15050,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15050,Hinggan League,兴安盟,CN015050,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15060,15060,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15060,Hohhot,呼和浩特市,CN015060,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15070,15070,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15070,Hulunbuir,呼伦贝尔市,CN015070,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15080,15080,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15080,Ordos,鄂尔多斯市,CN015080,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15090,15090,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15090,Tongliao,通辽市,CN015090,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15100,15100,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15100,Ulanqab,乌兰察布市,CN015100,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15110,15110,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15110,Wuhai,乌海市,CN015110,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:15120,15120,1603:45:16:156:0,1603:45:16:156:1:15,1603:45:16:156:2:15120,Xilingol League,锡林郭勒盟,CN015120,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21010,21010,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21010,Anshan,鞍山市,CN021010,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21020,21020,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21020,Benxi,本溪市,CN021020,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21030,21030,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21030,Chaoyang,朝阳市,CN021030,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21040,21040,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21040,Dalian,大连市,CN021040,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21050,21050,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21050,Dandong,丹东市,CN021050,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21060,21060,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21060,Fushun,抚顺市,CN021060,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21070,21070,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21070,Fuxin,阜新市,CN021070,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21080,21080,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21080,Huludao,葫芦岛市,CN021080,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21090,21090,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21090,Jinzhou,锦州市,CN021090,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21100,21100,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21100,Liaoyang,辽阳市,CN021100,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21110,21110,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21110,Panjin,盘锦市,CN021110,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21120,21120,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21120,Shenyang,沈阳市,CN021120,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21130,21130,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21130,Tieling,铁岭市,CN021130,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:21140,21140,1603:45:16:156:0,1603:45:16:156:1:21,1603:45:16:156:2:21140,Yingkou,营口市,CN021140,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22010,22010,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22010,Baicheng,白城市,CN022010,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22020,22020,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22020,Baishan,白山市,CN022020,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22030,22030,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22030,Changchun,长春市,CN022030,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22040,22040,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22040,Jilin,吉林市,CN022040,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22050,22050,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22050,Liaoyuan,辽源市,CN022050,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22060,22060,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22060,Siping,四平市,CN022060,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22070,22070,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22070,Songyuan,松原市,CN022070,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22080,22080,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22080,Tonghua,通化市,CN022080,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:22090,22090,1603:45:16:156:0,1603:45:16:156:1:22,1603:45:16:156:2:22090,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,CN022090,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23010,23010,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23010,Daqing,大庆市,CN023010,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23020,23020,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23020,Daxinganling Prefecture,大兴安岭地区[4],CN023020,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23030,23030,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23030,Harbin,哈尔滨市,CN023030,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23040,23040,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23040,Hegang,鹤岗市,CN023040,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23050,23050,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23050,Heihe,黑河市,CN023050,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23060,23060,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23060,Jiamusi,佳木斯市,CN023060,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23070,23070,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23070,Jixi,鸡西市,CN023070,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23080,23080,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23080,Mudanjiang,牡丹江市,CN023080,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23090,23090,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23090,Qiqihar,齐齐哈尔市,CN023090,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23100,23100,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23100,Qitaihe,七台河市,CN023100,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23110,23110,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23110,Shuangyashan,双鸭山市,CN023110,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23120,23120,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23120,Suihua,绥化市,CN023120,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:23130,23130,1603:45:16:156:0,1603:45:16:156:1:23,1603:45:16:156:2:23130,Yichun,伊春市,CN023130,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:31010,31010,1603:45:16:156:0,1603:45:16:156:1:31,1603:45:16:156:2:31010,Shanghai Municipality,上海市,CN031010,Shanghai Municipality,上海市,CN031,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32010,32010,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32010,Changzhou,常州市,CN032010,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32020,32020,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32020,Huai'an,淮安市,CN032020,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32030,32030,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32030,Lianyungang,连云港市,CN032030,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32040,32040,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32040,Nanjing,南京市,CN032040,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32050,32050,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32050,Nantong,南通市,CN032050,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32060,32060,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32060,Suqian,宿迁市,CN032060,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32070,32070,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32070,Suzhou,苏州市,CN032070,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32080,32080,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32080,Taizhou,泰州市,CN032080,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32090,32090,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32090,Wuxi,无锡市,CN032090,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32100,32100,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32100,Xuzhou,徐州市,CN032100,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32110,32110,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32110,Yancheng,盐城市,CN032110,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32120,32120,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32120,Yangzhou,扬州市,CN032120,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:32130,32130,1603:45:16:156:0,1603:45:16:156:1:32,1603:45:16:156:2:32130,Zhenjiang,镇江市,CN032130,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33010,33010,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33010,Hangzhou,杭州市,CN033010,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33020,33020,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33020,Huzhou,湖州市,CN033020,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33030,33030,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33030,Jiaxing,嘉兴市,CN033030,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33040,33040,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33040,Jinhua,金华市,CN033040,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33050,33050,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33050,Lishui,丽水市,CN033050,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33060,33060,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33060,Ningbo,宁波市,CN033060,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33070,33070,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33070,Quzhou,衢州市,CN033070,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33080,33080,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33080,Shaoxing,绍兴市,CN033080,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33090,33090,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33090,Taizhou,台州市,CN033090,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33100,33100,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33100,Wenzhou,温州市,CN033100,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:33110,33110,1603:45:16:156:0,1603:45:16:156:1:33,1603:45:16:156:2:33110,Zhoushan,舟山市,CN033110,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34010,34010,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34010,Anqing,安庆市,CN034010,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34020,34020,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34020,Bengbu,蚌埠市,CN034020,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34030,34030,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34030,Bozhou,亳州市,CN034030,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34040,34040,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34040,Chizhou,池州市,CN034040,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34050,34050,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34050,Chuzhou,滁州市,CN034050,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34060,34060,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34060,Fuyang,阜阳市,CN034060,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34070,34070,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34070,Hefei,合肥市,CN034070,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34080,34080,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34080,Huaibei,淮北市,CN034080,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34090,34090,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34090,Huainan,淮南市,CN034090,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34100,34100,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34100,Huangshan,黄山市,CN034100,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34110,34110,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34110,Lu'an,六安市,CN034110,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34120,34120,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34120,Ma'anshan,马鞍山市,CN034120,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34130,34130,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34130,Suzhou,宿州市,CN034130,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34140,34140,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34140,Tongling,铜陵市,CN034140,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34150,34150,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34150,Wuhu,芜湖市,CN034150,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:34160,34160,1603:45:16:156:0,1603:45:16:156:1:34,1603:45:16:156:2:34160,Xuancheng,宣城市,CN034160,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35010,35010,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35010,Fuzhou,福州市,CN035010,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35020,35020,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35020,Longyan,龙岩市,CN035020,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
