#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5003,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5002,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5001,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5000,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:144:3:1131,1131,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:11,1603:45:16:144:3:1131,Ratmalana,රත්මලාන,இரத்மலானை,LK1131,,,,,,,,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1133,1133,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:11,1603:45:16:144:3:1133,Moratuwa,මොරටුව,மொரட்டுவை,LK1133,,,,,,,,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1136,1136,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:11,1603:45:16:144:3:1136,Kesbewa,කැස්බෑව,கெஸ்பவை,LK1136,,,,,,,,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1203,1203,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1203,Negombo,මීගමුව,நீர்கொழும்பு,LK1203,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1206,1206,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1206,Katana,කටාන,கந்தானை,LK1206,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1209,1209,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1209,Divulapitiya,දිවුලපිටිය,திவுலபிட்டிய,LK1209,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1212,1212,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1212,Mirigama,මීරිගම,மீரிகமை,LK1212,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1215,1215,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1215,Minuwangoda,මිනුවන්ගොඩ,மினுவாங்கொடை,LK1215,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1218,1218,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1218,Wattala,වත්තල,வத்தளை,LK1218,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1221,1221,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1221,Ja Ela,ජා-ඇල,யா-எலை,LK1221,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1224,1224,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1224,Gampaha,ගම්පහ,கம்பகா,LK1224,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1227,1227,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1227,Attanagalla,අත්තනගල්ල,அத்தனகல்லை,LK1227,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1230,1230,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1230,Dompe,දොම්පෙ,தொம்பே,LK1230,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1233,1233,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1233,Mahara,මහර,மகரை,LK1233,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1236,1236,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1236,Kelaniya,කැළණිය,களனி,LK1236,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1239,1239,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,1603:45:16:144:3:1239,Biyagama,බියගම,பியகமை,LK1239,,,,,,,,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1303,1303,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1303,Panadura,පානදුර,பாணந்துறை,LK1303,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1306,1306,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1306,Bandaragama,බණ්ඩාරගම,பண்டாரகமை,LK1306,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1309,1309,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1309,Horana,හොරණ,கொரணை,LK1309,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1310,1310,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1310,Ingiriya,ඉංගිරිය,இங்கிரிய,LK1310,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1312,1312,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1312,Bulathsinhala,බුලත්සිංහල,புலத்சிங்கள,LK1312,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1315,1315,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1315,Madurawala,මදුරාවෙල,மதுராவெலை,LK1315,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1318,1318,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1318,Millaniya,මිල්ලනිය,மில்லனிய,LK1318,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1321,1321,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1321,Kalutara,කඵතර,களுத்துறை,LK1321,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1324,1324,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1324,Beruwala,බේරුවල,பேருவளை,LK1324,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1327,1327,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1327,Dodangoda,දොඩංගොඩ,தொடாங்கொடை,LK1327,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1330,1330,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1330,Matugama,මතුගම,மதுகமை,LK1330,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1333,1333,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1333,Agalawatta,අගලවත්ත,அகலவத்தை,LK1333,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1336,1336,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1336,Palindanuwara,පාලින්දනුවර,பாலிந்தநுவரை,LK1336,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:1339,1339,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,1603:45:16:144:3:1339,Walallawita,වලල්ලාවිට,வலல்லாவிட்டை,LK1339,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2103,2103,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2103,Tumpane,තුම්පනේ,தும்பனை,LK2103,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2106,2106,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2106,Poojapitiya,පූජාපිටිය,பூஜாப்பிட்டிய,LK2106,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2109,2109,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2109,Akurana,අකුරණ,அக்குரணை,LK2109,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2112,2112,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2112,Pathadumbara,පාතදුම්බර,பாத்ததும்பறை,LK2112,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2115,2115,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2115,Panvila,පන්විල,பன்விலை,LK2115,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2118,2118,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2118,Ududumbara,උඩදුම්බර,உடதும்பறை,LK2118,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2121,2121,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2121,Minipe,මිනිපේ,மினிப்பே,LK2121,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2124,2124,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2124,Medadumbara,මැදදුම්බර,மெடதும்பறை,LK2124,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
