#adm1+code+pcode,#date,#date+valid_on,#date+valid_to
BR31,2020-09-30,2020-09-30,
BR32,2020-09-30,2020-09-30,
BR33,2020-09-30,2020-09-30,
BR35,2020-09-30,2020-09-30,
BR41,2020-09-30,2020-09-30,
BR42,2020-09-30,2020-09-30,
BR43,2020-09-30,2020-09-30,
BR50,2020-09-30,2020-09-30,
BR51,2020-09-30,2020-09-30,
BR52,2020-09-30,2020-09-30,
BR53,2020-09-30,2020-09-30,
BT001,2019-02-01,2020-10-26,
BT002,2019-02-01,2020-10-26,
BT003,2019-02-01,2020-10-26,
BT004,2019-02-01,2020-10-26,
BT005,2019-02-01,2020-10-26,
BT006,2019-02-01,2020-10-26,
BT007,2019-02-01,2020-10-26,
BT008,2019-02-01,2020-10-26,
BT009,2019-02-01,2020-10-26,
BT010,2019-02-01,2020-10-26,
BT011,2019-02-01,2020-10-26,
BT012,2019-02-01,2020-10-26,
BT013,2019-02-01,2020-10-26,
BT014,2019-02-01,2020-10-26,
BT015,2019-02-01,2020-10-26,
BT017,2019-02-01,2020-10-26,
BT018,2019-02-01,2020-10-26,
BT019,2019-02-01,2020-10-26,
BT016,2019-02-01,2020-10-26,
BT020,2019-02-01,2020-10-26,
CF11,2014-08-02,2015-06-15,
CF12,2014-08-02,2015-06-15,
CF21,2014-08-02,2015-06-15,
CF22,2014-08-02,2015-06-15,
CF23,2014-08-02,2015-06-15,
CF31,2014-08-02,2015-06-15,
CF32,2014-08-02,2015-06-15,
CF41,2014-08-02,2015-06-15,
CF42,2014-08-02,2015-06-15,
CF43,2014-08-02,2015-06-15,
CF51,2014-08-02,2015-06-15,
CF52,2014-08-02,2015-06-15,
CF53,2014-08-02,2015-06-15,
CF61,2014-08-02,2015-06-15,
CF62,2014-08-02,2015-06-15,
CF63,2014-08-02,2015-06-15,
CF71,2014-08-02,2015-06-15,
CL01,2020-05-18,2020-05-26,
CL02,2020-05-18,2020-05-26,
CL03,2020-05-18,2020-05-26,
CL04,2020-05-18,2020-05-26,
CL05,2020-05-18,2020-05-26,
CL06,2020-05-18,2020-05-26,
CL07,2020-05-18,2020-05-26,
CL08,2020-05-18,2020-05-26,
CL09,2020-05-18,2020-05-26,
CL10,2020-05-18,2020-05-26,
CL11,2020-05-18,2020-05-26,
CL12,2020-05-18,2020-05-26,
CL13,2020-05-18,2020-05-26,
CL14,2020-05-18,2020-05-26,
CL15,2020-05-18,2020-05-26,
CL16,2020-05-18,2020-05-26,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
CN011,2020-09-10,2020-09-10,
CN012,2020-09-10,2020-09-10,
CN013,2020-09-10,2020-09-10,
CN014,2020-09-10,2020-09-10,
CN015,2020-09-10,2020-09-10,
CN021,2020-09-10,2020-09-10,
CN022,2020-09-10,2020-09-10,
CN023,2020-09-10,2020-09-10,
CN031,2020-09-10,2020-09-10,
CN032,2020-09-10,2020-09-10,
CN033,2020-09-10,2020-09-10,
CN034,2020-09-10,2020-09-10,
CN035,2020-09-10,2020-09-10,
CN036,2020-09-10,2020-09-10,
CN037,2020-09-10,2020-09-10,
CN041,2020-09-10,2020-09-10,
CN042,2020-09-10,2020-09-10,
CN043,2020-09-10,2020-09-10,
CN044,2020-09-10,2020-09-10,
CN045,2020-09-10,2020-09-10,
CN046,2020-09-10,2020-09-10,
CN050,2020-09-10,2020-09-10,
CN051,2020-09-10,2020-09-10,
CN052,2020-09-10,2020-09-10,
CN053,2020-09-10,2020-09-10,
CN054,2020-09-10,2020-09-10,
CN061,2020-09-10,2020-09-10,
CN062,2020-09-10,2020-09-10,
CN063,2020-09-10,2020-09-10,
CN064,2020-09-10,2020-09-10,
CN065,2020-09-10,2020-09-10,
CI01,2011-12-24,2018-07-06,
CI02,2011-12-24,2018-07-06,
CI03,2011-12-24,2018-07-06,
CI04,2011-12-24,2018-07-06,
CI05,2011-12-24,2018-07-06,
CI06,2011-12-24,2018-07-06,
CI07,2011-12-24,2018-07-06,
CI08,2011-12-24,2018-07-06,
CI09,2011-12-24,2018-07-06,
CI10,2011-12-24,2018-07-06,
CI11,2011-12-24,2018-07-06,
CI12,2011-12-24,2018-07-06,
CI13,2011-12-24,2018-07-06,
CI14,2011-12-24,2018-07-06,
CI15,2011-12-24,2018-07-06,
CI16,2011-12-24,2018-07-06,
CI17,2011-12-24,2018-07-06,
CI18,2011-12-24,2018-07-06,
CI19,2011-12-24,2018-07-06,
CI20,2011-12-24,2018-07-06,
CI21,2011-12-24,2018-07-06,
CI22,2011-12-24,2018-07-06,
CI23,2011-12-24,2018-07-06,
CI24,2011-12-24,2018-07-06,
CI25,2011-12-24,2018-07-06,
CI26,2011-12-24,2018-07-06,
CI27,2011-12-24,2018-07-06,
CI28,2011-12-24,2018-07-06,
CI29,2011-12-24,2018-07-06,
CI30,2011-12-24,2018-07-06,
CI31,2011-12-24,2018-07-06,
CI32,2011-12-24,2018-07-06,
CI33,2011-12-24,2018-07-06,
CM001,2018-12-17,2019-01-04,
CM002,2018-12-17,2019-01-04,
CM003,2018-12-17,2019-01-04,
CM004,2018-12-17,2019-01-04,
CM005,2018-12-17,2019-01-04,
CM006,2018-12-17,2019-01-04,
CM007,2018-12-17,2019-01-04,
CM008,2018-12-17,2019-01-04,
CM009,2018-12-17,2019-01-04,
CM010,2018-12-17,2019-01-04,
CD10,2019-09-09,2019-09-11,
CD20,2019-09-09,2019-09-11,
CD31,2019-09-09,2019-09-11,
CD32,2019-09-09,2019-09-11,
CD33,2019-09-09,2019-09-11,
CD41,2019-09-09,2019-09-11,
CD42,2019-09-09,2019-09-11,
CD43,2019-09-09,2019-09-11,
CD44,2019-09-09,2019-09-11,
CD45,2019-09-09,2019-09-11,
CD51,2019-09-09,2019-09-11,
CD52,2019-09-09,2019-09-11,
CD53,2019-09-09,2019-09-11,
CD54,2019-09-09,2019-09-11,
CD61,2019-09-09,2019-09-11,
CD62,2019-09-09,2019-09-11,
CD63,2019-09-09,2019-09-11,
CD71,2019-09-09,2019-09-11,
CD72,2019-09-09,2019-09-11,
CD73,2019-09-09,2019-09-11,
CD74,2019-09-09,2019-09-11,
CD81,2019-09-09,2019-09-11,
CD82,2019-09-09,2019-09-11,
CD83,2019-09-09,2019-09-11,
CD91,2019-09-09,2019-09-11,
CD92,2019-09-09,2019-09-11,
CG01,2017-07-06,2019-06-17,
CG02,2017-07-06,2019-06-17,
CG03,2017-07-06,2019-06-17,
CG04,2017-07-06,2019-06-17,
CG05,2017-07-06,2019-06-17,
CG06,2017-07-06,2019-06-17,
CG07,2017-07-06,2019-06-17,
CG08,2017-07-06,2019-06-17,
CG09,2017-07-06,2019-06-17,
CG10,2017-07-06,2019-06-17,
CG11,2017-07-06,2019-06-17,
CG12,2017-07-06,2019-06-17,
CO05,2018-01-01,2020-04-16,
CO08,2018-01-01,2020-04-16,
CO11,2018-01-01,2020-04-16,
CO13,2018-01-01,2020-04-16,
CO15,2018-01-01,2020-04-16,
CO17,2018-01-01,2020-04-16,
CO18,2018-01-01,2020-04-16,
CO19,2018-01-01,2020-04-16,
CO20,2018-01-01,2020-04-16,
CO23,2018-01-01,2020-04-16,
CO25,2018-01-01,2020-04-16,
CO27,2018-01-01,2020-04-16,
CO41,2018-01-01,2020-04-16,
CO44,2018-01-01,2020-04-16,
CO47,2018-01-01,2020-04-16,
CO50,2018-01-01,2020-04-16,
CO52,2018-01-01,2020-04-16,
CO54,2018-01-01,2020-04-16,
CO63,2018-01-01,2020-04-16,
CO66,2018-01-01,2020-04-16,
CO68,2018-01-01,2020-04-16,
CO70,2018-01-01,2020-04-16,
CO73,2018-01-01,2020-04-16,
CO76,2018-01-01,2020-04-16,
CO81,2018-01-01,2020-04-16,
CO85,2018-01-01,2020-04-16,
CO86,2018-01-01,2020-04-16,
CO88,2018-01-01,2020-04-16,
CO91,2018-01-01,2020-04-16,
CO94,2018-01-01,2020-04-16,
CO95,2018-01-01,2020-04-16,
CO97,2018-01-01,2020-04-16,
CO99,2018-01-01,2020-04-16,
KM1,2018-12-28,2019-12-05,
KM2,2018-12-28,2019-12-05,
KM3,2018-12-28,2019-12-05,
CV01,2017-12-27,2018-05-14,
CV02,2017-12-27,2018-05-14,
CV03,2017-12-27,2018-05-14,
CV04,2017-12-27,2018-05-14,
CV05,2017-12-27,2018-05-14,
CV06,2017-12-27,2018-05-14,
CV07,2017-12-27,2018-05-14,
CV08,2017-12-27,2018-05-14,
CV09,2017-12-27,2018-05-14,
CV10,2017-12-27,2018-05-14,
CV11,2017-12-27,2018-05-14,
CV12,2017-12-27,2018-05-14,
CV13,2017-12-27,2018-05-14,
CV14,2017-12-27,2018-05-14,
CV15,2017-12-27,2018-05-14,
CV16,2017-12-27,2018-05-14,
CV17,2017-12-27,2018-05-14,
CV18,2017-12-27,2018-05-14,
CV19,2017-12-27,2018-05-14,
CV20,2017-12-27,2018-05-14,
CV21,2017-12-27,2018-05-14,
CV22,2017-12-27,2018-05-14,
CR01,2020-08-05,2020-08-06,
CR02,2020-08-05,2020-08-06,
CR03,2020-08-05,2020-08-06,
CR04,2020-08-05,2020-08-06,
CR05,2020-08-05,2020-08-06,
CR06,2020-08-05,2020-08-06,
CR07,2020-08-05,2020-08-06,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
DJ01,2018-10-26,2020-02-20,
DJ02,2018-10-26,2020-02-20,
DJ03,2018-10-26,2020-02-20,
DJ04,2018-10-26,2020-02-20,
DJ05,2018-10-26,2020-02-20,
DM01,2017-09-07,2019-11-10,
DM02,2017-09-07,2019-11-10,
DM03,2017-09-07,2019-11-10,
DM04,2017-09-07,2019-11-10,
DM05,2017-09-07,2019-11-10,
DM06,2017-09-07,2019-11-10,
DM07,2017-09-07,2019-11-10,
DM08,2017-09-07,2019-11-10,
DM09,2017-09-07,2019-11-10,
DM10,2017-09-07,2019-11-10,
DO01,2017-09-06,2020-01-21,
DO02,2017-09-06,2020-01-21,
DO03,2017-09-06,2020-01-21,
DO04,2017-09-06,2020-01-21,
DO05,2017-09-06,2020-01-21,
DO06,2017-09-06,2020-01-21,
DO07,2017-09-06,2020-01-21,
DO08,2017-09-06,2020-01-21,
DO09,2017-09-06,2020-01-21,
DO10,2017-09-06,2020-01-21,
DZ001,2014-12-19,2020-04-28,
DZ002,2014-12-19,2020-04-28,
DZ003,2014-12-19,2020-04-28,
DZ004,2014-12-19,2020-04-28,
DZ005,2014-12-19,2020-04-28,
DZ006,2014-12-19,2020-04-28,
DZ007,2014-12-19,2020-04-28,
DZ008,2014-12-19,2020-04-28,
DZ009,2014-12-19,2020-04-28,
DZ010,2014-12-19,2020-04-28,
DZ011,2014-12-19,2020-04-28,
DZ012,2014-12-19,2020-04-28,
DZ013,2014-12-19,2020-04-28,
DZ014,2014-12-19,2020-04-28,
DZ015,2014-12-19,2020-04-28,
DZ016,2014-12-19,2020-04-28,
DZ017,2014-12-19,2020-04-28,
DZ018,2014-12-19,2020-04-28,
DZ019,2014-12-19,2020-04-28,
DZ020,2014-12-19,2020-04-28,
DZ021,2014-12-19,2020-04-28,
DZ022,2014-12-19,2020-04-28,
DZ023,2014-12-19,2020-04-28,
DZ024,2014-12-19,2020-04-28,
DZ025,2014-12-19,2020-04-28,
DZ026,2014-12-19,2020-04-28,
DZ027,2014-12-19,2020-04-28,
DZ028,2014-12-19,2020-04-28,
DZ029,2014-12-19,2020-04-28,
DZ030,2014-12-19,2020-04-28,
DZ031,2014-12-19,2020-04-28,
DZ032,2014-12-19,2020-04-28,
DZ033,2014-12-19,2020-04-28,
DZ034,2014-12-19,2020-04-28,
DZ035,2014-12-19,2020-04-28,
DZ036,2014-12-19,2020-04-28,
DZ037,2014-12-19,2020-04-28,
DZ038,2014-12-19,2020-04-28,
DZ039,2014-12-19,2020-04-28,
DZ040,2014-12-19,2020-04-28,
DZ041,2014-12-19,2020-04-28,
DZ042,2014-12-19,2020-04-28,
DZ043,2014-12-19,2020-04-28,
DZ044,2014-12-19,2020-04-28,
DZ045,2014-12-19,2020-04-28,
DZ046,2014-12-19,2020-04-28,
DZ047,2014-12-19,2020-04-28,
DZ048,2014-12-19,2020-04-28,
EC01,2018-12-17,2019-07-24,
EC02,2018-12-17,2019-07-24,
EC03,2018-12-17,2019-07-24,
EC04,2018-12-17,2019-07-24,
EC05,2018-12-17,2019-07-24,
EC06,2018-12-17,2019-07-24,
EC07,2018-12-17,2019-07-24,
EC08,2018-12-17,2019-07-24,
EC09,2018-12-17,2019-07-24,
EC10,2018-12-17,2019-07-24,
EC11,2018-12-17,2019-07-24,
EC12,2018-12-17,2019-07-24,
EC13,2018-12-17,2019-07-24,
EC14,2018-12-17,2019-07-24,
EC15,2018-12-17,2019-07-24,
EC16,2018-12-17,2019-07-24,
EC17,2018-12-17,2019-07-24,
EC18,2018-12-17,2019-07-24,
EC19,2018-12-17,2019-07-24,
EC20,2018-12-17,2019-07-24,
EC21,2018-12-17,2019-07-24,
EC22,2018-12-17,2019-07-24,
EC23,2018-12-17,2019-07-24,
EC24,2018-12-17,2019-07-24,
EC90,2018-12-17,2019-07-24,
EG01,2006-01-01,2017-04-21,
EG02,2006-01-01,2017-04-21,
EG03,2006-01-01,2017-04-21,
EG04,2006-01-01,2017-04-21,
EG11,2006-01-01,2017-04-21,
EG12,2006-01-01,2017-04-21,
EG13,2006-01-01,2017-04-21,
EG14,2006-01-01,2017-04-21,
EG15,2006-01-01,2017-04-21,
EG16,2006-01-01,2017-04-21,
EG17,2006-01-01,2017-04-21,
EG18,2006-01-01,2017-04-21,
EG19,2006-01-01,2017-04-21,
EG21,2006-01-01,2017-04-21,
EG22,2006-01-01,2017-04-21,
EG23,2006-01-01,2017-04-21,
EG24,2006-01-01,2017-04-21,
EG25,2006-01-01,2017-04-21,
EG26,2006-01-01,2017-04-21,
EG27,2006-01-01,2017-04-21,
EG28,2006-01-01,2017-04-21,
EG29,2006-01-01,2017-04-21,
EG31,2006-01-01,2017-04-21,
EG32,2006-01-01,2017-04-21,
EG33,2006-01-01,2017-04-21,
EG34,2006-01-01,2017-04-21,
EG35,2006-01-01,2017-04-21,
ER1,2017-08-18,2020-04-27,
ER2,2017-08-18,2020-04-27,
ER3,2017-08-18,2020-04-27,
ER4,2017-08-18,2020-04-27,
ER5,2017-08-18,2020-04-27,
ER6,2017-08-18,2020-04-27,
ET14,2019-08-19,2020-10-08,
ET02,2019-08-19,2020-10-08,
ET03,2019-08-19,2020-10-08,
ET06,2019-08-19,2020-10-08,
ET15,2019-08-19,2020-10-08,
ET12,2019-08-19,2020-10-08,
ET13,2019-08-19,2020-10-08,
ET04,2019-08-19,2020-10-08,
ET16,2019-08-19,2020-10-08,
ET07,2019-08-19,2020-10-08,
ET05,2019-08-19,2020-10-08,
ET01,2019-08-19,2020-10-08,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
FJ1,2018-01-15,2019-12-30,
FJ2,2018-01-15,2019-12-30,
FJ3,2018-01-15,2019-12-30,
FJ4,2018-01-15,2019-12-30,
FM1,2019-06-17,2019-06-17,
FM2,2019-06-17,2019-06-17,
FM3,2019-06-17,2019-06-17,
FM4,2019-06-17,2019-06-17,
GA001,2015-02-17,2018-08-15,
GA002,2015-02-17,2018-08-15,
GA003,2015-02-17,2018-08-15,
GA004,2015-02-17,2018-08-15,
GA005,2015-02-17,2018-08-15,
GA006,2015-02-17,2018-08-15,
GA007,2015-02-17,2018-08-15,
GA008,2015-02-17,2018-08-15,
GA009,2015-02-17,2018-08-15,
GE11,2019-08-28,2019-10-18,
GE12,2019-08-28,2019-10-18,
GE15,2019-08-28,2019-10-18,
GE23,2019-08-28,2019-10-18,
GE26,2019-08-28,2019-10-18,
GE29,2019-08-28,2019-10-18,
GE32,2019-08-28,2019-10-18,
GE35,2019-08-28,2019-10-18,
GE38,2019-08-28,2019-10-18,
GE41,2019-08-28,2019-10-18,
GE44,2019-08-28,2019-10-18,
GE47,2019-08-28,2019-10-18,
GE48,2019-08-28,2019-10-18,
GH01,2018-10-26,2021-02-10,
GH02,2018-10-26,2021-02-10,
GH03,2018-10-26,2021-02-10,
GH04,2018-10-26,2021-02-10,
GH05,2018-10-26,2021-02-10,
GH06,2018-10-26,2021-02-10,
GH07,2018-10-26,2021-02-10,
GH08,2018-10-26,2021-02-10,
GH09,2018-10-26,2021-02-10,
GH10,2018-10-26,2021-02-10,
GH11,2018-10-26,2021-02-10,
GH12,2018-10-26,2021-02-10,
