qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:192:2:402,402,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:402,Aguada de Pasajeros,CU0402,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:403,403,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:403,Ciefuegos,CU0403,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:404,404,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:404,Cruces,CU0404,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:405,405,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:405,Cumanayagua,CU0405,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:406,406,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:406,Lajas,CU0406,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:407,407,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:407,Palmira,CU0407,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:408,408,1603:45:16:192:0,1603:45:16:192:1:4,1603:45:16:192:2:408,Rodas,CU0408,Cienfuegos,CU04,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:501,501,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:501,Bartolomé Masó,CU0501,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:502,502,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:502,Bayamo,CU0502,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:503,503,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:503,Buey Arriba,CU0503,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:504,504,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:504,Campechuela,CU0504,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:505,505,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:505,Cauto Cristo,CU0505,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:506,506,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:506,Guisa,CU0506,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:507,507,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:507,Jiguaní,CU0507,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:508,508,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:508,Manzanillo,CU0508,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:509,509,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:509,Media Luna,CU0509,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:510,510,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:510,Niquero,CU0510,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:511,511,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:511,Pilón,CU0511,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:512,512,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:512,Río Cauto,CU0512,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:513,513,1603:45:16:192:0,1603:45:16:192:1:5,1603:45:16:192:2:513,Yara,CU0513,Granma,CU05,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:601,601,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:601,Baracoa,CU0601,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:602,602,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:602,Caimanera,CU0602,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:603,603,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:603,El Salvador,CU0603,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:604,604,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:604,Guantánamo,CU0604,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:605,605,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:605,Imías,CU0605,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:606,606,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:606,Maisí,CU0606,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:607,607,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:607,Manuel Tames,CU0607,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:608,608,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:608,Niceto Pérez,CU0608,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:609,609,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:609,San Antonio del Sur,CU0609,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:610,610,1603:45:16:192:0,1603:45:16:192:1:6,1603:45:16:192:2:610,Yateras,CU0610,Guantánamo,CU06,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:701,701,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:701,Antilla,CU0701,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:702,702,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:702,Báguanos,CU0702,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:703,703,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:703,Banes,CU0703,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:704,704,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:704,Cacocum,CU0704,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:705,705,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:705,Calixto García,CU0705,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:706,706,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:706,Cueto,CU0706,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:707,707,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:707,Frak País,CU0707,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:708,708,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:708,Gibara,CU0708,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:709,709,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:709,Holguín,CU0709,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:710,710,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:710,Mayarí,CU0710,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:711,711,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:711,Moa,CU0711,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:712,712,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:712,Rafael Freyre,CU0712,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:713,713,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:713,Sagua de Tánamo,CU0713,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:714,714,1603:45:16:192:0,1603:45:16:192:1:7,1603:45:16:192:2:714,Urbano Noris,CU0714,Holguín,CU07,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:801,801,1603:45:16:192:0,1603:45:16:192:1:8,1603:45:16:192:2:801,Isla de la Juventud,CU0801,Isla de la Juventud,CU08,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:901,901,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:901,Arroyo Naranjo,CU0901,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:902,902,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:902,Boyeros,CU0902,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:903,903,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:903,Centro Habana,CU0903,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:904,904,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:904,Cerro,CU0904,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:905,905,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:905,Cotorro,CU0905,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:906,906,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:906,Diez de Octubre,CU0906,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:907,907,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:907,Guanabacoa,CU0907,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:908,908,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:908,La Habana del Este,CU0908,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:909,909,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:909,La Habana Vieja,CU0909,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:910,910,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:910,La Lisa,CU0910,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:911,911,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:911,Marianao,CU0911,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:912,912,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:912,Playa,CU0912,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:913,913,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:913,Plaza de la Revolución,CU0913,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:914,914,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:914,Regla,CU0914,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:915,915,1603:45:16:192:0,1603:45:16:192:1:9,1603:45:16:192:2:915,San Miguel del Padrón,CU0915,La Habana,CU09,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1001,1001,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1001,Amancio,CU1001,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1002,1002,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1002,Colombia,CU1002,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1003,1003,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1003,Jesús Menéndez,CU1003,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1004,1004,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1004,Jobabo,CU1004,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1005,1005,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1005,Las Tunas,CU1005,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1006,1006,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1006,Majibacoa,CU1006,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1007,1007,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1007,Manatí,CU1007,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1008,1008,1603:45:16:192:0,1603:45:16:192:1:10,1603:45:16:192:2:1008,Puerto Padre,CU1008,Las Tunas,CU10,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1101,1101,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1101,Cárdenas,CU1101,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1102,1102,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1102,Calimete,CU1102,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1103,1103,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1103,Ciénaga de Zapata,CU1103,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1104,1104,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1104,Colón,CU1104,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1105,1105,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1105,Jagüey Grande,CU1105,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1106,1106,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1106,Jovellanos,CU1106,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1107,1107,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1107,Limonar,CU1107,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1108,1108,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1108,Los Arabos,CU1108,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1109,1109,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1109,Martí,CU1109,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1110,1110,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1110,Matanzas,CU1110,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1111,1111,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1111,Pedro Betancourt,CU1111,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1112,1112,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1112,Perico,CU1112,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1113,1113,1603:45:16:192:0,1603:45:16:192:1:11,1603:45:16:192:2:1113,Unión de Reyes,CU1113,Matanzas,CU11,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1201,1201,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1201,Batabanó,CU1201,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1202,1202,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1202,Bejucal,CU1202,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1203,1203,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1203,Güines,CU1203,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1204,1204,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1204,Jaruco,CU1204,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1205,1205,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1205,Madruga,CU1205,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1206,1206,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1206,Melena del Sur,CU1206,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1207,1207,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1207,Nueva Paz,CU1207,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1208,1208,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1208,Quivicán,CU1208,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1209,1209,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1209,San José de las Lajas,CU1209,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1210,1210,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1210,San Nicolás,CU1210,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1211,1211,1603:45:16:192:0,1603:45:16:192:1:12,1603:45:16:192:2:1211,Santa Cruz del Norte,CU1211,Mayabeque,CU12,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1301,1301,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1301,Consolación del Sur,CU1301,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1302,1302,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1302,Guane,CU1302,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1303,1303,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1303,La Palma,CU1303,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1304,1304,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1304,Los Palacios,CU1304,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1305,1305,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1305,Mantua,CU1305,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1306,1306,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1306,Minas de Matahambre,CU1306,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
1603:45:16:192:2:1307,1307,1603:45:16:192:0,1603:45:16:192:1:13,1603:45:16:192:2:1307,Pinar del Río,CU1307,Pinar del Río,CU13,Cuba,CU,2017-09-07,2020-11-18,
