#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:792:2:3018,3018,1603:45:16:792:0,1603:45:16:792:1:3,1603:45:16:792:2:3018,Suhut,Şuhut,TR003018,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4001,4001,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4001,Agri,Ağri,TR004001,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4002,4002,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4002,Diyadin,Diyadin,TR004002,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4003,4003,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4003,Dogubayazit,Doğubayazit,TR004003,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4004,4004,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4004,Eleskirt,Eleşkirt,TR004004,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4005,4005,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4005,Hamur,Hamur,TR004005,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4006,4006,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4006,Patnos,Patnos,TR004006,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4007,4007,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4007,Taslicay,Taşliçay,TR004007,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:4008,4008,1603:45:16:792:0,1603:45:16:792:1:4,1603:45:16:792:2:4008,Tutak,Tutak,TR004008,,,,,,Agri,Ağri,TR004,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5001,5001,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5001,Amasya,Amasya,TR005001,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5002,5002,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5002,Goynucek,Göynücek,TR005002,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5003,5003,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5003,Gumushacikoy,Gümüşhaciköy,TR005003,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5004,5004,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5004,Hamamozu,Hamamözü,TR005004,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5005,5005,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5005,Merzifon,Merzifon,TR005005,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5006,5006,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5006,Suluova,Suluova,TR005006,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:5007,5007,1603:45:16:792:0,1603:45:16:792:1:5,1603:45:16:792:2:5007,Tasova,Taşova,TR005007,,,,,,Amasya,Amasya,TR005,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6001,6001,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6001,Akyurt,Akyurt,TR006001,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6002,6002,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6002,Altindag,Altindağ,TR006002,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6003,6003,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6003,Ayas,Ayaş,TR006003,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6004,6004,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6004,Bala,Bala,TR006004,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6005,6005,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6005,Beypazari,Beypazari,TR006005,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6006,6006,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6006,Camlidere,Çamlidere,TR006006,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6007,6007,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6007,Cankaya,Çankaya,TR006007,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6008,6008,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6008,Cubuk,Çubuk,TR006008,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6009,6009,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6009,Elmadag,Elmadağ,TR006009,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6010,6010,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6010,Etimesgut,Etimesgut,TR006010,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6011,6011,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6011,Evren,Evren,TR006011,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6012,6012,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6012,Golbasi,Gölbaşi,TR006012,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6013,6013,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6013,Gudul,Güdül,TR006013,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6014,6014,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6014,Haymana,Haymana,TR006014,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6015,6015,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6015,Kahramankazan,Kahramankazan,TR006015,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6016,6016,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6016,Kalecik,Kalecik,TR006016,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6017,6017,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6017,Kecioren,Keçiören,TR006017,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6018,6018,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6018,Kizilcahamam,Kizilcahamam,TR006018,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6019,6019,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6019,Mamak,Mamak,TR006019,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6020,6020,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6020,Nallihan,Nallihan,TR006020,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6021,6021,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6021,Polatli,Polatli,TR006021,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6022,6022,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6022,Pursaklar,Pursaklar,TR006022,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6023,6023,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6023,Sincan,Sincan,TR006023,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6024,6024,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6024,Sereflikochisar,Şereflikoçhisar,TR006024,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:6025,6025,1603:45:16:792:0,1603:45:16:792:1:6,1603:45:16:792:2:6025,Yenimahalle,Yenimahalle,TR006025,,,,,,Ankara,Ankara,TR006,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7001,7001,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7001,Akseki,Akseki,TR007001,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7002,7002,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7002,Aksu,Aksu,TR007002,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7003,7003,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7003,Alanya,Alanya,TR007003,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7004,7004,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7004,Demre,Demre,TR007004,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7005,7005,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7005,Dosemealti,Döşemealti,TR007005,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7006,7006,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7006,Elmali,Elmali,TR007006,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7007,7007,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7007,Finike,Finike,TR007007,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7008,7008,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7008,Gazipasa,Gazipaşa,TR007008,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7009,7009,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7009,Gundogmus,Gündoğmuş,TR007009,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7010,7010,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7010,Ibradi,Ibradi,TR007010,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7011,7011,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7011,Kas,Kaş,TR007011,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7012,7012,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7012,Kemer,Kemer,TR007012,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7013,7013,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7013,Kepez,Kepez,TR007013,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7014,7014,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7014,Konyaalti,Konyaalti,TR007014,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7015,7015,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7015,Korkuteli,Korkuteli,TR007015,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7016,7016,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7016,Kumluca,Kumluca,TR007016,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7017,7017,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7017,Manavgat,Manavgat,TR007017,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:7018,7018,1603:45:16:792:0,1603:45:16:792:1:7,1603:45:16:792:2:7018,Muratpasa,Muratpaşa,TR007018,,,,,,Antalya,Antalya,TR007,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
