#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:729:2:3161,3161,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3161,Buram,برام,SD03161,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3162,3162,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3162,Beliel,بليل,SD03162,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3164,3164,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3164,Nyala Shimal,نيالا شمال,SD03164,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3166,3166,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3166,As Salam - SD,السلام - ج د,SD03166,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3167,3167,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3167,Nyala Janoub,نيالا جنوب,SD03167,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:3172,3172,1603:45:16:729:0,1603:45:16:729:1:3,1603:45:16:729:2:3172,Damso,دمسو,SD03172,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4111,4111,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4111,Beida,بيضا,SD04111,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4115,4115,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4115,Ag Geneina,الجنينة,SD04115,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4121,4121,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4121,Foro Baranga,فور برنقا,SD04121,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4122,4122,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4122,Habila - WD,هبيلة - غ د,SD04122,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4123,4123,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4123,Jebel Moon,جبل مون,SD04123,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4125,4125,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4125,Kereneik,كرينك,SD04125,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4127,4127,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4127,Kulbus,كلبس,SD04127,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:4134,4134,1603:45:16:729:0,1603:45:16:729:1:4,1603:45:16:729:2:4134,Sirba,سربا,SD04134,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5139,5139,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5139,Adila,عديلة,SD05139,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5140,5140,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5140,Abu Jabrah,أبو جابرة,SD05140,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5142,5142,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5142,Ad Du'ayn,الضعين,SD05142,Ad Duayn,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5148,5148,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5148,Shia'ria,شعيرية,SD05148,Shiaria,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5152,5152,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5152,Al Firdous,الفردوس,SD05152,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5155,5155,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5155,Abu Karinka,أبو كارنكا,SD05155,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5160,5160,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5160,Bahr Al Arab,بحر العرب,SD05160,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5163,5163,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5163,Assalaya,عسلاية,SD05163,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:5165,5165,1603:45:16:729:0,1603:45:16:729:1:5,1603:45:16:729:2:5165,Yassin,يس,SD05165,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6110,6110,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6110,Azum,أزوم,SD06110,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6112,6112,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6112,Bendasi,بندسي,SD06112,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6130,6130,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6130,Mukjar,مكجر,SD06130,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6131,6131,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6131,Gharb Jabal Marrah,غرب جبل مرة,SD06131,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6132,6132,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6132,Shamal Jabal Marrah,شمال  جبل مرة,SD06132,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6135,6135,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6135,Um Dukhun,أم دخن,SD06135,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6137,6137,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6137,Wadi Salih,وادي صالح,SD06137,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6138,6138,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6138,Zalingi,زالنجى,SD06138,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:6139,6139,1603:45:16:729:0,1603:45:16:729:1:6,1603:45:16:729:2:6139,Wasat Jabal Marrah,وسط جبل مرة,SD06139,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7088,7088,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7088,Abu Jubayhah,أبو جبيهة,SD07088,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7089,7089,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7089,Talawdi,تلودي,SD07089,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7090,7090,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7090,Abassiya,العباسية,SD07090,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7091,7091,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7091,Um Durein,أم دورين,SD07091,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7093,7093,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7093,Ar Rashad,الرشاد,SD07093,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7094,7094,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7094,Al Quoz,القوز,SD07094,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7095,7095,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7095,Dilling,الدلنج,SD07095,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7096,7096,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7096,Heiban,هيبان,SD07096,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7097,7097,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7097,Ar Reif Ash Shargi,الريف الشرقي,SD07097,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7098,7098,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7098,Kadugli,كادقلي,SD07098,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7099,7099,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7099,Al Buram,البرام,SD07099,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7103,7103,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7103,Habila - SK,هبيلة - ج ك,SD07103,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7104,7104,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7104,Abu Kershola,أبو كرشولا,SD07104,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7105,7105,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7105,Al Leri,الليري,SD07105,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7106,7106,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7106,At Tadamon - SK,التضامن - ج ك,SD07106,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7107,7107,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7107,Delami,دلامي,SD07107,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:7108,7108,1603:45:16:729:0,1603:45:16:729:1:7,1603:45:16:729:2:7108,Ghadeer,غدير,SD07108,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8104,8104,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8104,Baw,باو,SD08104,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8105,8105,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8105,Ed Damazine,الدمازين,SD08105,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8106,8106,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8106,Al Kurmuk,الكرمك,SD08106,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8107,8107,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8107,Ar Rusayris,الروصيرص,SD08107,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8108,8108,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8108,At Tadamon - BN,التضامن - ن ق,SD08108,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8109,8109,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8109,Geisan,قيسان,SD08109,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:8110,8110,1603:45:16:729:0,1603:45:16:729:1:8,1603:45:16:729:2:8110,Wad Al Mahi,ود الماحي,SD08110,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9044,9044,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9044,Ad Diwaim,الدويم,SD09044,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9045,9045,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9045,Um Rimta,أم رمتة,SD09045,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9046,9046,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9046,Rabak,ربك,SD09046,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9047,9047,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9047,Kosti,كوستي,SD09047,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9048,9048,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9048,Tendalti,تندلتي,SD09048,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9049,9049,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9049,As Salam / Ar Rawat,السلام / الراوات,SD09049,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9050,9050,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9050,Al Gitaina,القطينة,SD09050,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
1603:45:16:729:2:9051,9051,1603:45:16:729:0,1603:45:16:729:1:9,1603:45:16:729:2:9051,Aj Jabalain,الجبلين,SD09051,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
