#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:562:2:2005,2005,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2005,N'Gourti,NE002005,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2006,2006,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2006,N'Guigmi,NE002006,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3001,3001,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3001,Boboye,NE003001,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3002,3002,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3002,Dioundiou,NE003002,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3003,3003,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3003,Dogondoutchi,NE003003,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3004,3004,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3004,Dosso,NE003004,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3005,3005,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3005,Falmey,NE003005,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3006,3006,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3006,Gaya,NE003006,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3007,3007,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3007,Loga,NE003007,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3008,3008,1603:45:16:562:0,1603:45:16:562:1:3,1603:45:16:562:2:3008,Tibiri (Doutchi),NE003008,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4001,4001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4001,Aguie,NE004001,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4002,4002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4002,Bermo,NE004002,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4003,4003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4003,Dakoro,NE004003,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4004,4004,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4004,Gazaoua,NE004004,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4005,4005,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4005,Guidan-Roumdji,NE004005,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4006,4006,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,Madarounfa,NE004006,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4007,4007,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4007,Ville De Maradi,NE004007,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4008,4008,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,Mayahi,NE004008,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:4009,4009,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,Tessaoua,NE004009,,,,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5001,5001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5001,Abalak,NE005001,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5002,5002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5002,Bagaroua,NE005002,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5003,5003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5003,Birni N'Konni,NE005003,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5004,5004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,Bouza,NE005004,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5005,5005,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5005,Illela,NE005005,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5006,5006,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5006,Keita,NE005006,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5007,5007,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,Madaoua,NE005007,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5008,5008,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5008,Malbaza,NE005008,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5009,5009,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,Tahoua,NE005009,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5010,5010,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5010,Tassara,NE005010,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5011,5011,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5011,Tchintabaraden,NE005011,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5012,5012,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5012,Tillia,NE005012,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:5013,5013,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5013,Ville De Tahoua,NE005013,,,,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6001,6001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6001,Abala,NE006001,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6002,6002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6002,Ayerou,NE006002,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6003,6003,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6003,Balleyara,NE006003,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6004,6004,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6004,Banibangou,NE006004,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6005,6005,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6005,Bankilare,NE006005,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6006,6006,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6006,Filingue,NE006006,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6007,6007,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6007,Gotheye,NE006007,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6008,6008,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,Kollo,NE006008,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6009,6009,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6009,Ouallam,NE006009,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6010,6010,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6010,Say,NE006010,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6011,6011,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6011,Tera,NE006011,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6012,6012,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6012,Tillaberi,NE006012,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:6013,6013,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6013,Torodi,NE006013,,,,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7001,7001,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7001,Belbedji,NE007001,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7002,7002,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7002,Damagaram Takaya,NE007002,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7003,7003,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7003,Dungass,NE007003,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7004,7004,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7004,Goure,NE007004,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7005,7005,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7005,Kantche,NE007005,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7006,7006,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7006,Magaria,NE007006,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7007,7007,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7007,Mirriah,NE007007,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7008,7008,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7008,Takeita,NE007008,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7009,7009,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7009,Tanout,NE007009,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7010,7010,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7010,Tesker,NE007010,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:7011,7011,1603:45:16:562:0,1603:45:16:562:1:7,1603:45:16:562:2:7011,Ville De Zinder,NE007011,,,,Zinder,NE007,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:8001,8001,1603:45:16:562:0,1603:45:16:562:1:8,1603:45:16:562:2:8001,Ville De Niamey,NE008001,,,,Niamey,NE008,Niger,NE,2006-01-01,2021-09-29,
