#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:72:3:80223,80223,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80223,Ditlharapa,BW080223,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80224,80224,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80224,Madingwana,BW080224,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80225,80225,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80225,Kgoro,BW080225,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80226,80226,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80226,Sheep Farm,BW080226,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80227,80227,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80227,Motsentshe,BW080227,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80228,80228,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80228,Mogwalale,BW080228,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80229,80229,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80229,Gathwane,BW080229,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80230,80230,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80230,Digawana,BW080230,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80231,80231,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80231,Magoriapitse,BW080231,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80232,80232,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80232,Lejwana,BW080232,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80233,80233,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80233,Mogojogojo,BW080233,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80234,80234,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80234,Mmathethe,BW080234,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80235,80235,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80235,Mokgomane,BW080235,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80236,80236,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80236,Pitshane Molopo,BW080236,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80237,80237,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80237,Sedibeng,BW080237,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80238,80238,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80238,Musi,BW080238,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80239,80239,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80239,Tswaaneng,BW080239,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80240,80240,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80240,Gamajalela,BW080240,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80241,80241,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80241,Dikhukhung,BW080241,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80242,80242,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80242,Leporung,BW080242,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80243,80243,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80243,Mmakgori,BW080243,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80244,80244,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80244,Mabule,BW080244,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80245,80245,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80245,Tshidilamolomo,BW080245,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80246,80246,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80246,Metlobo,BW080246,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80247,80247,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80247,Lorwana,BW080247,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80248,80248,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80248,Kangwe,BW080248,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80249,80249,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,1603:45:16:72:3:80249,Sekhutlane,BW080249,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80301,80301,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80301,Mabutsane,BW080301,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80302,80302,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80302,Morwamosu,BW080302,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:80303,80303,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,1603:45:16:72:3:80303,Sekoma,BW080303,,,,Ngwaketse West,BW0803,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
