#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:72:3:90103,90103,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90103,Ramotswa,BW090103,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90104,90104,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90104,Mogobane,BW090104,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90105,90105,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90105,Tlokweng,BW090105,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90106,90106,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90106,Lobatse Estates,BW090106,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90107,90107,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90107,Doorn Laagte,BW090107,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:90108,90108,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,1603:45:16:72:3:90108,Hildavale,BW090108,,,,South East,BW0901,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100101,100101,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100101,Molepolole,BW100101,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100102,100102,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100102,Lentsweletau,BW100102,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100103,100103,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100103,Mahetlwe,BW100103,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100104,100104,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100104,Gakgatla,BW100104,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100105,100105,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100105,Gamodubu,BW100105,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100106,100106,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100106,Gabane,BW100106,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100107,100107,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100107,Hatsalatladi,BW100107,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100108,100108,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100108,Ramaphatle,BW100108,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100109,100109,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100109,Kopong,BW100109,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100110,100110,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100110,Tloaneng,BW100110,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100111,100111,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100111,Kumakwane,BW100111,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100112,100112,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100112,Lephephe,BW100112,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100113,100113,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100113,Boatlaname,BW100113,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100114,100114,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100114,Metsimotlhabe,BW100114,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100115,100115,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100115,Mmankgodi,BW100115,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100116,100116,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100116,Mmopane,BW100116,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100117,100117,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100117,Mogoditshane,BW100117,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100118,100118,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100118,Bdf Mogoditshane,BW100118,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100119,100119,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100119,Shadishadi,BW100119,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100120,100120,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100120,Sojwe,BW100120,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100121,100121,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100121,Thamaga,BW100121,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100122,100122,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100122,Mmanoko,BW100122,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100123,100123,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100123,Kubung,BW100123,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100124,100124,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100124,Losilakgokong,BW100124,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100125,100125,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100125,Kgope,BW100125,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100126,100126,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100126,Mogonono,BW100126,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100127,100127,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100127,Kweneng,BW100127,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100128,100128,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100128,Ditshukudu,BW100128,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100129,100129,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100129,Mokolodi,BW100129,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100130,100130,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100130,Mmatseta,BW100130,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100131,100131,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100131,Leologane,BW100131,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100132,100132,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100132,Gakutlo,BW100132,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100133,100133,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100133,Dikgatlhong,BW100133,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100134,100134,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,1603:45:16:72:3:100134,Medie,BW100134,,,,Kweneng East,BW1001,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100201,100201,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100201,Letlhakeng,BW100201,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100202,100202,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100202,Thebephatshwa,BW100202,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100203,100203,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100203,Botlhapatlou,BW100203,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100204,100204,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100204,Ditshegwane,BW100204,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100205,100205,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100205,Dutlwe,BW100205,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100206,100206,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100206,Moshaweng,BW100206,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100207,100207,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100207,Khudumelapye,BW100207,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100208,100208,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100208,Serinane,BW100208,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100209,100209,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100209,Mantshwabisi,BW100209,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100210,100210,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100210,Motokwe,BW100210,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100211,100211,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100211,Ngware,BW100211,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100212,100212,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100212,Salajwe,BW100212,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100213,100213,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100213,Takatokwane,BW100213,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100214,100214,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100214,Tsetseng,BW100214,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100215,100215,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100215,Tswaane,BW100215,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100216,100216,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100216,Monwane,BW100216,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100217,100217,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100217,Malwelwe,BW100217,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100218,100218,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100218,Maboane,BW100218,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100219,100219,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100219,Sesung,BW100219,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100220,100220,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100220,Sorilatholo,BW100220,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100221,100221,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100221,Kotolaname,BW100221,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100222,100222,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100222,Metsibotlhoko,BW100222,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100223,100223,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100223,Kaudwane,BW100223,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100224,100224,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100224,Diphuduhudu,BW100224,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:100225,100225,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,1603:45:16:72:3:100225,Maratshwane,BW100225,,,,Kweneng West,BW1002,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110101,110101,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110101,Mochudi,BW110101,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110102,110102,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110102,Pilane Station,BW110102,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110103,110103,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110103,Rasesa,BW110103,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110104,110104,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110104,Bokaa,BW110104,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110105,110105,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110105,Morwa,BW110105,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110106,110106,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110106,Matebeleng,BW110106,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110107,110107,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110107,Oodi,BW110107,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110108,110108,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110108,Modipane,BW110108,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110109,110109,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110109,Mabalane,BW110109,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110110,110110,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110110,Sikwane,BW110110,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110111,110111,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110111,Mmathubudukwane,BW110111,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110112,110112,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110112,Ramonaka,BW110112,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110113,110113,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110113,Malolwane,BW110113,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110114,110114,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110114,Oliphants Drift,BW110114,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110115,110115,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110115,Artisia,BW110115,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110116,110116,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110116,Malotwana Siding,BW110116,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110117,110117,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110117,Leshibitse,BW110117,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110118,110118,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110118,Ramotlabaki,BW110118,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110119,110119,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110119,Kgomodiatshaba,BW110119,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110120,110120,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110120,Dikgonnye,BW110120,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110121,110121,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110121,Khurutshe,BW110121,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:110122,110122,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,1603:45:16:72:3:110122,Dikwididi,BW110122,,,,Kgatleng,BW1101,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120101,120101,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120101,Serowe,BW120101,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120102,120102,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120102,Palapye,BW120102,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120103,120103,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120103,Lecheng,BW120103,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120104,120104,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120104,Moremi,BW120104,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120105,120105,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120105,Malaka,BW120105,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120106,120106,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120106,Mogapi,BW120106,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120107,120107,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120107,Mogapinyana,BW120107,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120108,120108,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120108,Kgagodi,BW120108,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120109,120109,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120109,Maunatlala,BW120109,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120110,120110,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120110,Tamasane,BW120110,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120111,120111,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120111,Diloro,BW120111,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120112,120112,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120112,Lesenepole/Matolwane,BW120112,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120113,120113,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120113,Mosweu,BW120113,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120114,120114,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120114,Mokokwana,BW120114,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120115,120115,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120115,Seolwane,BW120115,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
