#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_ron+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_ron+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ron+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ron+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_ron+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:642:2:2369,2369,1603:45:16:642:0,1603:45:16:642:1:2,1603:45:16:642:2:2369,Tulcea,RO002369,,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:2396,2396,1603:45:16:642:0,1603:45:16:642:1:2,1603:45:16:642:2:2396,Vrancea,RO002396,,,,Sud-Est,RO002,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3038,3038,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3038,Argeș,RO003038,Arges,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3154,3154,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3154,Dâmbovița,RO003154,Dambovita,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3216,3216,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3216,Ialomița,RO003216,Ialomita,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3298,3298,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3298,Prahova,RO003298,,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3341,3341,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3341,Teleorman,RO003341,,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3519,3519,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3519,Călărași,RO003519,Calarasi,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:3528,3528,1603:45:16:642:0,1603:45:16:642:1:3,1603:45:16:642:2:3528,Giurgiu,RO003528,,,,Sud,RO003,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:4163,4163,1603:45:16:642:0,1603:45:16:642:1:4,1603:45:16:642:2:4163,Dolj,RO004163,,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:4181,4181,1603:45:16:642:0,1603:45:16:642:1:4,1603:45:16:642:2:4181,Gorj,RO004181,,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:4252,4252,1603:45:16:642:0,1603:45:16:642:1:4,1603:45:16:642:2:4252,Mehedinți,RO004252,Mehedinti,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:4289,4289,1603:45:16:642:0,1603:45:16:642:1:4,1603:45:16:642:2:4289,Olt,RO004289,,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:4387,4387,1603:45:16:642:0,1603:45:16:642:1:4,1603:45:16:642:2:4387,Vâlcea,RO004387,Valcea,,,Sud-Vest,RO004,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:5029,5029,1603:45:16:642:0,1603:45:16:642:1:5,1603:45:16:642:2:5029,Arad,RO005029,,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:5118,5118,1603:45:16:642:0,1603:45:16:642:1:5,1603:45:16:642:2:5118,Caraș-Severin,RO005118,Caras-Severin,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:5207,5207,1603:45:16:642:0,1603:45:16:642:1:5,1603:45:16:642:2:5207,Hunedoara,RO005207,,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:5350,5350,1603:45:16:642:0,1603:45:16:642:1:5,1603:45:16:642:2:5350,Timiș,RO005350,Timis,,,Vest,RO005,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:6056,6056,1603:45:16:642:0,1603:45:16:642:1:6,1603:45:16:642:2:6056,Bihor,RO006056,,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:6065,6065,1603:45:16:642:0,1603:45:16:642:1:6,1603:45:16:642:2:6065,Bistrița-Năsăud,RO006065,Bistrita-Nasaud,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:6127,6127,1603:45:16:642:0,1603:45:16:642:1:6,1603:45:16:642:2:6127,Cluj,RO006127,,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:6243,6243,1603:45:16:642:0,1603:45:16:642:1:6,1603:45:16:642:2:6243,Maramureș,RO006243,Maramures,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:6305,6305,1603:45:16:642:0,1603:45:16:642:1:6,1603:45:16:642:2:6305,Satu Mare,RO006305,,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:6314,6314,1603:45:16:642:0,1603:45:16:642:1:6,1603:45:16:642:2:6314,Sălaj,RO006314,Salaj,,,Nord-Vest,RO006,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:7010,7010,1603:45:16:642:0,1603:45:16:642:1:7,1603:45:16:642:2:7010,Alba,RO007010,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:7083,7083,1603:45:16:642:0,1603:45:16:642:1:7,1603:45:16:642:2:7083,Brașov,RO007083,Brasov,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:7145,7145,1603:45:16:642:0,1603:45:16:642:1:7,1603:45:16:642:2:7145,Covasna,RO007145,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:7190,7190,1603:45:16:642:0,1603:45:16:642:1:7,1603:45:16:642:2:7190,Harghita,RO007190,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:7261,7261,1603:45:16:642:0,1603:45:16:642:1:7,1603:45:16:642:2:7261,Mureș,RO007261,Mures,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:7323,7323,1603:45:16:642:0,1603:45:16:642:1:7,1603:45:16:642:2:7323,Sibiu,RO007323,,,,Centru,RO007,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:8234,8234,1603:45:16:642:0,1603:45:16:642:1:8,1603:45:16:642:2:8234,Ilfov,RO008234,,,,București-Ilfov,RO008,România,RO,2022-03-09,2022-05-03,
1603:45:16:642:2:8403,8403,1603:45:16:642:0,1603:45:16:642:1:8,1603:45:16:642:2:8403,București,RO008403,Bucuresti,,,București-Ilfov,RO008,România,RO,2022-03-09,2022-05-03,
