#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:496:2:2328,2328,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2328,Dadal,Дадал,MN2328,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2331,2331,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2331,Darxan,Дархан,MN2331,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2334,2334,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2334,Delgerxaan,Дэлгэрхаан,MN2334,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2337,2337,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2337,Jargaltxaan,Жаргалтхаан,MN2337,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2340,2340,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2340,Mo'ron,Мөрөн,MN2340,Moron,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2343,2343,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2343,Norovlin,Норовлин,MN2343,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2346,2346,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2346,O'mnodelger,Өмнөдэлгэр,MN2346,Omnodelger,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2349,2349,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2349,Cenxermandal,Цэнхэрмандал,MN2349,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:2352,2352,1603:45:16:496:0,1603:45:16:496:1:23,1603:45:16:496:2:2352,Bor-Ondor,Бор-Өндөр,MN2352,,,,,,Hentii,Хэнтий,MN23,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4101,4101,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4101,Zuunmod,Зуунмод,MN4101,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4104,4104,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4104,Altanbulag,Алтанбулаг,MN4104,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4107,4107,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4107,Argalant,Аргалант,MN4107,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4110,4110,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4110,Arxust,Архуст,MN4110,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4113,4113,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4113,Batsu'mber,Батсүмбэр,MN4113,Batsumber,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4116,4116,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4116,Bayan,Баян,MN4116,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4119,4119,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4119,Bayandelger,Баяндэлгэр,MN4119,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4122,4122,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4122,Bayanjargalan,Баянжаргалан,MN4122,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4125,4125,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4125,Bayan-O'njuul,Баян-Өнжүүл,MN4125,Bayan-Onjuul,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4128,4128,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4128,Bayanxangai,Баянхангай,MN4128,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4131,4131,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4131,Bayancagaan,Баянцагаан,MN4131,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4134,4134,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4134,Bayancogt,Баянцогт,MN4134,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4137,4137,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4137,Bayanchandmani,Баянчандмань,MN4137,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4140,4140,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4140,Bornuur,Борнуур,MN4140,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4143,4143,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4143,Bu'ren,Бүрэн,MN4143,Buren,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4146,4146,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4146,Delgerxaan,Дэлгэрхаан,MN4146,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4149,4149,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4149,Jargalant,Жаргалант,MN4149,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4152,4152,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4152,Zaamar,Заамар,MN4152,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4155,4155,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4155,Lu'n,Лүн,MN4155,Lun,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4158,4158,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4158,Mo'ngonmorit,Мөнгөнморьт,MN4158,Mongonmorit,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4161,4161,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4161,O'ndorshireet,Өндөрширээт,MN4161,Ondorshireet,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4164,4164,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4164,Su'mber,Сүмбэр,MN4164,Sumber,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4167,4167,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4167,Sergelen,Сэргэлэн,MN4167,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4170,4170,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4170,Ugtaalcaidam,Угтаалцайдам,MN4170,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4173,4173,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4173,Ceel,Цээл,MN4173,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4176,4176,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4176,Erdene,Эрдэнэ,MN4176,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4179,4179,1603:45:16:496:0,1603:45:16:496:1:41,1603:45:16:496:2:4179,Erdenesant,Эрдэнэсант,MN4179,,,,,,To'v,Төв,MN41,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4201,4201,1603:45:16:496:0,1603:45:16:496:1:42,1603:45:16:496:2:4201,Su'mber,Сүмбэр,MN4201,Sumber,,,,,Govisumber,Говьсүмбэр,MN42,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4204,4204,1603:45:16:496:0,1603:45:16:496:1:42,1603:45:16:496:2:4204,Bayantal,Баянтал,MN4204,,,,,,Govisumber,Говьсүмбэр,MN42,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4207,4207,1603:45:16:496:0,1603:45:16:496:1:42,1603:45:16:496:2:4207,Shiveegovi,Шивээговь,MN4207,,,,,,Govisumber,Говьсүмбэр,MN42,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4301,4301,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4301,Su'xbaatar,Сүхбаатар,MN4301,Suxbaatar,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4304,4304,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4304,Altanbulag,Алтанбулаг,MN4304,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4307,4307,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4307,Baruunbu'ren,Баруунбүрэн,MN4307,Baruunburen,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4310,4310,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4310,Bayangol,Баянгол,MN4310,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4313,4313,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4313,Yero'o,Ерөө,MN4313,Yeroo,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4316,4316,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4316,Javxlant,Жавхлант,MN4316,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4319,4319,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4319,Zu'unburen,Зүүнбүрэн,MN4319,Zuunburen,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4322,4322,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4322,Mandal,Мандал,MN4322,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4325,4325,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4325,Orxon,Орхон,MN4325,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4328,4328,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4328,Orxontuul,Орхонтуул,MN4328,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4331,4331,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4331,Saixan,Сайхан,MN4331,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
