#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:404:1:18,18,1603:45:16:404:0,1603:45:16:404:1:18,Nyandarua,KE018,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:19,19,1603:45:16:404:0,1603:45:16:404:1:19,Nyeri,KE019,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:20,20,1603:45:16:404:0,1603:45:16:404:1:20,Kirinyaga,KE020,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:21,21,1603:45:16:404:0,1603:45:16:404:1:21,Murang'a,KE021,Muranga,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:22,22,1603:45:16:404:0,1603:45:16:404:1:22,Kiambu,KE022,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:23,23,1603:45:16:404:0,1603:45:16:404:1:23,Turkana,KE023,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:24,24,1603:45:16:404:0,1603:45:16:404:1:24,West Pokot,KE024,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:25,25,1603:45:16:404:0,1603:45:16:404:1:25,Samburu,KE025,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:26,26,1603:45:16:404:0,1603:45:16:404:1:26,Trans Nzoia,KE026,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:27,27,1603:45:16:404:0,1603:45:16:404:1:27,Uasin Gishu,KE027,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:28,28,1603:45:16:404:0,1603:45:16:404:1:28,Elgeyo-Marakwet,KE028,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:29,29,1603:45:16:404:0,1603:45:16:404:1:29,Nandi,KE029,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:30,30,1603:45:16:404:0,1603:45:16:404:1:30,Baringo,KE030,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:31,31,1603:45:16:404:0,1603:45:16:404:1:31,Laikipia,KE031,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:32,32,1603:45:16:404:0,1603:45:16:404:1:32,Nakuru,KE032,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:33,33,1603:45:16:404:0,1603:45:16:404:1:33,Narok,KE033,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:34,34,1603:45:16:404:0,1603:45:16:404:1:34,Kajiado,KE034,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:35,35,1603:45:16:404:0,1603:45:16:404:1:35,Kericho,KE035,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:36,36,1603:45:16:404:0,1603:45:16:404:1:36,Bomet,KE036,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:37,37,1603:45:16:404:0,1603:45:16:404:1:37,Kakamega,KE037,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:38,38,1603:45:16:404:0,1603:45:16:404:1:38,Vihiga,KE038,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:39,39,1603:45:16:404:0,1603:45:16:404:1:39,Bungoma,KE039,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:40,40,1603:45:16:404:0,1603:45:16:404:1:40,Busia,KE040,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:41,41,1603:45:16:404:0,1603:45:16:404:1:41,Siaya,KE041,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:42,42,1603:45:16:404:0,1603:45:16:404:1:42,Kisumu,KE042,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:43,43,1603:45:16:404:0,1603:45:16:404:1:43,Homa Bay,KE043,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:44,44,1603:45:16:404:0,1603:45:16:404:1:44,Migori,KE044,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:45,45,1603:45:16:404:0,1603:45:16:404:1:45,Kisii,KE045,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:46,46,1603:45:16:404:0,1603:45:16:404:1:46,Nyamira,KE046,,,,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:1:47,47,1603:45:16:404:0,1603:45:16:404:1:47,Nairobi,KE047,,,,Kenya,KE,2018-07-03,2021-09-28,
