#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:204:2:1104,1104,1603:45:16:204:0,1603:45:16:204:1:11,1603:45:16:204:2:1104,Pobe,BJ1104,,,,Plateau,BJ11,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1105,1105,1603:45:16:204:0,1603:45:16:204:1:11,1603:45:16:204:2:1105,Sakete,BJ1105,,,,Plateau,BJ11,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1201,1201,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1201,Abomey,BJ1201,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1202,1202,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1202,Agbangnizoun,BJ1202,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1203,1203,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1203,Bohicon,BJ1203,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1204,1204,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1204,Cove,BJ1204,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1205,1205,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1205,Djidja,BJ1205,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1206,1206,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1206,Ouinhi,BJ1206,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1207,1207,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1207,Za-kpota,BJ1207,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1208,1208,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1208,Zangnanado,BJ1208,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
1603:45:16:204:2:1209,1209,1603:45:16:204:0,1603:45:16:204:1:12,1603:45:16:204:2:1209,Zogbodomey,BJ1209,,,,Zou,BJ12,Benin,BJ,2015-08-07,2021-12-31,
