#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:854:2:1300,1300,Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5003,5003,Sissili,BF5003,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5004,5004,Ziro,BF5004,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5101,5101,Bazèga,BF5101,Bazega,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5102,5102,Nahouri,BF5102,,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5103,5103,Zoundwéogo,BF5103,Zoundweogo,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5201,5201,Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5202,5202,Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5203,5203,Komandjari,BF5203,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5204,5204,Kompienga,BF5204,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5205,5205,Tapoa,BF5205,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5301,5301,Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5302,5302,Kénédougou,BF5302,Kenedougou,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5303,5303,Tuy,BF5303,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5401,5401,Loroum,BF5401,,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5402,5402,Passoré,BF5402,Passore,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5403,5403,Yatenga,BF5403,,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5404,5404,Zondoma,BF5404,,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5501,5501,Ganzourgou,BF5501,,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5502,5502,Kourwéogo,BF5502,Kourweogo,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5503,5503,Oubritenga,BF5503,,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5601,5601,Oudalan,BF5601,,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5602,5602,Séno,BF5602,Seno,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5603,5603,Soum,BF5603,,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5604,5604,Yagha,BF5604,,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5701,5701,Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5702,5702,Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5703,5703,Noumbiel,BF5703,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:2:5704,5704,Poni,BF5704,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
