#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:854:3:460109,460109,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460109,Siby,BF460109,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460110,460110,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4601,1603:45:16:854:3:460110,Yaho,BF460110,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460201,460201,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4602,1603:45:16:854:3:460201,Balavé,BF460201,Balave,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460202,460202,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4602,1603:45:16:854:3:460202,Kouka,BF460202,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460203,460203,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4602,1603:45:16:854:3:460203,Sami,BF460203,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460204,460204,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4602,1603:45:16:854:3:460204,Sanaba,BF460204,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460205,460205,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4602,1603:45:16:854:3:460205,Solenzo,BF460205,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460206,460206,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4602,1603:45:16:854:3:460206,Tansila,BF460206,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460301,460301,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460301,Barani,BF460301,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460302,460302,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460302,Bomborokui,BF460302,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460303,460303,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460303,Bourasso,BF460303,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460304,460304,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460304,Djibasso,BF460304,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460305,460305,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460305,Dokui,BF460305,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460306,460306,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460306,Doumbala,BF460306,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460307,460307,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460307,Kombori,BF460307,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460308,460308,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460308,Madouba,BF460308,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460309,460309,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460309,Nouna,BF460309,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460311,460311,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4603,1603:45:16:854:3:460311,Sônô,BF460311,Sono,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460401,460401,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460401,Bondokui,BF460401,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460402,460402,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460402,Dédougou,BF460402,Dedougou,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460403,460403,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460403,Douroula,BF460403,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460404,460404,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460404,Kona,BF460404,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460405,460405,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460405,Ouarkoye,BF460405,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460406,460406,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460406,Safané,BF460406,Safane,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460407,460407,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4604,1603:45:16:854:3:460407,Tchériba,BF460407,Tcheriba,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460501,460501,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4605,1603:45:16:854:3:460501,Gassan,BF460501,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460502,460502,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4605,1603:45:16:854:3:460502,Gossina,BF460502,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460503,460503,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4605,1603:45:16:854:3:460503,Kougny,BF460503,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460504,460504,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4605,1603:45:16:854:3:460504,Toma,BF460504,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460505,460505,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4605,1603:45:16:854:3:460505,Yaba,BF460505,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460506,460506,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4605,1603:45:16:854:3:460506,Yé,BF460506,Ye,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460601,460601,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460601,Di,BF460601,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460602,460602,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460602,Gomboro,BF460602,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460603,460603,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460603,Kassoum,BF460603,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460604,460604,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460604,Kiembara,BF460604,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460605,460605,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460605,Lanfièra,BF460605,Lanfiera,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460606,460606,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460606,Lankoué,BF460606,Lankoue,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460607,460607,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460607,Toéni,BF460607,Toeni,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:460608,460608,1603:45:16:854:0,1603:45:16:854:1:46,1603:45:16:854:2:4606,1603:45:16:854:3:460608,Tougan,BF460608,,,,Sourou,BF4606,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470101,470101,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470101,Banfora,BF470101,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470102,470102,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470102,Bérégadougou,BF470102,Beregadougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470103,470103,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470103,Mangodara,BF470103,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470104,470104,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470104,Moussodougou,BF470104,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470105,470105,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470105,Niangoloko,BF470105,,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470106,470106,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470106,Ouô,BF470106,Ouo,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470107,470107,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470107,Sidéradougou,BF470107,Sideradougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470108,470108,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470108,Soubakaniédougou,BF470108,Soubakaniedougou,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470109,470109,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4701,1603:45:16:854:3:470109,Tiéfora,BF470109,Tiefora,,,Comoé,BF4701,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470201,470201,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470201,Dakôrô,BF470201,Dakoro,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470202,470202,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470202,Douna,BF470202,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470203,470203,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470203,Kankalaba,BF470203,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470204,470204,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470204,Loumana,BF470204,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470205,470205,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470205,Niankôrôdougou,BF470205,Niankorodougou,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470206,470206,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470206,Ouéléni,BF470206,Oueleni,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470207,470207,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470207,Sindou,BF470207,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:470208,470208,1603:45:16:854:0,1603:45:16:854:1:47,1603:45:16:854:2:4702,1603:45:16:854:3:470208,Wolonkoto,BF470208,,,,Léraba,BF4702,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480101,480101,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480101,Bagré,BF480101,Bagre,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480102,480102,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480102,Bané,BF480102,Bane,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480103,480103,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480103,Béguédo,BF480103,Beguedo,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480104,480104,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480104,Bissiga,BF480104,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480105,480105,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480105,Bitou,BF480105,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480106,480106,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480106,Boussouma,BF480106,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480107,480107,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480107,Garango,BF480107,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480108,480108,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480108,Komtoèga,BF480108,Komtoega,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480109,480109,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480109,Niaogho,BF480109,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480110,480110,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480110,Tenkodogo,BF480110,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480111,480111,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480111,Zabré,BF480111,Zabre,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480112,480112,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480112,Zoaga,BF480112,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480113,480113,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4801,1603:45:16:854:3:480113,Zonsé,BF480113,Zonse,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480201,480201,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480201,Komin-Yanga,BF480201,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480202,480202,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480202,Dourtenga,BF480202,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480203,480203,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480203,Lalgaye,BF480203,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480204,480204,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480204,Ouargaye,BF480204,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480205,480205,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480205,Sangha,BF480205,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480206,480206,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480206,Soudougui,BF480206,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480207,480207,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480207,Yargatenga,BF480207,,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:3:480208,480208,1603:45:16:854:0,1603:45:16:854:1:48,1603:45:16:854:2:4802,1603:45:16:854:3:480208,Yondé,BF480208,Yonde,,,Koulpélogo,BF4802,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
