#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:170:1:44,44,1603:45:16:170:0,1603:45:16:170:1:44,La Guajira,CO44,La Guajira,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:47,47,1603:45:16:170:0,1603:45:16:170:1:47,Magdalena,CO47,Magdalena,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:50,50,1603:45:16:170:0,1603:45:16:170:1:50,Meta,CO50,Meta,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:52,52,1603:45:16:170:0,1603:45:16:170:1:52,Nariño,CO52,Narino,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:54,54,1603:45:16:170:0,1603:45:16:170:1:54,Norte de Santander,CO54,Norte de Santander,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:63,63,1603:45:16:170:0,1603:45:16:170:1:63,Quindio,CO63,Quindio,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:66,66,1603:45:16:170:0,1603:45:16:170:1:66,Risaralda,CO66,Risaralda,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:68,68,1603:45:16:170:0,1603:45:16:170:1:68,Santander,CO68,Santander,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:70,70,1603:45:16:170:0,1603:45:16:170:1:70,Sucre,CO70,Sucre,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:73,73,1603:45:16:170:0,1603:45:16:170:1:73,Tolima,CO73,Tolima,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:76,76,1603:45:16:170:0,1603:45:16:170:1:76,Valle del Cauca,CO76,Valle del Cauca,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:81,81,1603:45:16:170:0,1603:45:16:170:1:81,Arauca,CO81,Arauca,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:85,85,1603:45:16:170:0,1603:45:16:170:1:85,Casanare,CO85,Casanare,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:86,86,1603:45:16:170:0,1603:45:16:170:1:86,Putumayo,CO86,Putumayo,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:88,88,1603:45:16:170:0,1603:45:16:170:1:88,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO88,"Archipielago de San Andres, Providencia y Santa Catalina",,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:91,91,1603:45:16:170:0,1603:45:16:170:1:91,Amazonas,CO91,Amazonas,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:94,94,1603:45:16:170:0,1603:45:16:170:1:94,Guainía,CO94,Guainia,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:95,95,1603:45:16:170:0,1603:45:16:170:1:95,Guaviare,CO95,Guaviare,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:97,97,1603:45:16:170:0,1603:45:16:170:1:97,Vaupés,CO97,Vaupes,,,Colombia,CO,2020-01-01,2021-02-11,
1603:45:16:170:1:99,99,1603:45:16:170:0,1603:45:16:170:1:99,Vichada,CO99,Vichada,,,Colombia,CO,2020-01-01,2021-02-11,
