#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:152:3:5405,5405,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:54,1603:45:16:152:3:5405,Zapallar,CL05405,,,,Petorca,CL054,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5501,5501,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:55,1603:45:16:152:3:5501,Quillota,CL05501,,,,Quillota,CL055,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5502,5502,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:55,1603:45:16:152:3:5502,Calera,CL05502,,,,Quillota,CL055,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5503,5503,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:55,1603:45:16:152:3:5503,Hijuelas,CL05503,,,,Quillota,CL055,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5504,5504,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:55,1603:45:16:152:3:5504,La Cruz,CL05504,,,,Quillota,CL055,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5506,5506,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:55,1603:45:16:152:3:5506,Nogales,CL05506,,,,Quillota,CL055,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5601,5601,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,1603:45:16:152:3:5601,San Antonio,CL05601,,,,San Antonio,CL056,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5602,5602,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,1603:45:16:152:3:5602,Algarrobo,CL05602,,,,San Antonio,CL056,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5603,5603,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,1603:45:16:152:3:5603,Cartagena,CL05603,,,,San Antonio,CL056,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5604,5604,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,1603:45:16:152:3:5604,El Quisco,CL05604,,,,San Antonio,CL056,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5605,5605,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,1603:45:16:152:3:5605,El Tabo,CL05605,,,,San Antonio,CL056,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5606,5606,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,1603:45:16:152:3:5606,Santo Domingo,CL05606,,,,San Antonio,CL056,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5701,5701,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,1603:45:16:152:3:5701,San Felipe,CL05701,,,,San Felipe,CL057,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5702,5702,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,1603:45:16:152:3:5702,Catemu,CL05702,,,,San Felipe,CL057,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5703,5703,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,1603:45:16:152:3:5703,Llaillay,CL05703,,,,San Felipe,CL057,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5704,5704,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,1603:45:16:152:3:5704,Panquehue,CL05704,,,,San Felipe,CL057,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5705,5705,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,1603:45:16:152:3:5705,Putaendo,CL05705,,,,San Felipe,CL057,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5706,5706,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,1603:45:16:152:3:5706,Santa María,CL05706,Santa Maria,,,San Felipe,CL057,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5801,5801,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:58,1603:45:16:152:3:5801,Quilpué,CL05801,Quilpue,,,Marga Marga,CL058,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5802,5802,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:58,1603:45:16:152:3:5802,Limache,CL05802,,,,Marga Marga,CL058,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5803,5803,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:58,1603:45:16:152:3:5803,Olmué,CL05803,Olmue,,,Marga Marga,CL058,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:5804,5804,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:58,1603:45:16:152:3:5804,Villa Alemana,CL05804,,,,Marga Marga,CL058,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6101,6101,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6101,Rancagua,CL06101,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6102,6102,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6102,Codegua,CL06102,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6103,6103,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6103,Coinco,CL06103,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6104,6104,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6104,Coltauco,CL06104,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6105,6105,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6105,Doñihue,CL06105,Donihue,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6106,6106,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6106,Graneros,CL06106,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6107,6107,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6107,Las Cabras,CL06107,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6108,6108,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6108,Machalí,CL06108,Machali,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6109,6109,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6109,Malloa,CL06109,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6110,6110,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6110,Mostazal,CL06110,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6111,6111,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6111,Olivar,CL06111,Olivar,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6112,6112,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6112,Peumo,CL06112,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6113,6113,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6113,Pichidegua,CL06113,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6114,6114,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6114,Quinta de Tilcoco,CL06114,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6115,6115,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6115,Rengo,CL06115,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6116,6116,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6116,Requínoa,CL06116,Requinoa,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
