#item+conceptum+codicem,#item+rem+i_zxx+is_latn+ix_iso1524a,#item+rem+i_zxx+is_zmth+ix_iso1524n,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn
470,Vaii,470,Vai,vaï
480,Wole,480,Woleai,woléaï
499,Nshu,499,Nüshu,nüshu
500,Hani,500,"Han (Hanzi, Kanji, Hanja)",idéogrammes han (sinogrammes)
501,Hans,501,Han (Simplified variant),idéogrammes han (variante simplifiée)
502,Hant,502,Han (Traditional variant),idéogrammes han (variante traditionnelle)
503,Hanb,503,Han with Bopomofo (alias for Han + Bopomofo),han avec bopomofo (alias pour han + bopomofo)
505,Kitl,505,Khitan large script,grande écriture khitan
510,Jurc,510,Jurchen,jurchen
520,Tang,520,Tangut,tangoute
530,Shui,530,Shuishu,shuishu
550,Blis,550,Blissymbols,symboles Bliss
570,Brai,570,Braille,braille
610,Inds,610,Indus (Harappan),indus
620,Roro,620,Rongorongo,rongorongo
755,Dupl,755,"Duployan shorthand, Duployan stenography",sténographie Duployé
900,Qaaa,900,Reserved for private use (start),réservé à l’usage privé (début)
949,Qabx,949,Reserved for private use (end),réservé à l’usage privé (fin)
993,Zsye,993,Symbols (Emoji variant),symboles (variante émoji)
994,Zinh,994,Code for inherited script,codet pour écriture héritée
995,Zmth,995,Mathematical notation,notation mathématique
996,Zsym,996,Symbols,symboles
997,Zxxx,997,Code for unwritten documents,codet pour les documents non écrits
998,Zyyy,998,Code for undetermined script,codet pour écriture indéterminée
999,Zzzz,999,Code for uncoded script,codet pour écriture non codée
