#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_slk+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_slk+is_latn,#adm2+name+alt2+i_slk+is_latn,#adm1+name+i_slk+is_latn,#adm1+code+v_pcode,#country+name+i_slk+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:703:2:21004,21004,Piešťany,SK021004,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:21005,21005,Senica,SK021005,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:21006,21006,Skalica,SK021006,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:21007,21007,Trnava,SK021007,,,,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22001,22001,Bánovce nad Bebravou,SK022001,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22002,22002,Ilava,SK022002,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22003,22003,Myjava,SK022003,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22004,22004,Nové Mesto nad Váhom,SK022004,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22005,22005,Partizánske,SK022005,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22006,22006,Považská Bystrica,SK022006,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22007,22007,Prievidza,SK022007,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22008,22008,Púchov,SK022008,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:22009,22009,Trenčín,SK022009,,,,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23001,23001,Komárno,SK023001,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23002,23002,Levice,SK023002,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23003,23003,Nitra,SK023003,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23004,23004,Nové Zámky,SK023004,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23005,23005,Šaľa,SK023005,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23006,23006,Topoľčany,SK023006,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:23007,23007,Zlaté Moravce,SK023007,,,,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31001,31001,Bytča,SK031001,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31002,31002,Čadca,SK031002,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31003,31003,Dolný Kubín,SK031003,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31004,31004,Kysucké Nové Mesto,SK031004,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31005,31005,Liptovský Mikuláš,SK031005,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31006,31006,Martin,SK031006,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31007,31007,Námestovo,SK031007,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31008,31008,Ružomberok,SK031008,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31009,31009,Turčianske Teplice,SK031009,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31010,31010,Tvrdošín,SK031010,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:31011,31011,Žilina,SK031011,,,,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32001,32001,Banská Bystrica,SK032001,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32002,32002,Banská Štiavnica,SK032002,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32003,32003,Brezno,SK032003,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32004,32004,Detva,SK032004,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32005,32005,Krupina,SK032005,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32006,32006,Lučenec,SK032006,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32007,32007,Poltár,SK032007,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32008,32008,Revúca,SK032008,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32009,32009,Rimavská Sobota,SK032009,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32010,32010,Veľký Krtíš,SK032010,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32011,32011,Žarnovica,SK032011,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32012,32012,Žiar nad Hronom,SK032012,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:32013,32013,Zvolen,SK032013,,,,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41001,41001,Bardejov,SK041001,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41002,41002,Humenné,SK041002,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41003,41003,Kežmarok,SK041003,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41004,41004,Levoča,SK041004,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41005,41005,Medzilaborce,SK041005,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41006,41006,Poprad,SK041006,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41007,41007,Prešov,SK041007,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41008,41008,Sabinov,SK041008,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41009,41009,Snina,SK041009,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41010,41010,Stará Ľubovňa,SK041010,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41011,41011,Stropkov,SK041011,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41012,41012,Svidník,SK041012,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:41013,41013,Vranov nad Topľou,SK041013,,,,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42001,42001,Gelnica,SK042001,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42002,42002,Košice - okolie,SK042002,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42003,42003,Košice I,SK042003,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42004,42004,Košice II,SK042004,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42005,42005,Košice III,SK042005,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42006,42006,Košice IV,SK042006,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42007,42007,Michalovce,SK042007,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42008,42008,Rožňava,SK042008,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42009,42009,Sobrance,SK042009,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42010,42010,Spišská Nová Ves,SK042010,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:2:42011,42011,Trebišov,SK042011,,,,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
