#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:604:2:210,210,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:210,Huari,PE0210,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:211,211,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:211,Huarmey,PE0211,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:212,212,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:212,Huaylas,PE0212,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:213,213,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:213,Mariscal Luzuriaga,PE0213,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:214,214,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:214,Ocros,PE0214,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:215,215,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:215,Pallasca,PE0215,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:216,216,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:216,Pomabamba,PE0216,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:217,217,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:217,Recuay,PE0217,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:218,218,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:218,Santa,PE0218,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:219,219,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:219,Sihuas,PE0219,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:220,220,1603:45:16:604:0,1603:45:16:604:1:2,1603:45:16:604:2:220,Yungay,PE0220,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:301,301,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:301,Abancay,PE0301,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:302,302,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:302,Andahuaylas,PE0302,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:303,303,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:303,Antabamba,PE0303,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:304,304,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:304,Aymaraes,PE0304,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:305,305,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:305,Cotabambas,PE0305,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:306,306,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:306,Chincheros,PE0306,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:307,307,1603:45:16:604:0,1603:45:16:604:1:3,1603:45:16:604:2:307,Grau,PE0307,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:401,401,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:401,Arequipa,PE0401,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:402,402,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:402,Camana,PE0402,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:403,403,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:403,Caraveli,PE0403,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:404,404,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:404,Castilla,PE0404,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:405,405,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:405,Caylloma,PE0405,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:406,406,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:406,Condesuyos,PE0406,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:407,407,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:407,Islay,PE0407,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:408,408,1603:45:16:604:0,1603:45:16:604:1:4,1603:45:16:604:2:408,La Union,PE0408,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:501,501,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:501,Huamanga,PE0501,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:502,502,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:502,Cangallo,PE0502,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:503,503,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:503,Huanca Sancos,PE0503,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:504,504,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:504,Huanta,PE0504,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:505,505,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:505,La Mar,PE0505,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:506,506,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:506,Lucanas,PE0506,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:507,507,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:507,Parinacochas,PE0507,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:508,508,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:508,Paucar del Sara Sara,PE0508,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:509,509,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:509,Sucre,PE0509,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:510,510,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:510,Victor Fajardo,PE0510,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:511,511,1603:45:16:604:0,1603:45:16:604:1:5,1603:45:16:604:2:511,Vilcas Huaman,PE0511,,,,Ayacucho,PE05,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:601,601,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:601,Cajamarca,PE0601,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:602,602,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:602,Cajabamba,PE0602,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:603,603,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:603,Celendin,PE0603,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:604,604,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:604,Chota,PE0604,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:605,605,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:605,Contumaza,PE0605,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:606,606,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:606,Cutervo,PE0606,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:607,607,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:607,Hualgayoc,PE0607,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:608,608,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:608,Jaen,PE0608,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:609,609,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:609,San Ignacio,PE0609,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:610,610,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:610,San Marcos,PE0610,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:611,611,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:611,San Miguel,PE0611,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:612,612,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:612,San Pablo,PE0612,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:613,613,1603:45:16:604:0,1603:45:16:604:1:6,1603:45:16:604:2:613,Santa Cruz,PE0613,,,,Cajamarca,PE06,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:701,701,1603:45:16:604:0,1603:45:16:604:1:7,1603:45:16:604:2:701,Callao,PE0701,,,,Callao,PE07,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:801,801,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:801,Cusco,PE0801,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:802,802,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:802,Acomayo,PE0802,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:803,803,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:803,Anta,PE0803,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:804,804,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:804,Calca,PE0804,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:805,805,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:805,Canas,PE0805,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:806,806,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:806,Canchis,PE0806,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:807,807,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:807,Chumbivilcas,PE0807,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:808,808,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:808,Espinar,PE0808,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:809,809,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:809,La Convencion,PE0809,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:810,810,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:810,Paruro,PE0810,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:811,811,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:811,Paucartambo,PE0811,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:812,812,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:812,Quispicanchi,PE0812,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:813,813,1603:45:16:604:0,1603:45:16:604:1:8,1603:45:16:604:2:813,Urubamba,PE0813,,,,Cusco,PE08,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:901,901,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:901,Huancavelica,PE0901,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:902,902,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:902,Acobamba,PE0902,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:903,903,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:903,Angaraes,PE0903,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:904,904,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:904,Castrovirreyna,PE0904,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:905,905,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:905,Churcampa,PE0905,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:906,906,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:906,Huaytara,PE0906,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:907,907,1603:45:16:604:0,1603:45:16:604:1:9,1603:45:16:604:2:907,Tayacaja,PE0907,,,,Huancavelica,PE09,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1001,1001,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1001,Huanuco,PE1001,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1002,1002,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1002,Ambo,PE1002,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1003,1003,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1003,Dos de Mayo,PE1003,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1004,1004,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1004,Huacaybamba,PE1004,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1005,1005,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1005,Huamalies,PE1005,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1006,1006,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1006,Leoncio Prado,PE1006,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1007,1007,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1007,Marañon,PE1007,Maranon,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1008,1008,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1008,Pachitea,PE1008,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1009,1009,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1009,Puerto Inca,PE1009,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1010,1010,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1010,Lauricocha,PE1010,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1011,1011,1603:45:16:604:0,1603:45:16:604:1:10,1603:45:16:604:2:1011,Yarowilca,PE1011,,,,Huanuco,PE10,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1101,1101,1603:45:16:604:0,1603:45:16:604:1:11,1603:45:16:604:2:1101,Ica,PE1101,,,,Ica,PE11,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1102,1102,1603:45:16:604:0,1603:45:16:604:1:11,1603:45:16:604:2:1102,Chincha,PE1102,,,,Ica,PE11,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1103,1103,1603:45:16:604:0,1603:45:16:604:1:11,1603:45:16:604:2:1103,Nasca,PE1103,,,,Ica,PE11,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1104,1104,1603:45:16:604:0,1603:45:16:604:1:11,1603:45:16:604:2:1104,Palpa,PE1104,,,,Ica,PE11,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1105,1105,1603:45:16:604:0,1603:45:16:604:1:11,1603:45:16:604:2:1105,Pisco,PE1105,,,,Ica,PE11,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1201,1201,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1201,Huancayo,PE1201,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1202,1202,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1202,Concepcion,PE1202,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1203,1203,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1203,Chanchamayo,PE1203,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1204,1204,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1204,Jauja,PE1204,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1205,1205,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1205,Junin,PE1205,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1206,1206,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1206,Satipo,PE1206,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1207,1207,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1207,Tarma,PE1207,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1208,1208,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1208,Yauli,PE1208,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1209,1209,1603:45:16:604:0,1603:45:16:604:1:12,1603:45:16:604:2:1209,Chupaca,PE1209,,,,Junin,PE12,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1301,1301,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1301,Trujillo,PE1301,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1302,1302,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1302,Ascope,PE1302,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1303,1303,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1303,Bolivar,PE1303,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1304,1304,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1304,Chepen,PE1304,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1305,1305,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1305,Julcan,PE1305,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1306,1306,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1306,Otuzco,PE1306,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1307,1307,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1307,Pacasmayo,PE1307,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1308,1308,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1308,Pataz,PE1308,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1309,1309,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1309,Sanchez Carrion,PE1309,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1310,1310,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1310,Santiago de Chuco,PE1310,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1311,1311,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1311,Gran Chimu,PE1311,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
