#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:450:4:11101004002,11101004002,Ambodirano Ampefiloha,MG11101004002,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004003,11101004003,Ilanivato Ampasika,MG11101004003,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004004,11101004004,Ampangabe Anjanakinifolo,MG11101004004,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004005,11101004005,Anosipatrana Andrefana,MG11101004005,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004006,11101004006,Anosipatrana Atsinanana,MG11101004006,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004007,11101004007,Ivolaniray,MG11101004007,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004008,11101004008,Andavamamba Ambilanibe,MG11101004008,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004009,11101004009,Anosibe Andrefana II,MG11101004009,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004010,11101004010,Anosibe Andrefana I,MG11101004010,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004011,11101004011,Andrefan'ambohijanahary IIIH-I,MG11101004011,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004012,11101004012,Mahamasina Atsimo,MG11101004012,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004013,11101004013,Tsimialonjafy,MG11101004013,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004014,11101004014,Ambanin'ampamarinana,MG11101004014,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004015,11101004015,Ankadilalana,MG11101004015,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004016,11101004016,Tsarafaritra,MG11101004016,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004017,11101004017,Fiadanana IIil,MG11101004017,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004018,11101004018,Fiadanana IIin,MG11101004018,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004019,11101004019,Mananjara,MG11101004019,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:11101004020,11101004020,Andrefan'i Mananjara,MG11101004020,,,,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
