qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:474:2:304,304,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:304,Fonds-Saint-Denis,MQ0304,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:305,305,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:305,Morne-Rouge,MQ0305,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:306,306,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:306,Morne-Vert,MQ0306,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:307,307,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:307,Prêcheur,MQ0307,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:308,308,1603:45:16:474:0,1603:45:16:474:1:3,1603:45:16:474:2:308,Saint-Pierre,MQ0308,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:401,401,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:401,Ajoupa-Bouillon,MQ0401,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:402,402,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:402,Basse-Pointe,MQ0402,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:403,403,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:403,Grand'Rivière,MQ0403,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:404,404,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:404,Gros-Morne,MQ0404,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:405,405,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:405,Lorrain,MQ0405,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:406,406,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:406,Macouba,MQ0406,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:407,407,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:407,Marigot,MQ0407,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:408,408,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:408,Robert,MQ0408,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:409,409,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:409,Sainte-Marie,MQ0409,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
1603:45:16:474:2:410,410,1603:45:16:474:0,1603:45:16:474:1:4,1603:45:16:474:2:410,Trinité,MQ0410,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
