#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:398:2:153200,153200,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:153200,Alga,Алға ,Алгинский,KZ153200,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:153400,153400,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:153400,Ayteke bi,Әйтеке би ,Айтекебийский,KZ153400,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:153600,153600,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:153600,Bayganin,Байғанин ,Байганинский,KZ153600,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:154000,154000,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:154000,Kargaly,Қарғалы ,Каргалинский,KZ154000,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:154200,154200,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:154200,Khobda,Қобда ,Хобдинский,KZ154200,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:154600,154600,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:154600,Martuk,Мәртөк ,Мартукский,KZ154600,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:154800,154800,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:154800,Mugalzhar,Мұғалжар ,Мугалжарский,KZ154800,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:155200,155200,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:155200,Oiyl,Ойыл ,Уилский,KZ155200,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:155600,155600,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:155600,Temir,Темір ,Темирский,KZ155600,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:156000,156000,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:156000,Khromtau,Хромтау ,Хромтауский,KZ156000,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:156400,156400,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:156400,Shalkar,Шалқар ,Шалкарский,KZ156400,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:156800,156800,1603:45:16:398:0,1603:45:16:398:1:15,1603:45:16:398:2:156800,Yrgyz,Ырғыз ,Иргизский,KZ156800,,,,,,,,Aktobe,Ақтөбе ,Актюбинская ,KZ15,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:191000,191000,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:191000,Taldykorgan,Талдықорған ,Талдыкорган,KZ191000,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:191600,191600,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:191600,Kapchagay,Қапшағай ,Капчагай,KZ191600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
