#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:180:2:1000,1000,1603:45:16:180:0,1603:45:16:180:1:10,1603:45:16:180:2:1000,Kinshasa,CD1000,,,,Kinshasa,CD10,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3102,3102,1603:45:16:180:0,1603:45:16:180:1:31,1603:45:16:180:2:3102,Kenge,CD3102,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3103,3103,1603:45:16:180:0,1603:45:16:180:1:31,1603:45:16:180:2:3103,Feshi,CD3103,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3105,3105,1603:45:16:180:0,1603:45:16:180:1:31,1603:45:16:180:2:3105,Kahemba,CD3105,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3107,3107,1603:45:16:180:0,1603:45:16:180:1:31,1603:45:16:180:2:3107,Kasongo-Lunda,CD3107,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3108,3108,1603:45:16:180:0,1603:45:16:180:1:31,1603:45:16:180:2:3108,Popokabaka,CD3108,,,,Kwango,CD31,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3201,3201,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3201,Bandundu,CD3201,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3202,3202,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3202,Bagata,CD3202,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3203,3203,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3203,Kikwit,CD3203,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3204,3204,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3204,Bulungu,CD3204,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3206,3206,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3206,Idiofa,CD3206,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3208,3208,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3208,Mangai,CD3208,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3209,3209,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3209,Dibaya-Lubwe,CD3209,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3210,3210,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3210,Gungu,CD3210,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3212,3212,1603:45:16:180:0,1603:45:16:180:1:32,1603:45:16:180:2:3212,Masi-Manimba,CD3212,,,,Kwilu,CD32,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3302,3302,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3302,Inongo,CD3302,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3303,3303,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3303,Kiri,CD3303,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3304,3304,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3304,Oshwe,CD3304,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3305,3305,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3305,Nioki,CD3305,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3306,3306,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3306,Kutu,CD3306,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3307,3307,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3307,Kwamouth,CD3307,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3308,3308,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3308,Bolobo,CD3308,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3310,3310,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3310,Yumbi,CD3310,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:3311,3311,1603:45:16:180:0,1603:45:16:180:1:33,1603:45:16:180:2:3311,Mushie,CD3311,,,,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4101,4101,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4101,Mbandaka,CD4101,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4102,4102,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4102,Bikoro,CD4102,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4103,4103,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4103,Lukolela,CD4103,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4104,4104,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4104,Bomongo,CD4104,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4105,4105,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4105,Makanza,CD4105,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4107,4107,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4107,Basankusu,CD4107,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4108,4108,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4108,Bolomba,CD4108,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4109,4109,1603:45:16:180:0,1603:45:16:180:1:41,1603:45:16:180:2:4109,Ingende,CD4109,,,,Equateur,CD41,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4202,4202,1603:45:16:180:0,1603:45:16:180:1:42,1603:45:16:180:2:4202,Gemena,CD4202,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4203,4203,1603:45:16:180:0,1603:45:16:180:1:42,1603:45:16:180:2:4203,Budjala,CD4203,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4204,4204,1603:45:16:180:0,1603:45:16:180:1:42,1603:45:16:180:2:4204,Kungu,CD4204,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4205,4205,1603:45:16:180:0,1603:45:16:180:1:42,1603:45:16:180:2:4205,Libenge,CD4205,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4206,4206,1603:45:16:180:0,1603:45:16:180:1:42,1603:45:16:180:2:4206,Zongo,CD4206,,,,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4301,4301,1603:45:16:180:0,1603:45:16:180:1:43,1603:45:16:180:2:4301,Gbadolite,CD4301,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4302,4302,1603:45:16:180:0,1603:45:16:180:1:43,1603:45:16:180:2:4302,Mobayi-Mbongo,CD4302,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4304,4304,1603:45:16:180:0,1603:45:16:180:1:43,1603:45:16:180:2:4304,Yakoma,CD4304,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4305,4305,1603:45:16:180:0,1603:45:16:180:1:43,1603:45:16:180:2:4305,Businga,CD4305,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4306,4306,1603:45:16:180:0,1603:45:16:180:1:43,1603:45:16:180:2:4306,Bosobolo,CD4306,,,,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4402,4402,1603:45:16:180:0,1603:45:16:180:1:44,1603:45:16:180:2:4402,Lisala,CD4402,,,,Mongala,CD44,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4404,4404,1603:45:16:180:0,1603:45:16:180:1:44,1603:45:16:180:2:4404,Bumba,CD4404,,,,Mongala,CD44,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4405,4405,1603:45:16:180:0,1603:45:16:180:1:44,1603:45:16:180:2:4405,Bongandanga,CD4405,,,,Mongala,CD44,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4502,4502,1603:45:16:180:0,1603:45:16:180:1:45,1603:45:16:180:2:4502,Boende,CD4502,,,,Tshuapa,CD45,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4503,4503,1603:45:16:180:0,1603:45:16:180:1:45,1603:45:16:180:2:4503,Befale,CD4503,,,,Tshuapa,CD45,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4504,4504,1603:45:16:180:0,1603:45:16:180:1:45,1603:45:16:180:2:4504,Djolu,CD4504,,,,Tshuapa,CD45,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4505,4505,1603:45:16:180:0,1603:45:16:180:1:45,1603:45:16:180:2:4505,Ikela,CD4505,,,,Tshuapa,CD45,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4506,4506,1603:45:16:180:0,1603:45:16:180:1:45,1603:45:16:180:2:4506,Bokungu,CD4506,,,,Tshuapa,CD45,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:4507,4507,1603:45:16:180:0,1603:45:16:180:1:45,1603:45:16:180:2:4507,Monkoto,CD4507,,,,Tshuapa,CD45,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5101,5101,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5101,Kisangani,CD5101,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5102,5102,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5102,Ubundu,CD5102,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5103,5103,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5103,Opala,CD5103,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5105,5105,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5105,Isangi,CD5105,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5106,5106,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5106,Yangambi,CD5106,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5107,5107,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5107,Yahuma,CD5107,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5109,5109,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5109,Basoko,CD5109,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5110,5110,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5110,Banalia,CD5110,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5111,5111,1603:45:16:180:0,1603:45:16:180:1:51,1603:45:16:180:2:5111,Bafwasende,CD5111,,,,Tshopo,CD51,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5202,5202,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5202,Buta,CD5202,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5204,5204,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5204,Aketi,CD5204,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5206,5206,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5206,Bondo,CD5206,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5207,5207,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5207,Ango,CD5207,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5208,5208,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5208,Poko,CD5208,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5209,5209,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5209,Bambesa,CD5209,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5210,5210,1603:45:16:180:0,1603:45:16:180:1:52,1603:45:16:180:2:5210,Dingila,CD5210,,,,Bas-Uele,CD52,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5301,5301,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5301,Isiro,CD5301,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5302,5302,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5302,Rungu,CD5302,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5303,5303,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5303,Niangara,CD5303,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5305,5305,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5305,Dungu,CD5305,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5306,5306,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5306,Aba,CD5306,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5307,5307,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5307,Faradje,CD5307,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5309,5309,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5309,Watsa,CD5309,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5311,5311,1603:45:16:180:0,1603:45:16:180:1:53,1603:45:16:180:2:5311,Wamba,CD5311,,,,Haut-Uele,CD53,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5401,5401,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5401,Bunia,CD5401,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5402,5402,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5402,Irumu,CD5402,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5403,5403,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5403,Mambasa,CD5403,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5404,5404,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5404,Mongwalu,CD5404,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5405,5405,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5405,Djugu,CD5405,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5407,5407,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5407,Mahagi,CD5407,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5409,5409,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5409,Aru,CD5409,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5410,5410,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5410,Ariwara,CD5410,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:5411,5411,1603:45:16:180:0,1603:45:16:180:1:54,1603:45:16:180:2:5411,Ingbokolo,CD5411,,,,Ituri,CD54,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6101,6101,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6101,Goma,CD6101,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6102,6102,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6102,Nyiragongo,CD6102,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6103,6103,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6103,Masisi,CD6103,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6104,6104,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6104,Walikale,CD6104,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6105,6105,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6105,Lubero,CD6105,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6107,6107,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6107,Oïcha,CD6107,Oicha,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6109,6109,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6109,Beni,CD6109,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6110,6110,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6110,Butembo,CD6110,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6111,6111,1603:45:16:180:0,1603:45:16:180:1:61,1603:45:16:180:2:6111,Rutshuru,CD6111,,,,Nord-Kivu,CD61,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6201,6201,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6201,Bukavu,CD6201,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6202,6202,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6202,Kabare,CD6202,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6203,6203,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6203,Shabunda,CD6203,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6205,6205,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6205,Kalehe,CD6205,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6206,6206,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6206,Idjwi,CD6206,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
