#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:804:3:112019,112019,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112019,Klepyninska,Клепинінська,Клепининский,UA0112019,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112021,112021,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112021,Kolodiazianska,Колодязянська,Колодезянский,UA0112021,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112023,112023,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112023,Kormivska,Кормівська,Кормовской,UA0112023,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112025,112025,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112025,Kotelnykivska,Котельниківська,Котельниковский,UA0112025,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112027,112027,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112027,Krasnohvardiiska,Красногвардійська,Красногвардейский,UA0112027,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112029,112029,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112029,Krasnoznamianska,Краснознам'янська,Краснознаменский,UA0112029,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112031,112031,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112031,Krestianivska,Крестянівська,Крестьяновский,UA0112031,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112033,112033,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112033,Leninska,Ленінська,Ленинский,UA0112033,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112035,112035,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112035,Marianivska,Мар'янівська,Марьяновский,UA0112035,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112037,112037,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112037,Naidonivska,Найдьонівська,Найденовский,UA0112037,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112039,112039,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112039,Novopokrovska,Новопокровська,Новопокровский,UA0112039,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112041,112041,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112041,Oktiabrska,Октябрська,Октябрьский,UA0112041,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112043,112043,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112043,Oktiabrska,Октябрська,Октябрьский,UA0112043,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112045,112045,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112045,Oleksandrivska,Олександрівська,Александровский,UA0112045,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112047,112047,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112047,Oleksiivska,Олексіївська,Алексеевский,UA0112047,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112049,112049,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112049,Ostrovska,Островська,Островский,UA0112049,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112051,112051,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112051,Piatykhatska,П'ятихатська,Пятихатский,UA0112051,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112053,112053,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112053,Pervomaiska,Первомайська,Первомайский,UA0112053,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112055,112055,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112055,Petrivska,Петрівська,Петровский,UA0112055,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112057,112057,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112057,Poltavska,Полтавська,Полтавский,UA0112057,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112059,112059,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112059,Pravdivska,Правдівська,Правдовский,UA0112059,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112061,112061,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112061,Rivnivska,Рівнівська,Ровновский,UA0112061,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112063,112063,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112063,Sarybashivska,Сарибашівська,Сарыбащевский,UA0112063,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112065,112065,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112065,Stakhanovska,Стахановська,Стахановский,UA0112065,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112067,112067,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112067,Stepnivska,Степнівська,Степновский,UA0112067,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112069,112069,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112069,Susaninska,Сусанінська,Сусанинский,UA0112069,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112071,112071,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112071,Chernovska,Черновська,Черновский,UA0112071,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:112073,112073,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,1603:45:16:804:3:112073,Yantarnenska,Янтарненська,Янтарненский,UA0112073,,,,,,,,Kurmanskyi,Курманський,Курманский,UA0112,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114001,114001,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114001,Armianska,Армянська,Армянский,UA0114001,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114003,114003,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114003,Berezivska,Березівська,Березовский,UA0114003,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114005,114005,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114005,Botanichna,Ботанічна,Ботанический,UA0114005,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114007,114007,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114007,Bratska,Братська,Братский,UA0114007,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114009,114009,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114009,Vyshnivska,Вишнівська,Вишневский,UA0114009,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114011,114011,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114011,Voinska,Воїнська,Воинский,UA0114011,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114013,114013,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114013,Zymynska,Зиминська,Зиминский,UA0114013,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114015,114015,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114015,Illinska,Іллінська,Ильинский,UA0114015,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114017,114017,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114017,Ishunska,Ішунська,Ишунский,UA0114017,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114019,114019,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114019,Kovylnivska,Ковильнівська,Ковыльновский,UA0114019,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114021,114021,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114021,Krasnoarmiiska,Красноармійська,Красноармейский,UA0114021,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114023,114023,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114023,Krasnoperekopska,Красноперекопська,Красноперекопский,UA0114023,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114025,114025,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114025,Kukushkinska,Кукушкінська,Кукушкинский,UA0114025,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114027,114027,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114027,Mahazynska,Магазинська,Магазинский,UA0114027,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114029,114029,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114029,Novopavlivska,Новопавлівська,Новопавловский,UA0114029,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114031,114031,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114031,Novoselivska,Новоселівська,Новоселовский,UA0114031,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114033,114033,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114033,Orlivska,Орлівська,Орловский,UA0114033,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114035,114035,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114035,Pochetnenska,Почетненська,Почетненский,UA0114035,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114037,114037,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114037,Rozdolnenska,Роздольненська,Роздольненский,UA0114037,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114039,114039,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114039,Ruchivska,Руч'ївська,Ручьевский,UA0114039,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114041,114041,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114041,Serebrianska,Серебрянська,Серебрянский,UA0114041,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114043,114043,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114043,Slavnivska,Славнівська,Славновский,UA0114043,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114045,114045,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114045,Slovianska,Слов'янська,Славянский,UA0114045,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114047,114047,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114047,Sovkhoznenska,Совхозненська,Совхозненский,UA0114047,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114049,114049,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114049,Suvorovska,Суворовська,Суворовский,UA0114049,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114051,114051,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114051,Filativska,Філатівська,Филатовский,UA0114051,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:114053,114053,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,1603:45:16:804:3:114053,Chernyshivska,Чернишівська,Чернышевский,UA0114053,,,,,,,,Perekopskyi,Перекопський,Перекопский,UA0114,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116001,116001,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116001,Hvardiiska,Гвардійська,Гвардейский,UA0116001,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116003,116003,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116003,Hresivska,Гресівська,Грэсовский,UA0116003,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116005,116005,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116005,Dobrivska,Добрівська,Добровский,UA0116005,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116007,116007,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116007,Donska,Донська,Донской,UA0116007,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116009,116009,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116009,Zhuravlivska,Журавлівська,Журавлевский,UA0116009,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116011,116011,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116011,Kolchuhynska,Кольчугинська,Кольчугинский,UA0116011,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116013,116013,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116013,Mazanska,Мазанська,Мазанский,UA0116013,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:116015,116015,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,1603:45:16:804:3:116015,Mykolaivska,Миколаївська,Николаевский,UA0116015,,,,,,,,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
