qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,fra-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:768:3:10111,10111,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10111,M'Poti,TG010111,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10112,10112,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10112,Pagala Gare,TG010112,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10113,10113,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10113,Pagala Village,TG010113,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10114,10114,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10114,Tchaloude,TG010114,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10115,10115,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10115,Tchare-Baou,TG010115,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10116,10116,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10116,Tchifama,TG010116,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10117,10117,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10117,Tintchro,TG010117,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10118,10118,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10118,Waragni,TG010118,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10119,10119,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10119,Welly,TG010119,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10120,10120,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10120,Yaloumbe,TG010120,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10121,10121,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,1603:45:16:768:3:10121,Yegue,TG010121,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10201,10201,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:102,1603:45:16:768:3:10201,Boulohou,TG010201,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10202,10202,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:102,1603:45:16:768:3:10202,Djarkpanga,TG010202,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10203,10203,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:102,1603:45:16:768:3:10203,Kagnigbara,TG010203,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10204,10204,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:102,1603:45:16:768:3:10204,Saiboude,TG010204,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10205,10205,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:102,1603:45:16:768:3:10205,Tindjassi,TG010205,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10301,10301,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10301,Adjengere,TG010301,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10302,10302,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10302,Aouda,TG010302,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10303,10303,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10303,Bodjonde,TG010303,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10304,10304,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10304,Fazao,TG010304,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10305,10305,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10305,Kaniamboua,TG010305,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10306,10306,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10306,Kazaboua,TG010306,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10307,10307,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10307,Sessaro,TG010307,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10308,10308,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10308,Sotouboua,TG010308,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10309,10309,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10309,Tabinde,TG010309,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10310,10310,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10310,Tchebebe,TG010310,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10311,10311,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,1603:45:16:768:3:10311,Titigbe,TG010311,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10401,10401,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10401,Affem,TG010401,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10402,10402,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10402,Alibi,TG010402,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10403,10403,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10403,Bago,TG010403,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10404,10404,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10404,Balanka,TG010404,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10405,10405,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10405,Goubi,TG010405,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10406,10406,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10406,Kaboli,TG010406,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10407,10407,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10407,Koussountou,TG010407,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10408,10408,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10408,Kri-Kri,TG010408,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10409,10409,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10409,Larni,TG010409,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10410,10410,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,1603:45:16:768:3:10410,Tchamba,TG010410,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10501,10501,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10501,Agoulou,TG010501,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10502,10502,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10502,Aleheride/Amaide,TG010502,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10503,10503,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10503,Kadambara,TG010503,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10504,10504,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10504,Kemeni,TG010504,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10505,10505,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10505,Kolina,TG010505,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10506,10506,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10506,Komah,TG010506,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10507,10507,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10507,Kpangalam,TG010507,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10508,10508,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10508,Kparatao,TG010508,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10509,10509,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10509,Kpassouade,TG010509,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10510,10510,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10510,Lama-Tessi,TG010510,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10511,10511,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10511,Tchalo,TG010511,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:10512,10512,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,1603:45:16:768:3:10512,Wassarabo,TG010512,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20101,20101,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,1603:45:16:768:3:20101,Aledjo,TG020101,Assoli,TG0201,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20102,20102,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,1603:45:16:768:3:20102,Bafilo,TG020102,Assoli,TG0201,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20103,20103,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,1603:45:16:768:3:20103,Boulade,TG020103,Assoli,TG0201,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20104,20104,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,1603:45:16:768:3:20104,Dako/Daoude,TG020104,Assoli,TG0201,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20105,20105,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,1603:45:16:768:3:20105,Koumonde,TG020105,Assoli,TG0201,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20106,20106,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,1603:45:16:768:3:20106,Soudou,TG020106,Assoli,TG0201,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20201,20201,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20201,Baghan,TG020201,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20202,20202,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20202,Bangeli,TG020202,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20203,20203,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20203,Bassar,TG020203,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20204,20204,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20204,Bitchabe,TG020204,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20205,20205,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20205,Dimori,TG020205,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20206,20206,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20206,Kabou,TG020206,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20207,20207,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20207,Kalanga,TG020207,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20208,20208,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20208,Manga,TG020208,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20209,20209,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20209,Sanda-Afohou,TG020209,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20210,20210,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,1603:45:16:768:3:20210,Sanda-Kagbanda,TG020210,Bassar,TG0202,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20301,20301,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20301,Boufale,TG020301,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20302,20302,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20302,Kemerida,TG020302,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20303,20303,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20303,Ketao,TG020303,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20304,20304,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20304,Lama-Dessi,TG020304,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20305,20305,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20305,Pagouda,TG020305,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20306,20306,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20306,Pessare,TG020306,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20307,20307,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20307,Pitikita,TG020307,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20308,20308,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20308,Sirka,TG020308,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20309,20309,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,1603:45:16:768:3:20309,Sola,TG020309,Binah,TG0203,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20401,20401,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20401,Bapure,TG020401,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20402,20402,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20402,Guerin-Kouka,TG020402,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20403,20403,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20403,Katchamba,TG020403,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20404,20404,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20404,Kidjaboun,TG020404,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20405,20405,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20405,Koulfiekou,TG020405,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20406,20406,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20406,Koutchitcheou,TG020406,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20407,20407,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20407,Namon,TG020407,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20408,20408,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20408,Nampoch,TG020408,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20409,20409,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20409,Nandouta,TG020409,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20410,20410,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20410,Natchibore,TG020410,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20411,20411,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20411,Natchitikpi,TG020411,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20412,20412,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,1603:45:16:768:3:20412,Naware,TG020412,Dankpen,TG0204,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20501,20501,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20501,Agbandi-Yaka,TG020501,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20502,20502,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20502,Aloum,TG020502,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20503,20503,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20503,Baga,TG020503,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20504,20504,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20504,Defale,TG020504,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20505,20505,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20505,Kadjalla,TG020505,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20506,20506,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20506,Koka,TG020506,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20507,20507,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20507,Kpaha,TG020507,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20508,20508,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20508,Leon,TG020508,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20509,20509,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20509,Massedena,TG020509,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20510,20510,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20510,Niamtougou,TG020510,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:3:20511,20511,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,1603:45:16:768:3:20511,Pouda,TG020511,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
