#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_hun+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:348:2:11009,11009,1603:45:16:348:0,1603:45:16:348:1:11,1603:45:16:348:2:11009,Torokszentmiklosi jaras,HU011009,,,,Jasz Nagykun Szolnok,HU011,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:12001,12001,1603:45:16:348:0,1603:45:16:348:1:12,1603:45:16:348:2:12001,Esztergomi jaras,HU012001,,,,Komarom Esztergom,HU012,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:12002,12002,1603:45:16:348:0,1603:45:16:348:1:12,1603:45:16:348:2:12002,Kisberi jaras,HU012002,,,,Komarom Esztergom,HU012,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:12003,12003,1603:45:16:348:0,1603:45:16:348:1:12,1603:45:16:348:2:12003,Komaromi jaras,HU012003,,,,Komarom Esztergom,HU012,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:12004,12004,1603:45:16:348:0,1603:45:16:348:1:12,1603:45:16:348:2:12004,Oroszlanyi jaras,HU012004,,,,Komarom Esztergom,HU012,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:12005,12005,1603:45:16:348:0,1603:45:16:348:1:12,1603:45:16:348:2:12005,Tatabanyai jaras,HU012005,,,,Komarom Esztergom,HU012,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:12006,12006,1603:45:16:348:0,1603:45:16:348:1:12,1603:45:16:348:2:12006,Tatai jaras,HU012006,,,,Komarom Esztergom,HU012,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:13001,13001,1603:45:16:348:0,1603:45:16:348:1:13,1603:45:16:348:2:13001,Balassagyarmati jaras,HU013001,,,,Nograd,HU013,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:13002,13002,1603:45:16:348:0,1603:45:16:348:1:13,1603:45:16:348:2:13002,Batonyterenyei jaras,HU013002,,,,Nograd,HU013,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:13003,13003,1603:45:16:348:0,1603:45:16:348:1:13,1603:45:16:348:2:13003,Pasztoi jaras,HU013003,,,,Nograd,HU013,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:13004,13004,1603:45:16:348:0,1603:45:16:348:1:13,1603:45:16:348:2:13004,Retsagi jaras,HU013004,,,,Nograd,HU013,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:13005,13005,1603:45:16:348:0,1603:45:16:348:1:13,1603:45:16:348:2:13005,Salgotarjani jaras,HU013005,,,,Nograd,HU013,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:13006,13006,1603:45:16:348:0,1603:45:16:348:1:13,1603:45:16:348:2:13006,Szecsenyi jaras,HU013006,,,,Nograd,HU013,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14001,14001,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14001,Aszodi jaras,HU014001,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14002,14002,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14002,Budakeszi jaras,HU014002,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14003,14003,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14003,Cegledi jaras,HU014003,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14004,14004,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14004,Dabasi jaras,HU014004,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14005,14005,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14005,Dunakeszi jaras,HU014005,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14006,14006,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14006,Erdi jaras,HU014006,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14007,14007,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14007,Godollo Regional Unit,HU014007,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14008,14008,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14008,Gyali jaras,HU014008,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14009,14009,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14009,Monori jaras,HU014009,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14010,14010,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14010,Nagykatai jaras,HU014010,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14011,14011,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14011,Nagykorosi jaras,HU014011,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14012,14012,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14012,Pilisvorosvari jaras,HU014012,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14013,14013,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14013,Rackevei jaras,HU014013,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14014,14014,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14014,Szentendrei jaras,HU014014,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14015,14015,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14015,Szigetszentmiklosi jaras,HU014015,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14016,14016,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14016,Szobi jaras,HU014016,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14017,14017,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14017,Vaci jaras,HU014017,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:14018,14018,1603:45:16:348:0,1603:45:16:348:1:14,1603:45:16:348:2:14018,Vecsesi jaras,HU014018,,,,Pest megye,HU014,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15001,15001,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15001,Barcsi jaras,HU015001,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15002,15002,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15002,Csurgoi jaras,HU015002,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15003,15003,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15003,Fonyodi jaras,HU015003,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15004,15004,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15004,Kaposvari jaras,HU015004,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15005,15005,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15005,Marcali jaras,HU015005,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15006,15006,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15006,Nagyatadi jaras,HU015006,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15007,15007,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15007,Siofoki jaras,HU015007,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:15008,15008,1603:45:16:348:0,1603:45:16:348:1:15,1603:45:16:348:2:15008,Tabi jaras,HU015008,,,,Somogy,HU015,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16001,16001,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16001,Baktaloranthazai jaras,HU016001,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16002,16002,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16002,Csengeri jaras,HU016002,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16003,16003,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16003,Fehergyarmati jaras,HU016003,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16004,16004,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16004,Ibranyi jaras,HU016004,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16005,16005,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16005,Kemecsei jaras,HU016005,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16006,16006,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16006,Kisvardai jaras,HU016006,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16007,16007,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16007,Mateszalkai jaras,HU016007,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16008,16008,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16008,Nagykalloi jaras,HU016008,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16009,16009,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16009,NyNrbatori jaras,HU016009,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16010,16010,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16010,NyNregyhazi jaras,HU016010,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16011,16011,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16011,Tiszavasvari jaras,HU016011,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16012,16012,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16012,Vasarosnamenyi jaras,HU016012,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:16013,16013,1603:45:16:348:0,1603:45:16:348:1:16,1603:45:16:348:2:16013,Zahonyi jaras,HU016013,,,,Szabolcs Szatmar Bereg,HU016,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:17001,17001,1603:45:16:348:0,1603:45:16:348:1:17,1603:45:16:348:2:17001,Bonyhadi jaras,HU017001,,,,Tolna,HU017,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:17002,17002,1603:45:16:348:0,1603:45:16:348:1:17,1603:45:16:348:2:17002,Dombovari jaras,HU017002,,,,Tolna,HU017,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:17003,17003,1603:45:16:348:0,1603:45:16:348:1:17,1603:45:16:348:2:17003,Paksi jaras,HU017003,,,,Tolna,HU017,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:17004,17004,1603:45:16:348:0,1603:45:16:348:1:17,1603:45:16:348:2:17004,Szekszardi jaras,HU017004,,,,Tolna,HU017,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:17005,17005,1603:45:16:348:0,1603:45:16:348:1:17,1603:45:16:348:2:17005,Tamasi jaras,HU017005,,,,Tolna,HU017,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:17006,17006,1603:45:16:348:0,1603:45:16:348:1:17,1603:45:16:348:2:17006,Tolnai jaras,HU017006,,,,Tolna,HU017,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18001,18001,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18001,Celldomolki jaras,HU018001,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18002,18002,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18002,Kormendi jaras,HU018002,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18003,18003,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18003,Koszegi jaras,HU018003,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18004,18004,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18004,Sarvari jaras,HU018004,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18005,18005,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18005,Szentgotthardi jaras,HU018005,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18006,18006,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18006,Szombathelyi jaras,HU018006,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:18007,18007,1603:45:16:348:0,1603:45:16:348:1:18,1603:45:16:348:2:18007,Vasvari jaras,HU018007,,,,Vas,HU018,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19001,19001,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19001,Ajkai jaras,HU019001,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19002,19002,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19002,Balatonalmadi jaras,HU019002,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19003,19003,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19003,Balatonfuredi jaras,HU019003,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19004,19004,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19004,Devecseri jaras,HU019004,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19005,19005,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19005,Papai jaras,HU019005,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19006,19006,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19006,Sumegi jaras,HU019006,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19007,19007,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19007,Tapolcai jaras,HU019007,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19008,19008,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19008,Varpalotai jaras,HU019008,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19009,19009,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19009,Veszpremi jaras,HU019009,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:19010,19010,1603:45:16:348:0,1603:45:16:348:1:19,1603:45:16:348:2:19010,Zirci jaras,HU019010,,,,Veszprem,HU019,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:20001,20001,1603:45:16:348:0,1603:45:16:348:1:20,1603:45:16:348:2:20001,Keszthelyi jaras,HU020001,,,,Zala,HU020,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:20002,20002,1603:45:16:348:0,1603:45:16:348:1:20,1603:45:16:348:2:20002,Lenti jaras,HU020002,,,,Zala,HU020,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:20003,20003,1603:45:16:348:0,1603:45:16:348:1:20,1603:45:16:348:2:20003,Letenyei jaras,HU020003,,,,Zala,HU020,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:20004,20004,1603:45:16:348:0,1603:45:16:348:1:20,1603:45:16:348:2:20004,Nagykanizsai jaras,HU020004,,,,Zala,HU020,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:20005,20005,1603:45:16:348:0,1603:45:16:348:1:20,1603:45:16:348:2:20005,Zalaegerszegi jaras,HU020005,,,,Zala,HU020,Magyarország,HU,2022-03-09,2022-03-22,
1603:45:16:348:2:20006,20006,1603:45:16:348:0,1603:45:16:348:1:20,1603:45:16:348:2:20006,Zalaszentgroti jaras,HU020006,,,,Zala,HU020,Magyarország,HU,2022-03-09,2022-03-22,
